Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3974
ADAMANTINA;2° Dose;1557
ADOLFO;1° Dose;356
ADOLFO;2° Dose;166
AGUAÍ;1° Dose;2283
AGUAÍ;2° Dose;647
ÁGUAS DA PRATA;1° Dose;847
ÁGUAS DA PRATA;2° Dose;261
ÁGUAS DE LINDÓIA;1° Dose;1411
ÁGUAS DE LINDÓIA;2° Dose;415
ÁGUAS DE SANTA BÁRBARA;1° Dose;558
ÁGUAS DE SANTA BÁRBARA;2° Dose;177
ÁGUAS DE SÃO PEDRO;1° Dose;563
ÁGUAS DE SÃO PEDRO;2° Dose;204
AGUDOS;1° Dose;3585
AGUDOS;2° Dose;1213
ALAMBARI;1° Dose;340
ALAMBARI;2° Dose;112
ALFREDO MARCONDES;1° Dose;575
ALFREDO MARCONDES;2° Dose;205
ALTAIR;1° Dose;298
ALTAIR;2° Dose;125
ALTINÓPOLIS;1° Dose;1223
ALTINÓPOLIS;2° Dose;452
ALTO ALEGRE;1° Dose;470
ALTO ALEGRE;2° Dose;97
ALUMÍNIO;1° Dose;803
ALUMÍNIO;2° Dose;272
ÁLVARES FLORENCE;1° Dose;422
ÁLVARES FLORENCE;2° Dose;111
ÁLVARES MACHADO;1° Dose;2066
ÁLVARES MACHADO;2° Dose;559
ÁLVARO DE CARVALHO;1° Dose;279
ÁLVARO DE CARVALHO;2° Dose;69
ALVINLÂNDIA;1° Dose;261
ALVINLÂNDIA;2° Dose;86
AMERICANA;1° Dose;15740
AMERICANA;2° Dose;6312
AMÉRICO BRASILIENSE;1° Dose;2723
AMÉRICO BRASILIENSE;2° Dose;962
AMÉRICO DE CAMPOS;1° Dose;572
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;6018
AMPARO;2° Dose;2371
ANALÂNDIA;1° Dose;394
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;4991
ANDRADINA;2° Dose;2260
ANGATUBA;1° Dose;1306
ANGATUBA;2° Dose;397
ANHEMBI;1° Dose;362
ANHEMBI;2° Dose;105
ANHUMAS;1° Dose;428
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2360
APARECIDA;2° Dose;950
APARECIDA D'OESTE;1° Dose;583
APARECIDA D'OESTE;2° Dose;194
APIAÍ;1° Dose;1573
APIAÍ;2° Dose;491
ARAÇARIGUAMA;1° Dose;815
ARAÇARIGUAMA;2° Dose;305
ARAÇATUBA;1° Dose;18019
ARAÇATUBA;2° Dose;7363
ARAÇOIABA DA SERRA;1° Dose;2067
ARAÇOIABA DA SERRA;2° Dose;556
ARAMINA;1° Dose;376
ARAMINA;2° Dose;116
ARANDU;1° Dose;423
ARANDU;2° Dose;126
ARAPEÍ;1° Dose;205
ARAPEÍ;2° Dose;76
ARARAQUARA;1° Dose;25114
ARARAQUARA;2° Dose;10176
ARARAS;1° Dose;10990
ARARAS;2° Dose;4014
ARCO-ÍRIS;1° Dose;323
ARCO-ÍRIS;2° Dose;207
AREALVA;1° Dose;729
AREALVA;2° Dose;244
AREIAS;1° Dose;263
AREIAS;2° Dose;130
AREIÓPOLIS;1° Dose;461
AREIÓPOLIS;2° Dose;226
ARIRANHA;1° Dose;785
ARIRANHA;2° Dose;313
ARTUR NOGUEIRA;1° Dose;3178
ARTUR NOGUEIRA;2° Dose;1051
ARUJÁ;1° Dose;3796
ARUJÁ;2° Dose;1377
ASPÁSIA;1° Dose;206
ASPÁSIA;2° Dose;70
ASSIS;1° Dose;10808
ASSIS;2° Dose;3878
ATIBAIA;1° Dose;13202
ATIBAIA;2° Dose;4903
AURIFLAMA;1° Dose;1331
AURIFLAMA;2° Dose;393
AVAÍ;1° Dose;683
AVAÍ;2° Dose;484
AVANHANDAVA;1° Dose;705
AVANHANDAVA;2° Dose;230
AVARÉ;1° Dose;7697
AVARÉ;2° Dose;3010
BADY BASSITT;1° Dose;1249
BADY BASSITT;2° Dose;602
BALBINOS;1° Dose;189
BALBINOS;2° Dose;65
BÁLSAMO;1° Dose;865
BÁLSAMO;2° Dose;309
BANANAL;1° Dose;1045
BANANAL;2° Dose;329
BARÃO DE ANTONINA;1° Dose;334
BARÃO DE ANTONINA;2° Dose;134
BARBOSA;1° Dose;527
BARBOSA;2° Dose;201
BARIRI;1° Dose;3123
BARIRI;2° Dose;1091
BARRA BONITA;1° Dose;3355
BARRA BONITA;2° Dose;1239
BARRA DO CHAPÉU;1° Dose;278
BARRA DO CHAPÉU;2° Dose;77
BARRA DO TURVO;1° Dose;935
BARRA DO TURVO;2° Dose;494
BARRETOS;1° Dose;13437
BARRETOS;2° Dose;5734
BARRINHA;1° Dose;1633
BARRINHA;2° Dose;536
BARUERI;1° Dose;18449
BARUERI;2° Dose;6816
BASTOS;1° Dose;1608
BASTOS;2° Dose;535
BATATAIS;1° Dose;3442
BATATAIS;2° Dose;1481
BAURU;1° Dose;40251
BAURU;2° Dose;16894
BEBEDOURO;1° Dose;6061
