Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;20
TRABIJU;UNICA;35
URU;UNICA;26
UNIÃO PAULISTA;UNICA;24
FERNÃO;UNICA;30
DIRCE REIS;UNICA;18
PAULISTÂNIA;UNICA;38
VITÓRIA BRASIL;UNICA;37
FLORA RICA;UNICA;19
SÃO JOÃO DE IRACEMA;UNICA;35
SANTA SALETE;UNICA;30
SANTANA DA PONTE PENSA;UNICA;32
MESÓPOLIS;UNICA;36
SANTA CRUZ DA ESPERANÇA;UNICA;40
ASPÁSIA;UNICA;15
BOREBI;UNICA;50
TURIÚBA;UNICA;40
MARINÓPOLIS;UNICA;40
ARCO-ÍRIS;UNICA;30
SAGRES;UNICA;46
GUARANI D'OESTE;UNICA;30
ARAPEÍ;UNICA;24
TURMALINA;UNICA;23
EMBAÚBA;UNICA;60
NOVA CANAÃ PAULISTA;UNICA;25
BENTO DE ABREU;UNICA;57
LUCIANÓPOLIS;UNICA;44
NOVA GUATAPORANGA;UNICA;35
MONÇÕES;UNICA;50
CRUZÁLIA;UNICA;32
DOLCINÓPOLIS;UNICA;54
SÃO JOÃO DO PAU D'ALHO;UNICA;29
SANTA CLARA D'OESTE;UNICA;32
SÃO JOÃO DAS DUAS PONTES;UNICA;60
PONTES GESTAL;UNICA;61
RIBEIRÃO DOS ÍNDIOS;UNICA;44
TORRE DE PEDRA;UNICA;50
ZACARIAS;UNICA;69
TAQUARAL;UNICA;60
ÓLEO;UNICA;57
ESTRELA DO NORTE;UNICA;48
NANTES;UNICA;58
RUBIÁCEA;UNICA;46
BREJO ALEGRE;UNICA;72
LOURDES;UNICA;50
CÁSSIA DOS COQUEIROS;UNICA;52
LUTÉCIA;UNICA;55
BOM SUCESSO DE ITARARÉ;UNICA;78
PARISI;UNICA;46
QUEIROZ;UNICA;85
TIMBURI;UNICA;39
SANTA MERCEDES;UNICA;53
JUMIRIM;UNICA;99
GABRIEL MONTEIRO;UNICA;62
PEDRANÓPOLIS;UNICA;56
OSCAR BRESSANE;UNICA;45
MOMBUCA;UNICA;71
JERIQUARA;UNICA;71
PLATINA;UNICA;77
ALVINLÂNDIA;UNICA;58
RIBEIRA;UNICA;58
SANTA RITA D'OESTE;UNICA;58
PEDRINHAS PAULISTA;UNICA;56
NOVA LUZITÂNIA;UNICA;126
SANTO EXPEDITO;UNICA;60
MARAPOAMA;UNICA;71
CÂNDIDO RODRIGUES;UNICA;56
ALTAIR;UNICA;115
ELISIÁRIO;UNICA;100
QUADRA;UNICA;96
FLORÍNEA;UNICA;26
ITAPIRAPUÃ PAULISTA;UNICA;86
SANDOVALINA;UNICA;79
SÃO FRANCISCO;UNICA;45
