Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3445
ADAMANTINA;2° Dose;1480
ADOLFO;1° Dose;308
ADOLFO;2° Dose;133
AGUAÍ;1° Dose;1517
AGUAÍ;2° Dose;572
ÁGUAS DA PRATA;1° Dose;560
ÁGUAS DA PRATA;2° Dose;214
ÁGUAS DE LINDÓIA;1° Dose;882
ÁGUAS DE LINDÓIA;2° Dose;357
ÁGUAS DE SANTA BÁRBARA;1° Dose;420
ÁGUAS DE SANTA BÁRBARA;2° Dose;147
ÁGUAS DE SÃO PEDRO;1° Dose;482
ÁGUAS DE SÃO PEDRO;2° Dose;182
AGUDOS;1° Dose;2945
AGUDOS;2° Dose;1143
ALAMBARI;1° Dose;265
ALAMBARI;2° Dose;83
ALFREDO MARCONDES;1° Dose;409
ALFREDO MARCONDES;2° Dose;205
ALTAIR;1° Dose;269
ALTAIR;2° Dose;122
ALTINÓPOLIS;1° Dose;991
ALTINÓPOLIS;2° Dose;376
ALTO ALEGRE;1° Dose;361
ALTO ALEGRE;2° Dose;76
ALUMÍNIO;1° Dose;636
ALUMÍNIO;2° Dose;204
ÁLVARES FLORENCE;1° Dose;356
ÁLVARES FLORENCE;2° Dose;102
ÁLVARES MACHADO;1° Dose;1430
ÁLVARES MACHADO;2° Dose;443
ÁLVARO DE CARVALHO;1° Dose;194
ÁLVARO DE CARVALHO;2° Dose;62
ALVINLÂNDIA;1° Dose;197
ALVINLÂNDIA;2° Dose;86
AMERICANA;1° Dose;13117
AMERICANA;2° Dose;4560
AMÉRICO BRASILIENSE;1° Dose;2207
AMÉRICO BRASILIENSE;2° Dose;784
AMÉRICO DE CAMPOS;1° Dose;450
AMÉRICO DE CAMPOS;2° Dose;140
AMPARO;1° Dose;5038
AMPARO;2° Dose;1567
ANALÂNDIA;1° Dose;267
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;4299
ANDRADINA;2° Dose;637
ANGATUBA;1° Dose;1030
ANGATUBA;2° Dose;210
ANHEMBI;1° Dose;294
ANHEMBI;2° Dose;90
ANHUMAS;1° Dose;302
ANHUMAS;2° Dose;127
APARECIDA;1° Dose;1832
APARECIDA;2° Dose;735
APARECIDA D'OESTE;1° Dose;415
APARECIDA D'OESTE;2° Dose;192
APIAÍ;1° Dose;1115
APIAÍ;2° Dose;421
ARAÇARIGUAMA;1° Dose;663
ARAÇARIGUAMA;2° Dose;202
ARAÇATUBA;1° Dose;15449
ARAÇATUBA;2° Dose;7018
ARAÇOIABA DA SERRA;1° Dose;1480
ARAÇOIABA DA SERRA;2° Dose;387
ARAMINA;1° Dose;321
ARAMINA;2° Dose;116
ARANDU;1° Dose;361
ARANDU;2° Dose;88
ARAPEÍ;1° Dose;138
ARAPEÍ;2° Dose;52
ARARAQUARA;1° Dose;18943
ARARAQUARA;2° Dose;9024
ARARAS;1° Dose;8435
ARARAS;2° Dose;3822
ARCO-ÍRIS;1° Dose;302
ARCO-ÍRIS;2° Dose;204
AREALVA;1° Dose;605
AREALVA;2° Dose;150
AREIAS;1° Dose;166
AREIAS;2° Dose;51
AREIÓPOLIS;1° Dose;374
AREIÓPOLIS;2° Dose;142
ARIRANHA;1° Dose;665
ARIRANHA;2° Dose;311
ARTUR NOGUEIRA;1° Dose;2390
ARTUR NOGUEIRA;2° Dose;928
ARUJÁ;1° Dose;3071
