Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;20
URU;UNICA;26
UNIÃO PAULISTA;UNICA;36
TRABIJU;UNICA;35
SANTA SALETE;UNICA;30
FERNÃO;UNICA;30
FLORA RICA;UNICA;19
SANTANA DA PONTE PENSA;UNICA;32
DIRCE REIS;UNICA;18
VITÓRIA BRASIL;UNICA;37
SÃO JOÃO DE IRACEMA;UNICA;35
MESÓPOLIS;UNICA;36
ASPÁSIA;UNICA;15
PAULISTÂNIA;UNICA;38
TURIÚBA;UNICA;39
ARCO-ÍRIS;UNICA;30
SANTA CRUZ DA ESPERANÇA;UNICA;40
GUARANI D'OESTE;UNICA;30
MARINÓPOLIS;UNICA;40
SAGRES;UNICA;46
NOVA CANAÃ PAULISTA;UNICA;25
TURMALINA;UNICA;23
CRUZÁLIA;UNICA;32
MONÇÕES;UNICA;50
SÃO JOÃO DO PAU D'ALHO;UNICA;30
DOLCINÓPOLIS;UNICA;54
EMBAÚBA;UNICA;60
NOVA GUATAPORANGA;UNICA;35
ARAPEÍ;UNICA;59
LOURDES;UNICA;47
LUCIANÓPOLIS;UNICA;44
BOREBI;UNICA;50
BREJO ALEGRE;UNICA;72
RIBEIRÃO DOS ÍNDIOS;UNICA;44
SANTA CLARA D'OESTE;UNICA;32
BENTO DE ABREU;UNICA;72
ÓLEO;UNICA;57
ZACARIAS;UNICA;69
PARISI;UNICA;45
CÁSSIA DOS COQUEIROS;UNICA;52
PONTES GESTAL;UNICA;61
TAQUARAL;UNICA;59
SÃO JOÃO DAS DUAS PONTES;UNICA;60
LUTÉCIA;UNICA;55
OSCAR BRESSANE;UNICA;45
TORRE DE PEDRA;UNICA;50
TIMBURI;UNICA;39
GABRIEL MONTEIRO;UNICA;62
RUBIÁCEA;UNICA;49
ALVINLÂNDIA;UNICA;68
NANTES;UNICA;59
PEDRANÓPOLIS;UNICA;56
SANTA RITA D'OESTE;UNICA;58
ESTRELA DO NORTE;UNICA;48
NOVA LUZITÂNIA;UNICA;126
SANTA MERCEDES;UNICA;53
MOMBUCA;UNICA;71
JUMIRIM;UNICA;99
SANTO EXPEDITO;UNICA;60
SÃO FRANCISCO;UNICA;43
CÂNDIDO RODRIGUES;UNICA;56
RIBEIRA;UNICA;58
ELISIÁRIO;UNICA;100
QUEIROZ;UNICA;85
PIQUEROBI;UNICA;54
JERIQUARA;UNICA;71
PLATINA;UNICA;77
ITAJU;UNICA;97
MARAPOAMA;UNICA;71
MIRA ESTRELA;UNICA;51
SUZANÁPOLIS;UNICA;65
FLOREAL;UNICA;50
PEDRINHAS PAULISTA;UNICA;55
EMILIANÓPOLIS;UNICA;70
