Município;Dose;Total Doses Aplicadas;;;;
ADAMANTINA;1° DOSE;10409;;;;
ADAMANTINA;2° DOSE;5711;;;;
ADOLFO;1° DOSE;1135;;;;
ADOLFO;2° DOSE;586;;;;
AGUAÍ;1° DOSE;6333;;;;
AGUAÍ;2° DOSE;3386;;;;
ÁGUAS DA PRATA;1° DOSE;2383;;;;
ÁGUAS DA PRATA;2° DOSE;1111;;;;
ÁGUAS DE LINDÓIA;1° DOSE;4632;;;;
ÁGUAS DE LINDÓIA;2° DOSE;2349;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1187;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;772;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;1394;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;715;;;;
AGUDOS;1° DOSE;8319;;;;
AGUDOS;2° DOSE;5118;;;;
ALAMBARI;1° DOSE;1261;;;;
ALAMBARI;2° DOSE;452;;;;
ALFREDO MARCONDES;1° DOSE;1309;;;;
ALFREDO MARCONDES;2° DOSE;769;;;;
ALTAIR;1° DOSE;749;;;;
ALTAIR;2° DOSE;436;;;;
ALTINÓPOLIS;1° DOSE;4098;;;;
ALTINÓPOLIS;2° DOSE;2245;;;;
ALTO ALEGRE;1° DOSE;1184;;;;
ALTO ALEGRE;2° DOSE;676;;;;
ALUMÍNIO;1° DOSE;2801;;;;
ALUMÍNIO;2° DOSE;1486;;;;
ÁLVARES FLORENCE;1° DOSE;1134;;;;
ÁLVARES FLORENCE;2° DOSE;585;;;;
ÁLVARES MACHADO;1° DOSE;5417;;;;
ÁLVARES MACHADO;2° DOSE;2746;;;;
ÁLVARO DE CARVALHO;1° DOSE;763;;;;
ÁLVARO DE CARVALHO;2° DOSE;450;;;;
ALVINLÂNDIA;1° DOSE;688;;;;
ALVINLÂNDIA;2° DOSE;335;;;;
AMERICANA;1° DOSE;51725;;;;
AMERICANA;2° DOSE;26345;;;;
AMÉRICO BRASILIENSE;1° DOSE;6595;;;;
AMÉRICO BRASILIENSE;2° DOSE;3840;;;;
AMÉRICO DE CAMPOS;1° DOSE;1504;;;;
AMÉRICO DE CAMPOS;2° DOSE;820;;;;
AMPARO;1° DOSE;16386;;;;
AMPARO;2° DOSE;9149;;;;
ANALÂNDIA;1° DOSE;1050;;;;
ANALÂNDIA;2° DOSE;590;;;;
ANDRADINA;1° DOSE;13678;;;;
ANDRADINA;2° DOSE;8318;;;;
ANGATUBA;1° DOSE;4820;;;;
ANGATUBA;2° DOSE;2106;;;;
ANHEMBI;1° DOSE;1318;;;;
ANHEMBI;2° DOSE;540;;;;
ANHUMAS;1° DOSE;999;;;;
ANHUMAS;2° DOSE;516;;;;
APARECIDA;1° DOSE;7707;;;;
APARECIDA;2° DOSE;3874;;;;
APARECIDA D'OESTE;1° DOSE;1391;;;;
APARECIDA D'OESTE;2° DOSE;750;;;;
APIAÍ;1° DOSE;4626;;;;
APIAÍ;2° DOSE;2484;;;;
ARAÇARIGUAMA;1° DOSE;2573;;;;
ARAÇARIGUAMA;2° DOSE;1547;;;;
ARAÇATUBA;1° DOSE;49097;;;;
ARAÇATUBA;2° DOSE;26218;;;;
ARAÇOIABA DA SERRA;1° DOSE;5691;;;;
ARAÇOIABA DA SERRA;2° DOSE;2982;;;;
ARAMINA;1° DOSE;1251;;;;
ARAMINA;2° DOSE;620;;;;
ARANDU;1° DOSE;1358;;;;
ARANDU;2° DOSE;662;;;;
ARAPEÍ;1° DOSE;565;;;;
ARAPEÍ;2° DOSE;334;;;;
ARARAQUARA;1° DOSE;56688;;;;
ARARAQUARA;2° DOSE;31550;;;;
ARARAS;1° DOSE;28821;;;;
ARARAS;2° DOSE;15857;;;;
ARCO-ÍRIS;1° DOSE;687;;;;
ARCO-ÍRIS;2° DOSE;466;;;;
AREALVA;1° DOSE;2219;;;;
AREALVA;2° DOSE;1206;;;;
AREIAS;1° DOSE;776;;;;
AREIAS;2° DOSE;451;;;;
AREIÓPOLIS;1° DOSE;1518;;;;
AREIÓPOLIS;2° DOSE;790;;;;
ARIRANHA;1° DOSE;1975;;;;
ARIRANHA;2° DOSE;1062;;;;
ARTUR NOGUEIRA;1° DOSE;9163;;;;
ARTUR NOGUEIRA;2° DOSE;4774;;;;
ARUJÁ;1° DOSE;15092;;;;
ARUJÁ;2° DOSE;6952;;;;
ASPÁSIA;1° DOSE;565;;;;
ASPÁSIA;2° DOSE;284;;;;
ASSIS;1° DOSE;24057;;;;
ASSIS;2° DOSE;13203;;;;
ATIBAIA;1° DOSE;30273;;;;
ATIBAIA;2° DOSE;16383;;;;
AURIFLAMA;1° DOSE;3468;;;;
AURIFLAMA;2° DOSE;1845;;;;
AVAÍ;1° DOSE;1331;;;;
AVAÍ;2° DOSE;929;;;;
AVANHANDAVA;1° DOSE;1979;;;;
AVANHANDAVA;2° DOSE;1026;;;;
AVARÉ;1° DOSE;20324;;;;
AVARÉ;2° DOSE;10640;;;;
BADY BASSITT;1° DOSE;3972;;;;
BADY BASSITT;2° DOSE;2033;;;;
BALBINOS;1° DOSE;427;;;;
BALBINOS;2° DOSE;182;;;;
