Município;Dose;Total Doses Aplicadas;;;;
ADAMANTINA;1° DOSE;10137;;;;
ADAMANTINA;2° DOSE;5703;;;;
ADOLFO;1° DOSE;1103;;;;
ADOLFO;2° DOSE;586;;;;
AGUAÍ;1° DOSE;6086;;;;
AGUAÍ;2° DOSE;3363;;;;
ÁGUAS DA PRATA;1° DOSE;2354;;;;
ÁGUAS DA PRATA;2° DOSE;1111;;;;
ÁGUAS DE LINDÓIA;1° DOSE;4514;;;;
ÁGUAS DE LINDÓIA;2° DOSE;2347;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1155;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;765;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;1360;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;715;;;;
AGUDOS;1° DOSE;8162;;;;
AGUDOS;2° DOSE;5031;;;;
ALAMBARI;1° DOSE;1191;;;;
ALAMBARI;2° DOSE;450;;;;
ALFREDO MARCONDES;1° DOSE;1288;;;;
ALFREDO MARCONDES;2° DOSE;769;;;;
ALTAIR;1° DOSE;731;;;;
ALTAIR;2° DOSE;436;;;;
ALTINÓPOLIS;1° DOSE;3907;;;;
ALTINÓPOLIS;2° DOSE;2237;;;;
ALTO ALEGRE;1° DOSE;1170;;;;
ALTO ALEGRE;2° DOSE;673;;;;
ALUMÍNIO;1° DOSE;2691;;;;
ALUMÍNIO;2° DOSE;1482;;;;
ÁLVARES FLORENCE;1° DOSE;1133;;;;
ÁLVARES FLORENCE;2° DOSE;585;;;;
ÁLVARES MACHADO;1° DOSE;5236;;;;
ÁLVARES MACHADO;2° DOSE;2725;;;;
ÁLVARO DE CARVALHO;1° DOSE;739;;;;
ÁLVARO DE CARVALHO;2° DOSE;428;;;;
ALVINLÂNDIA;1° DOSE;666;;;;
ALVINLÂNDIA;2° DOSE;335;;;;
AMERICANA;1° DOSE;50417;;;;
AMERICANA;2° DOSE;26119;;;;
AMÉRICO BRASILIENSE;1° DOSE;6453;;;;
AMÉRICO BRASILIENSE;2° DOSE;3649;;;;
AMÉRICO DE CAMPOS;1° DOSE;1504;;;;
AMÉRICO DE CAMPOS;2° DOSE;820;;;;
AMPARO;1° DOSE;16093;;;;
AMPARO;2° DOSE;9085;;;;
ANALÂNDIA;1° DOSE;975;;;;
ANALÂNDIA;2° DOSE;589;;;;
ANDRADINA;1° DOSE;13268;;;;
ANDRADINA;2° DOSE;8232;;;;
ANGATUBA;1° DOSE;4753;;;;
ANGATUBA;2° DOSE;2098;;;;
ANHEMBI;1° DOSE;1275;;;;
ANHEMBI;2° DOSE;539;;;;
ANHUMAS;1° DOSE;959;;;;
ANHUMAS;2° DOSE;516;;;;
APARECIDA;1° DOSE;7384;;;;
APARECIDA;2° DOSE;3854;;;;
APARECIDA D'OESTE;1° DOSE;1323;;;;
APARECIDA D'OESTE;2° DOSE;738;;;;
APIAÍ;1° DOSE;4574;;;;
APIAÍ;2° DOSE;2479;;;;
ARAÇARIGUAMA;1° DOSE;2437;;;;
ARAÇARIGUAMA;2° DOSE;1543;;;;
ARAÇATUBA;1° DOSE;46582;;;;
ARAÇATUBA;2° DOSE;26132;;;;
ARAÇOIABA DA SERRA;1° DOSE;5598;;;;
ARAÇOIABA DA SERRA;2° DOSE;2980;;;;
ARAMINA;1° DOSE;1227;;;;
ARAMINA;2° DOSE;620;;;;
ARANDU;1° DOSE;1328;;;;
ARANDU;2° DOSE;662;;;;
ARAPEÍ;1° DOSE;565;;;;
ARAPEÍ;2° DOSE;334;;;;
ARARAQUARA;1° DOSE;55472;;;;
ARARAQUARA;2° DOSE;31469;;;;
ARARAS;1° DOSE;28705;;;;
ARARAS;2° DOSE;15853;;;;
ARCO-ÍRIS;1° DOSE;672;;;;
ARCO-ÍRIS;2° DOSE;466;;;;
AREALVA;1° DOSE;2190;;;;
AREALVA;2° DOSE;1205;;;;
AREIAS;1° DOSE;776;;;;
AREIAS;2° DOSE;451;;;;
AREIÓPOLIS;1° DOSE;1499;;;;
AREIÓPOLIS;2° DOSE;785;;;;
ARIRANHA;1° DOSE;1950;;;;
ARIRANHA;2° DOSE;1051;;;;
ARTUR NOGUEIRA;1° DOSE;8879;;;;
ARTUR NOGUEIRA;2° DOSE;4749;;;;
ARUJÁ;1° DOSE;14487;;;;
ARUJÁ;2° DOSE;6926;;;;
ASPÁSIA;1° DOSE;561;;;;
ASPÁSIA;2° DOSE;284;;;;
ASSIS;1° DOSE;23697;;;;
ASSIS;2° DOSE;12750;;;;
ATIBAIA;1° DOSE;29371;;;;
ATIBAIA;2° DOSE;16215;;;;
AURIFLAMA;1° DOSE;3375;;;;
AURIFLAMA;2° DOSE;1827;;;;
AVAÍ;1° DOSE;1309;;;;
AVAÍ;2° DOSE;921;;;;
AVANHANDAVA;1° DOSE;1954;;;;
AVANHANDAVA;2° DOSE;1026;;;;
AVARÉ;1° DOSE;19628;;;;
AVARÉ;2° DOSE;10560;;;;
BADY BASSITT;1° DOSE;3904;;;;
BADY BASSITT;2° DOSE;2023;;;;
BALBINOS;1° DOSE;422;;;;
BALBINOS;2° DOSE;180;;;;
BÁLSAMO;1° DOSE;2319;;;;
BÁLSAMO;2° DOSE;1263;;;;
BANANAL;1° DOSE;2372;;;;
BANANAL;2° DOSE;1420;;;;
BARÃO DE ANTONINA;1° DOSE;822;;;;
BARÃO DE ANTONINA;2° DOSE;495;;;;
BARBOSA;1° DOSE;1344;;;;
BARBOSA;2° DOSE;786;;;;
BARIRI;1° DOSE;7356;;;;
BARIRI;2° DOSE;4270;;;;
BARRA BONITA;1° DOSE;8736;;;;
BARRA BONITA;2° DOSE;4685;;;;
BARRA DO CHAPÉU;1° DOSE;915;;;;
BARRA DO CHAPÉU;2° DOSE;457;;;;
BARRA DO TURVO;1° DOSE;2040;;;;
BARRA DO TURVO;2° DOSE;1337;;;;
BARRETOS;1° DOSE;28474;;;;
BARRETOS;2° DOSE;16458;;;;
BARRINHA;1° DOSE;4091;;;;
BARRINHA;2° DOSE;2161;;;;
BARUERI;1° DOSE;44446;;;;
BARUERI;2° DOSE;24588;;;;
BASTOS;1° DOSE;4771;;;;
BASTOS;2° DOSE;2249;;;;
BATATAIS;1° DOSE;13397;;;;
BATATAIS;2° DOSE;6831;;;;
BAURU;1° DOSE;84655;;;;
BAURU;2° DOSE;47699;;;;
BEBEDOURO;1° DOSE;17450;;;;
BEBEDOURO;2° DOSE;9597;;;;
BENTO DE ABREU;1° DOSE;532;;;;
BENTO DE ABREU;2° DOSE;310;;;;
BERNARDINO DE CAMPOS;1° DOSE;2735;;;;
BERNARDINO DE CAMPOS;2° DOSE;1595;;;;
BERTIOGA;1° DOSE;9719;;;;
BERTIOGA;2° DOSE;4808;;;;
BILAC;1° DOSE;2029;;;;
BILAC;2° DOSE;1106;;;;
BIRIGUI;1° DOSE;20592;;;;
BIRIGUI;2° DOSE;11579;;;;
BIRITIBA MIRIM;1° DOSE;5325;;;;
BIRITIBA MIRIM;2° DOSE;2707;;;;
BOA ESPERANÇA DO SUL;1° DOSE;2381;;;;
BOA ESPERANÇA DO SUL;2° DOSE;1266;;;;
BOCAINA;1° DOSE;2467;;;;
BOCAINA;2° DOSE;1208;;;;
BOFETE;1° DOSE;2347;;;;
BOFETE;2° DOSE;1221;;;;
