Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° DOSE;6088
ADAMANTINA;2° DOSE;2220
ADOLFO;1° DOSE;593
ADOLFO;2° DOSE;258
AGUAÍ;1° DOSE;3509
AGUAÍ;2° DOSE;1452
ÁGUAS DA PRATA;1° DOSE;1344
ÁGUAS DA PRATA;2° DOSE;352
ÁGUAS DE LINDÓIA;1° DOSE;2492
ÁGUAS DE LINDÓIA;2° DOSE;819
ÁGUAS DE SANTA BÁRBARA;1° DOSE;845
ÁGUAS DE SANTA BÁRBARA;2° DOSE;275
ÁGUAS DE SÃO PEDRO;1° DOSE;891
ÁGUAS DE SÃO PEDRO;2° DOSE;341
AGUDOS;1° DOSE;5210
AGUDOS;2° DOSE;1927
ALAMBARI;1° DOSE;622
ALAMBARI;2° DOSE;173
ALFREDO MARCONDES;1° DOSE;821
ALFREDO MARCONDES;2° DOSE;292
ALTAIR;1° DOSE;466
ALTAIR;2° DOSE;204
ALTINÓPOLIS;1° DOSE;2072
ALTINÓPOLIS;2° DOSE;710
ALTO ALEGRE;1° DOSE;737
ALTO ALEGRE;2° DOSE;273
ALUMÍNIO;1° DOSE;1444
ALUMÍNIO;2° DOSE;390
ÁLVARES FLORENCE;1° DOSE;723
ÁLVARES FLORENCE;2° DOSE;243
ÁLVARES MACHADO;1° DOSE;2972
ÁLVARES MACHADO;2° DOSE;926
ÁLVARO DE CARVALHO;1° DOSE;405
ÁLVARO DE CARVALHO;2° DOSE;151
ALVINLÂNDIA;1° DOSE;409
ALVINLÂNDIA;2° DOSE;133
AMERICANA;1° DOSE;28472
AMERICANA;2° DOSE;10220
AMÉRICO BRASILIENSE;1° DOSE;3806
AMÉRICO BRASILIENSE;2° DOSE;1734
AMÉRICO DE CAMPOS;1° DOSE;890
AMÉRICO DE CAMPOS;2° DOSE;279
AMPARO;1° DOSE;9537
AMPARO;2° DOSE;3385
ANALÂNDIA;1° DOSE;599
ANALÂNDIA;2° DOSE;171
ANDRADINA;1° DOSE;8327
ANDRADINA;2° DOSE;2790
ANGATUBA;1° DOSE;2483
ANGATUBA;2° DOSE;698
ANHEMBI;1° DOSE;642
ANHEMBI;2° DOSE;131
ANHUMAS;1° DOSE;554
ANHUMAS;2° DOSE;188
APARECIDA;1° DOSE;3630
APARECIDA;2° DOSE;1264
APARECIDA D'OESTE;1° DOSE;808
APARECIDA D'OESTE;2° DOSE;348
APIAÍ;1° DOSE;2531
APIAÍ;2° DOSE;945
ARAÇARIGUAMA;1° DOSE;1483
ARAÇARIGUAMA;2° DOSE;452
ARAÇATUBA;1° DOSE;27511
ARAÇATUBA;2° DOSE;11202
ARAÇOIABA DA SERRA;1° DOSE;3213
ARAÇOIABA DA SERRA;2° DOSE;913
ARAMINA;1° DOSE;660
ARAMINA;2° DOSE;218
ARANDU;1° DOSE;745
ARANDU;2° DOSE;222
ARAPEÍ;1° DOSE;329
ARAPEÍ;2° DOSE;133
