Município,Dose,Total Doses Aplicadas
BORÁ,2° DOSE,157
NOVA CASTILHO,2° DOSE,207
UNIÃO PAULISTA,2° DOSE,253
TRABIJU,2° DOSE,266
URU,2° DOSE,261
PAULISTÂNIA,2° DOSE,288
VITÓRIA BRASIL,2° DOSE,310
FERNÃO,2° DOSE,328
SANTA SALETE,2° DOSE,372
DIRCE REIS,2° DOSE,347
PRACINHA,2° DOSE,262
SÃO JOÃO DE IRACEMA,2° DOSE,339
JUMIRIM,2° DOSE,370
ASPÁSIA,2° DOSE,343
SÃO JOÃO DAS DUAS PONTES,2° DOSE,404
GUARANI D'OESTE,2° DOSE,355
BALBINOS,2° DOSE,314
SANTA CRUZ DA ESPERANÇA,2° DOSE,396
MESÓPOLIS,2° DOSE,402
ARAPEÍ,2° DOSE,400
BOREBI,2° DOSE,311
SANTANA DA PONTE PENSA,2° DOSE,394
BOM SUCESSO DE ITARARÉ,2° DOSE,360
BENTO DE ABREU,2° DOSE,353
MARINÓPOLIS,2° DOSE,401
EMBAÚBA,2° DOSE,380
LUCIANÓPOLIS,2° DOSE,428
TURIÚBA,2° DOSE,398
CRUZÁLIA,2° DOSE,382
ALVINLÂNDIA,2° DOSE,451
FLORA RICA,2° DOSE,459
RUBIÁCEA,2° DOSE,426
SAGRES,2° DOSE,411
NOVA GUATAPORANGA,2° DOSE,416
SANTA MERCEDES,2° DOSE,462
BREJO ALEGRE,2° DOSE,471
SANTA CLARA D'OESTE,2° DOSE,369
ZACARIAS,2° DOSE,402
MONÇÕES,2° DOSE,434
TORRE DE PEDRA,2° DOSE,407
NOVA CANAÃ PAULISTA,2° DOSE,397
LOURDES,2° DOSE,431
TAQUARAL,2° DOSE,404
DOLCINÓPOLIS,2° DOSE,410
AREIAS,2° DOSE,486
QUEIROZ,2° DOSE,386
CÁSSIA DOS COQUEIROS,2° DOSE,443
ARCO-ÍRIS,2° DOSE,548
SÃO JOÃO DO PAU D'ALHO,2° DOSE,488
NANTES,2° DOSE,351
PONTES GESTAL,2° DOSE,433
ELISIÁRIO,2° DOSE,488
ÓLEO,2° DOSE,518
TURMALINA,2° DOSE,475
RIBEIRA,2° DOSE,551
MOMBUCA,2° DOSE,459
PARISI,2° DOSE,451
ESTRELA DO NORTE,2° DOSE,368
LUTÉCIA,2° DOSE,474
SANTA RITA D'OESTE,2° DOSE,513
NOVA INDEPENDÊNCIA,2° DOSE,436
GABRIEL MONTEIRO,2° DOSE,465
ITAJU,2° DOSE,504
CANAS,2° DOSE,468
JERIQUARA,2° DOSE,450
TIMBURI,2° DOSE,486
PLATINA,2° DOSE,486
NOVA LUZITÂNIA,2° DOSE,549
PONTALINDA,2° DOSE,500
ITAPIRAPUÃ PAULISTA,2° DOSE,486
RIBEIRÃO DOS ÍNDIOS,2° DOSE,537
QUADRA,2° DOSE,469
PEDRANÓPOLIS,2° DOSE,524
ALTAIR,2° DOSE,536
SÃO FRANCISCO,2° DOSE,546
RIBEIRÃO CORRENTE,2° DOSE,548
ÁLVARO DE CARVALHO,2° DOSE,520
SANTO EXPEDITO,2° DOSE,569
JÚLIO MESQUITA,2° DOSE,552
MONTEIRO LOBATO,2° DOSE,645
SANTÓPOLIS DO AGUAPEÍ,2° DOSE,577
MARIÁPOLIS,2° DOSE,571
NIPOÃ,2° DOSE,555
MARAPOAMA,2° DOSE,549
OSCAR BRESSANE,2° DOSE,583
CORUMBATAÍ,2° DOSE,563
RUBINÉIA,2° DOSE,517
CÂNDIDO RODRIGUES,2° DOSE,607
GLICÉRIO,2° DOSE,623
LUPÉRCIO,2° DOSE,626
TEJUPÁ,2° DOSE,534
SANDOVALINA,2° DOSE,497
JOÃO RAMALHO,2° DOSE,493
EMILIANÓPOLIS,2° DOSE,538
FLORÍNEA,2° DOSE,522
CABRÁLIA PAULISTA,2° DOSE,618
NOVAIS,2° DOSE,613
PRATÂNIA,2° DOSE,499
SARUTAIÁ,2° DOSE,579
REDENÇÃO DA SERRA,2° DOSE,588
GASTÃO VIDIGAL,2° DOSE,589
MAGDA,2° DOSE,603
PEDRINHAS PAULISTA,2° DOSE,525
ITAOCA,2° DOSE,698
ESPÍRITO SANTO DO TURVO,2° DOSE,468
MOTUCA,2° DOSE,526
CANITAR,2° DOSE,462
BARÃO DE ANTONINA,2° DOSE,597
MIRA ESTRELA,2° DOSE,564
ONDA VERDE,2° DOSE,606
ANHUMAS,2° DOSE,614
INÚBIA PAULISTA,2° DOSE,626
MARABÁ PAULISTA,2° DOSE,551
SEBASTIANÓPOLIS DO SUL,2° DOSE,563
SUZANÁPOLIS,2° DOSE,529
RIFAINA,2° DOSE,580
UBIRAJARA,2° DOSE,634
LUIZIÂNIA,2° DOSE,682
GAVIÃO PEIXOTO,2° DOSE,598
GUZOLÂNDIA,2° DOSE,601
PARANAPUÃ,2° DOSE,603
TAQUARIVAÍ,2° DOSE,483
PONGAÍ,2° DOSE,653
FLOREAL,2° DOSE,651
SÃO JOSÉ DO BARREIRO,2° DOSE,611
CAIABU,2° DOSE,646
PRESIDENTE ALVES,2° DOSE,782
NARANDIBA,2° DOSE,570
UBARANA,2° DOSE,609
SANTA MARIA DA SERRA,2° DOSE,805
BARRA DO CHAPÉU,2° DOSE,575
PIQUEROBI,2° DOSE,717
BORACÉIA,2° DOSE,713
ÁLVARES FLORENCE,2° DOSE,768
ANALÂNDIA,2° DOSE,648
LAVRINHAS,2° DOSE,606
ITAPURA,2° DOSE,668
MONTE CASTELO,2° DOSE,729
IARAS,2° DOSE,626
PLANALTO,2° DOSE,586
OCAUÇU,2° DOSE,660
JAMBEIRO,2° DOSE,780
MERIDIANO,2° DOSE,640
ARAMINA,2° DOSE,771
MURUTINGA DO SUL,2° DOSE,830
BURITIZAL,2° DOSE,712
IPORANGA,2° DOSE,801
MACEDÔNIA,2° DOSE,659
SANTA ERNESTINA,2° DOSE,618
SALMOURÃO,2° DOSE,740
CAMPOS NOVOS PAULISTA,2° DOSE,677
MIRASSOLÂNDIA,2° DOSE,769
ADOLFO,2° DOSE,716
ALTO ALEGRE,2° DOSE,837
CORONEL MACEDO,2° DOSE,700
CAIUÁ,2° DOSE,855
IPEÚNA,2° DOSE,617
GUARANTÃ,2° DOSE,876
PIACATU,2° DOSE,822
INDIAPORÃ,2° DOSE,843
RIBEIRÃO DO SUL,2° DOSE,785
BRAÚNA,2° DOSE,881
ALAMBARI,2° DOSE,759
IPIGUÁ,2° DOSE,724
GUAIMBÊ,2° DOSE,828
PARDINHO,2° DOSE,822
PAULICÉIA,2° DOSE,778
ITIRAPUÃ,2° DOSE,939
COROADOS,2° DOSE,730
CAMPINA DO MONTE ALEGRE,2° DOSE,807
NOVA CAMPINA,2° DOSE,777
ORINDIÚVA,2° DOSE,633
ÁGUAS DE SANTA BÁRBARA,2° DOSE,876
POPULINA,2° DOSE,820
MENDONÇA,2° DOSE,894
SANTA LÚCIA,2° DOSE,813
INDIANA,2° DOSE,843
ANHEMBI,2° DOSE,804
RIVERSUL,2° DOSE,870
ÁGUAS DE SÃO PEDRO,2° DOSE,930
AVAÍ,2° DOSE,1140
DOBRADA,2° DOSE,842
TACIBA,2° DOSE,795
SILVEIRAS,2° DOSE,897
COLÔMBIA,2° DOSE,890
LAVÍNIA,2° DOSE,841
ALFREDO MARCONDES,2° DOSE,960
APARECIDA D'OESTE,2° DOSE,872
RESTINGA,2° DOSE,744
VISTA ALEGRE DO ALTO,2° DOSE,918
SÃO JOSÉ DA BELA VISTA,2° DOSE,951
TARABAI,2° DOSE,844
SABINO,2° DOSE,1007
SANTA CRUZ DA CONCEIÇÃO,2° DOSE,985
BARBOSA,2° DOSE,880
CLEMENTINA,2° DOSE,876
PALMARES PAULISTA,2° DOSE,881
ARANDU,2° DOSE,852
TAIÚVA,2° DOSE,1069
TAIAÇU,2° DOSE,946
PEDRA BELA,2° DOSE,914
LAGOINHA,2° DOSE,873
TUIUTI,2° DOSE,1052
SANTO ANTÔNIO DO PINHAL,2° DOSE,907
GUATAPARÁ,2° DOSE,995
NATIVIDADE DA SERRA,2° DOSE,1068
AMÉRICO DE CAMPOS,2° DOSE,1019
JABORANDI,2° DOSE,992
RIBEIRÃO GRANDE,2° DOSE,900
PARAÍSO,2° DOSE,947
IACRI,2° DOSE,956
QUINTANA,2° DOSE,961
ECHAPORÃ,2° DOSE,1099
IRAPUÃ,2° DOSE,1036
SANTO ANTÔNIO DO ARACANGUÁ,2° DOSE,1053
ORIENTE,2° DOSE,1020
FERNANDO PRESTES,2° DOSE,1180
SANTO ANTÔNIO DO JARDIM,2° DOSE,986
TRÊS FRONTEIRAS,2° DOSE,1078
NOVA ALIANÇA,2° DOSE,1045
LINDÓIA,2° DOSE,1094
CRISTAIS PAULISTA,2° DOSE,1074
JACI,2° DOSE,1071
DUMONT,2° DOSE,1010
SÃO PEDRO DO TURVO,2° DOSE,1113
