Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;20
URU;UNICA;26
UNIÃO PAULISTA;UNICA;36
TRABIJU;UNICA;35
FERNÃO;UNICA;30
DIRCE REIS;UNICA;18
SANTA SALETE;UNICA;30
FLORA RICA;UNICA;19
SANTANA DA PONTE PENSA;UNICA;32
SÃO JOÃO DE IRACEMA;UNICA;35
VITÓRIA BRASIL;UNICA;37
PAULISTÂNIA;UNICA;38
ASPÁSIA;UNICA;15
MESÓPOLIS;UNICA;36
SANTA CRUZ DA ESPERANÇA;UNICA;40
TURIÚBA;UNICA;39
MARINÓPOLIS;UNICA;40
ARCO-ÍRIS;UNICA;30
GUARANI D'OESTE;UNICA;30
NOVA CANAÃ PAULISTA;UNICA;25
MONÇÕES;UNICA;50
BOREBI;UNICA;50
EMBAÚBA;UNICA;60
SAGRES;UNICA;46
TURMALINA;UNICA;23
SÃO JOÃO DO PAU D'ALHO;UNICA;30
NOVA GUATAPORANGA;UNICA;35
ARAPEÍ;UNICA;54
DOLCINÓPOLIS;UNICA;54
CRUZÁLIA;UNICA;32
LUCIANÓPOLIS;UNICA;44
BENTO DE ABREU;UNICA;72
BREJO ALEGRE;UNICA;72
RIBEIRÃO DOS ÍNDIOS;UNICA;44
LOURDES;UNICA;47
SANTA CLARA D'OESTE;UNICA;32
SÃO JOÃO DAS DUAS PONTES;UNICA;60
ÓLEO;UNICA;57
TORRE DE PEDRA;UNICA;50
ZACARIAS;UNICA;69
PONTES GESTAL;UNICA;61
PARISI;UNICA;45
TAQUARAL;UNICA;59
LUTÉCIA;UNICA;55
RUBIÁCEA;UNICA;48
CÁSSIA DOS COQUEIROS;UNICA;52
OSCAR BRESSANE;UNICA;45
NANTES;UNICA;59
ALVINLÂNDIA;UNICA;68
GABRIEL MONTEIRO;UNICA;62
TIMBURI;UNICA;39
ESTRELA DO NORTE;UNICA;48
SANTA MERCEDES;UNICA;53
NOVA LUZITÂNIA;UNICA;126
MOMBUCA;UNICA;71
SANTA RITA D'OESTE;UNICA;58
PEDRANÓPOLIS;UNICA;56
RIBEIRA;UNICA;58
QUEIROZ;UNICA;85
SÃO FRANCISCO;UNICA;43
JUMIRIM;UNICA;99
JERIQUARA;UNICA;71
SANTO EXPEDITO;UNICA;60
CÂNDIDO RODRIGUES;UNICA;56
ELISIÁRIO;UNICA;100
PLATINA;UNICA;77
MARAPOAMA;UNICA;71
BOM SUCESSO DE ITARARÉ;UNICA;77
FLOREAL;UNICA;50
MAGDA;UNICA;65
PEDRINHAS PAULISTA;UNICA;55
ALTAIR;UNICA;115
EMILIANÓPOLIS;UNICA;70
ITAJU;UNICA;97
MIRA ESTRELA;UNICA;51
