Município;Dose;Total Doses Aplicadas;;;;
ADAMANTINA;1° DOSE;10518;;;;
ADAMANTINA;2° DOSE;5875;;;;
ADOLFO;1° DOSE;1158;;;;
ADOLFO;2° DOSE;605;;;;
AGUAÍ;1° DOSE;6472;;;;
AGUAÍ;2° DOSE;3386;;;;
ÁGUAS DA PRATA;1° DOSE;2443;;;;
ÁGUAS DA PRATA;2° DOSE;1120;;;;
ÁGUAS DE LINDÓIA;1° DOSE;4691;;;;
ÁGUAS DE LINDÓIA;2° DOSE;2349;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1187;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;802;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;1415;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;745;;;;
AGUDOS;1° DOSE;8447;;;;
AGUDOS;2° DOSE;5131;;;;
ALAMBARI;1° DOSE;1297;;;;
ALAMBARI;2° DOSE;453;;;;
ALFREDO MARCONDES;1° DOSE;1325;;;;
ALFREDO MARCONDES;2° DOSE;802;;;;
ALTAIR;1° DOSE;779;;;;
ALTAIR;2° DOSE;436;;;;
ALTINÓPOLIS;1° DOSE;4099;;;;
ALTINÓPOLIS;2° DOSE;2245;;;;
ALTO ALEGRE;1° DOSE;1192;;;;
ALTO ALEGRE;2° DOSE;718;;;;
ALUMÍNIO;1° DOSE;2902;;;;
ALUMÍNIO;2° DOSE;1487;;;;
ÁLVARES FLORENCE;1° DOSE;1154;;;;
ÁLVARES FLORENCE;2° DOSE;585;;;;
ÁLVARES MACHADO;1° DOSE;5607;;;;
ÁLVARES MACHADO;2° DOSE;2764;;;;
ÁLVARO DE CARVALHO;1° DOSE;769;;;;
ÁLVARO DE CARVALHO;2° DOSE;450;;;;
ALVINLÂNDIA;1° DOSE;697;;;;
ALVINLÂNDIA;2° DOSE;345;;;;
AMERICANA;1° DOSE;52645;;;;
AMERICANA;2° DOSE;27670;;;;
AMÉRICO BRASILIENSE;1° DOSE;6857;;;;
AMÉRICO BRASILIENSE;2° DOSE;4056;;;;
AMÉRICO DE CAMPOS;1° DOSE;1536;;;;
AMÉRICO DE CAMPOS;2° DOSE;821;;;;
AMPARO;1° DOSE;16681;;;;
AMPARO;2° DOSE;9196;;;;
ANALÂNDIA;1° DOSE;1058;;;;
ANALÂNDIA;2° DOSE;590;;;;
ANDRADINA;1° DOSE;13987;;;;
ANDRADINA;2° DOSE;8383;;;;
ANGATUBA;1° DOSE;4868;;;;
ANGATUBA;2° DOSE;2136;;;;
ANHEMBI;1° DOSE;1354;;;;
ANHEMBI;2° DOSE;558;;;;
ANHUMAS;1° DOSE;1015;;;;
ANHUMAS;2° DOSE;517;;;;
APARECIDA;1° DOSE;8163;;;;
APARECIDA;2° DOSE;3885;;;;
APARECIDA D'OESTE;1° DOSE;1427;;;;
APARECIDA D'OESTE;2° DOSE;751;;;;
