Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;20
URU;UNICA;26
UNIÃO PAULISTA;UNICA;36
TRABIJU;UNICA;35
FERNÃO;UNICA;30
DIRCE REIS;UNICA;18
SANTANA DA PONTE PENSA;UNICA;32
FLORA RICA;UNICA;19
SANTA SALETE;UNICA;30
SÃO JOÃO DE IRACEMA;UNICA;35
VITÓRIA BRASIL;UNICA;37
PAULISTÂNIA;UNICA;38
ASPÁSIA;UNICA;15
MESÓPOLIS;UNICA;36
MARINÓPOLIS;UNICA;40
TURIÚBA;UNICA;39
SANTA CRUZ DA ESPERANÇA;UNICA;40
ARCO-ÍRIS;UNICA;30
GUARANI D'OESTE;UNICA;30
NOVA CANAÃ PAULISTA;UNICA;25
TURMALINA;UNICA;23
SAGRES;UNICA;46
EMBAÚBA;UNICA;60
MONÇÕES;UNICA;50
BOREBI;UNICA;50
CRUZÁLIA;UNICA;32
NOVA GUATAPORANGA;UNICA;35
SÃO JOÃO DO PAU D'ALHO;UNICA;30
DOLCINÓPOLIS;UNICA;54
LUCIANÓPOLIS;UNICA;44
BENTO DE ABREU;UNICA;72
LOURDES;UNICA;47
ARAPEÍ;UNICA;54
BREJO ALEGRE;UNICA;72
SANTA CLARA D'OESTE;UNICA;32
SÃO JOÃO DAS DUAS PONTES;UNICA;60
RIBEIRÃO DOS ÍNDIOS;UNICA;44
ÓLEO;UNICA;57
TORRE DE PEDRA;UNICA;50
PARISI;UNICA;45
PONTES GESTAL;UNICA;61
ZACARIAS;UNICA;69
CÁSSIA DOS COQUEIROS;UNICA;52
TAQUARAL;UNICA;59
RUBIÁCEA;UNICA;48
NANTES;UNICA;59
LUTÉCIA;UNICA;55
OSCAR BRESSANE;UNICA;45
TIMBURI;UNICA;39
ESTRELA DO NORTE;UNICA;48
GABRIEL MONTEIRO;UNICA;62
NOVA LUZITÂNIA;UNICA;126
JUMIRIM;UNICA;99
ALVINLÂNDIA;UNICA;68
PEDRANÓPOLIS;UNICA;56
MOMBUCA;UNICA;71
SANTA MERCEDES;UNICA;53
SANTA RITA D'OESTE;UNICA;58
QUEIROZ;UNICA;85
JERIQUARA;UNICA;71
PLATINA;UNICA;77
SÃO FRANCISCO;UNICA;43
SANTO EXPEDITO;UNICA;60
RIBEIRA;UNICA;58
CÂNDIDO RODRIGUES;UNICA;56
BOM SUCESSO DE ITARARÉ;UNICA;77
ELISIÁRIO;UNICA;100
FLOREAL;UNICA;50
MARAPOAMA;UNICA;71
MIRA ESTRELA;UNICA;51
MAGDA;UNICA;65
PEDRINHAS PAULISTA;UNICA;55
EMILIANÓPOLIS;UNICA;70
ALTAIR;UNICA;115
ITAJU;UNICA;97
