Município;Dose;Total Doses Aplicadas;;;;
ADAMANTINA;1° DOSE;8263;;;;
ADAMANTINA;2° DOSE;5215;;;;
ADOLFO;1° DOSE;890;;;;
ADOLFO;2° DOSE;538;;;;
AGUAÍ;1° DOSE;4960;;;;
AGUAÍ;2° DOSE;2979;;;;
ÁGUAS DA PRATA;1° DOSE;1895;;;;
ÁGUAS DA PRATA;2° DOSE;950;;;;
ÁGUAS DE LINDÓIA;1° DOSE;3547;;;;
ÁGUAS DE LINDÓIA;2° DOSE;2072;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1061;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;672;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;1162;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;663;;;;
AGUDOS;1° DOSE;6970;;;;
AGUDOS;2° DOSE;4001;;;;
ALAMBARI;1° DOSE;900;;;;
ALAMBARI;2° DOSE;419;;;;
ALFREDO MARCONDES;1° DOSE;1163;;;;
ALFREDO MARCONDES;2° DOSE;660;;;;
ALTAIR;1° DOSE;593;;;;
ALTAIR;2° DOSE;421;;;;
ALTINÓPOLIS;1° DOSE;3201;;;;
ALTINÓPOLIS;2° DOSE;2045;;;;
ALTO ALEGRE;1° DOSE;1002;;;;
ALTO ALEGRE;2° DOSE;617;;;;
ALUMÍNIO;1° DOSE;2182;;;;
ALUMÍNIO;2° DOSE;1170;;;;
ÁLVARES FLORENCE;1° DOSE;954;;;;
ÁLVARES FLORENCE;2° DOSE;503;;;;
ÁLVARES MACHADO;1° DOSE;4267;;;;
ÁLVARES MACHADO;2° DOSE;2484;;;;
ÁLVARO DE CARVALHO;1° DOSE;599;;;;
ÁLVARO DE CARVALHO;2° DOSE;373;;;;
ALVINLÂNDIA;1° DOSE;590;;;;
ALVINLÂNDIA;2° DOSE;305;;;;
AMERICANA;1° DOSE;41104;;;;
AMERICANA;2° DOSE;23044;;;;
AMÉRICO BRASILIENSE;1° DOSE;5270;;;;
AMÉRICO BRASILIENSE;2° DOSE;3254;;;;
AMÉRICO DE CAMPOS;1° DOSE;1281;;;;
AMÉRICO DE CAMPOS;2° DOSE;690;;;;
AMPARO;1° DOSE;13182;;;;
AMPARO;2° DOSE;8083;;;;
ANALÂNDIA;1° DOSE;813;;;;
ANALÂNDIA;2° DOSE;496;;;;
ANDRADINA;1° DOSE;11700;;;;
ANDRADINA;2° DOSE;6962;;;;
ANGATUBA;1° DOSE;4032;;;;
ANGATUBA;2° DOSE;1943;;;;
ANHEMBI;1° DOSE;1017;;;;
ANHEMBI;2° DOSE;458;;;;
ANHUMAS;1° DOSE;781;;;;
ANHUMAS;2° DOSE;472;;;;
APARECIDA;1° DOSE;5958;;;;
APARECIDA;2° DOSE;3354;;;;
APARECIDA D'OESTE;1° DOSE;1137;;;;
APARECIDA D'OESTE;2° DOSE;731;;;;
APIAÍ;1° DOSE;3783;;;;
APIAÍ;2° DOSE;2196;;;;
ARAÇARIGUAMA;1° DOSE;2156;;;;
ARAÇARIGUAMA;2° DOSE;1368;;;;
ARAÇATUBA;1° DOSE;39186;;;;
ARAÇATUBA;2° DOSE;24078;;;;
ARAÇOIABA DA SERRA;1° DOSE;4584;;;;
ARAÇOIABA DA SERRA;2° DOSE;2689;;;;
ARAMINA;1° DOSE;987;;;;
ARAMINA;2° DOSE;575;;;;
ARANDU;1° DOSE;1105;;;;
ARANDU;2° DOSE;587;;;;
ARAPEÍ;1° DOSE;478;;;;
ARAPEÍ;2° DOSE;299;;;;
ARARAQUARA;1° DOSE;46695;;;;
ARARAQUARA;2° DOSE;27793;;;;
ARARAS;1° DOSE;23666;;;;
ARARAS;2° DOSE;13702;;;;
ARCO-ÍRIS;1° DOSE;562;;;;
ARCO-ÍRIS;2° DOSE;428;;;;
AREALVA;1° DOSE;1785;;;;
AREALVA;2° DOSE;988;;;;
AREIAS;1° DOSE;668;;;;
AREIAS;2° DOSE;361;;;;
AREIÓPOLIS;1° DOSE;1214;;;;
AREIÓPOLIS;2° DOSE;659;;;;
ARIRANHA;1° DOSE;1632;;;;
ARIRANHA;2° DOSE;1005;;;;
ARTUR NOGUEIRA;1° DOSE;7218;;;;
ARTUR NOGUEIRA;2° DOSE;3623;;;;
ARUJÁ;1° DOSE;11149;;;;
ARUJÁ;2° DOSE;5798;;;;
ASPÁSIA;1° DOSE;440;;;;
ASPÁSIA;2° DOSE;257;;;;
ASSIS;1° DOSE;19913;;;;
ASSIS;2° DOSE;11691;;;;
ATIBAIA;1° DOSE;25181;;;;
ATIBAIA;2° DOSE;14053;;;;
AURIFLAMA;1° DOSE;2778;;;;
AURIFLAMA;2° DOSE;1560;;;;
AVAÍ;1° DOSE;1218;;;;
AVAÍ;2° DOSE;817;;;;
AVANHANDAVA;1° DOSE;1508;;;;
AVANHANDAVA;2° DOSE;748;;;;
AVARÉ;1° DOSE;16002;;;;
AVARÉ;2° DOSE;8778;;;;
BADY BASSITT;1° DOSE;3064;;;;
BADY BASSITT;2° DOSE;1838;;;;
BALBINOS;1° DOSE;361;;;;
BALBINOS;2° DOSE;133;;;;
BÁLSAMO;1° DOSE;1918;;;;
BÁLSAMO;2° DOSE;1212;;;;
BANANAL;1° DOSE;2040;;;;
BANANAL;2° DOSE;1310;;;;
BARÃO DE ANTONINA;1° DOSE;689;;;;
BARÃO DE ANTONINA;2° DOSE;411;;;;
BARBOSA;1° DOSE;1148;;;;
BARBOSA;2° DOSE;695;;;;
BARIRI;1° DOSE;6423;;;;
BARIRI;2° DOSE;3627;;;;
BARRA BONITA;1° DOSE;7109;;;;
BARRA BONITA;2° DOSE;4083;;;;
BARRA DO CHAPÉU;1° DOSE;725;;;;
BARRA DO CHAPÉU;2° DOSE;376;;;;
BARRA DO TURVO;1° DOSE;1931;;;;
BARRA DO TURVO;2° DOSE;1213;;;;
BARRETOS;1° DOSE;24699;;;;
BARRETOS;2° DOSE;14369;;;;
BARRINHA;1° DOSE;3115;;;;
BARRINHA;2° DOSE;1862;;;;
BARUERI;1° DOSE;36529;;;;
BARUERI;2° DOSE;22193;;;;
BASTOS;1° DOSE;3802;;;;
BASTOS;2° DOSE;1995;;;;
BATATAIS;1° DOSE;10838;;;;
BATATAIS;2° DOSE;6060;;;;
BAURU;1° DOSE;71457;;;;
BAURU;2° DOSE;41391;;;;
BEBEDOURO;1° DOSE;14848;;;;
BEBEDOURO;2° DOSE;8834;;;;
BENTO DE ABREU;1° DOSE;419;;;;
BENTO DE ABREU;2° DOSE;257;;;;
BERNARDINO DE CAMPOS;1° DOSE;2406;;;;
BERNARDINO DE CAMPOS;2° DOSE;1421;;;;
BERTIOGA;1° DOSE;7610;;;;
BERTIOGA;2° DOSE;4317;;;;
BILAC;1° DOSE;1795;;;;
BILAC;2° DOSE;1052;;;;
BIRIGUI;1° DOSE;17341;;;;
BIRIGUI;2° DOSE;9561;;;;
BIRITIBA MIRIM;1° DOSE;4228;;;;
BIRITIBA MIRIM;2° DOSE;2555;;;;
BOA ESPERANÇA DO SUL;1° DOSE;1943;;;;
BOA ESPERANÇA DO SUL;2° DOSE;1172;;;;
BOCAINA;1° DOSE;1917;;;;
BOCAINA;2° DOSE;1044;;;;
BOFETE;1° DOSE;1996;;;;
BOFETE;2° DOSE;1046;;;;
BOITUVA;1° DOSE;7842;;;;
BOITUVA;2° DOSE;4314;;;;
BOM JESUS DOS PERDÕES;1° DOSE;3098;;;;
BOM JESUS DOS PERDÕES;2° DOSE;1462;;;;
BOM SUCESSO DE ITARARÉ;1° DOSE;374;;;;
BOM SUCESSO DE ITARARÉ;2° DOSE;182;;;;
BORÁ;1° DOSE;187;;;;
BORÁ;2° DOSE;123;;;;
BORACÉIA;1° DOSE;853;;;;
BORACÉIA;2° DOSE;505;;;;
BORBOREMA;1° DOSE;2914;;;;
BORBOREMA;2° DOSE;1672;;;;
BOREBI;1° DOSE;394;;;;
BOREBI;2° DOSE;182;;;;
BOTUCATU;1° DOSE;29635;;;;
BOTUCATU;2° DOSE;18000;;;;
BRAGANÇA PAULISTA;1° DOSE;30086;;;;
BRAGANÇA PAULISTA;2° DOSE;18652;;;;
BRAÚNA;1° DOSE;1087;;;;
BRAÚNA;2° DOSE;682;;;;
BREJO ALEGRE;1° DOSE;503;;;;
BREJO ALEGRE;2° DOSE;358;;;;
BRODOWSKI;1° DOSE;3880;;;;
BRODOWSKI;2° DOSE;2401;;;;
BROTAS;1° DOSE;3873;;;;
BROTAS;2° DOSE;2132;;;;
BURI;1° DOSE;2454;;;;
BURI;2° DOSE;1320;;;;
BURITAMA;1° DOSE;3118;;;;
BURITAMA;2° DOSE;1792;;;;
BURITIZAL;1° DOSE;899;;;;
BURITIZAL;2° DOSE;496;;;;
CABRÁLIA PAULISTA;1° DOSE;759;;;;
CABRÁLIA PAULISTA;2° DOSE;436;;;;
