Município;Dose;Total Doses Aplicadas;;;;
ADAMANTINA;1° DOSE;10427;;;;
ADAMANTINA;2° DOSE;5712;;;;
ADOLFO;1° DOSE;1145;;;;
ADOLFO;2° DOSE;586;;;;
AGUAÍ;1° DOSE;6364;;;;
AGUAÍ;2° DOSE;3386;;;;
ÁGUAS DA PRATA;1° DOSE;2400;;;;
ÁGUAS DA PRATA;2° DOSE;1111;;;;
ÁGUAS DE LINDÓIA;1° DOSE;4632;;;;
ÁGUAS DE LINDÓIA;2° DOSE;2349;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1187;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;772;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;1415;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;715;;;;
AGUDOS;1° DOSE;8372;;;;
AGUDOS;2° DOSE;5124;;;;
ALAMBARI;1° DOSE;1297;;;;
ALAMBARI;2° DOSE;453;;;;
ALFREDO MARCONDES;1° DOSE;1318;;;;
ALFREDO MARCONDES;2° DOSE;769;;;;
ALTAIR;1° DOSE;754;;;;
ALTAIR;2° DOSE;436;;;;
ALTINÓPOLIS;1° DOSE;4099;;;;
ALTINÓPOLIS;2° DOSE;2245;;;;
ALTO ALEGRE;1° DOSE;1190;;;;
ALTO ALEGRE;2° DOSE;717;;;;
ALUMÍNIO;1° DOSE;2810;;;;
ALUMÍNIO;2° DOSE;1486;;;;
ÁLVARES FLORENCE;1° DOSE;1134;;;;
ÁLVARES FLORENCE;2° DOSE;585;;;;
ÁLVARES MACHADO;1° DOSE;5503;;;;
ÁLVARES MACHADO;2° DOSE;2751;;;;
ÁLVARO DE CARVALHO;1° DOSE;765;;;;
ÁLVARO DE CARVALHO;2° DOSE;450;;;;
ALVINLÂNDIA;1° DOSE;690;;;;
ALVINLÂNDIA;2° DOSE;335;;;;
AMERICANA;1° DOSE;52045;;;;
AMERICANA;2° DOSE;26720;;;;
AMÉRICO BRASILIENSE;1° DOSE;6672;;;;
AMÉRICO BRASILIENSE;2° DOSE;3953;;;;
AMÉRICO DE CAMPOS;1° DOSE;1508;;;;
AMÉRICO DE CAMPOS;2° DOSE;820;;;;
AMPARO;1° DOSE;16537;;;;
AMPARO;2° DOSE;9166;;;;
ANALÂNDIA;1° DOSE;1050;;;;
ANALÂNDIA;2° DOSE;590;;;;
ANDRADINA;1° DOSE;13854;;;;
ANDRADINA;2° DOSE;8343;;;;
ANGATUBA;1° DOSE;4849;;;;
ANGATUBA;2° DOSE;2107;;;;
ANHEMBI;1° DOSE;1324;;;;
ANHEMBI;2° DOSE;558;;;;
ANHUMAS;1° DOSE;1013;;;;
ANHUMAS;2° DOSE;517;;;;
APARECIDA;1° DOSE;8025;;;;
APARECIDA;2° DOSE;3875;;;;
APARECIDA D'OESTE;1° DOSE;1426;;;;
APARECIDA D'OESTE;2° DOSE;751;;;;
APIAÍ;1° DOSE;4709;;;;
APIAÍ;2° DOSE;2489;;;;
ARAÇARIGUAMA;1° DOSE;2693;;;;
ARAÇARIGUAMA;2° DOSE;1547;;;;
ARAÇATUBA;1° DOSE;49480;;;;
ARAÇATUBA;2° DOSE;26406;;;;
ARAÇOIABA DA SERRA;1° DOSE;5691;;;;
ARAÇOIABA DA SERRA;2° DOSE;2985;;;;
ARAMINA;1° DOSE;1258;;;;
ARAMINA;2° DOSE;620;;;;
ARANDU;1° DOSE;1380;;;;
ARANDU;2° DOSE;662;;;;
ARAPEÍ;1° DOSE;576;;;;
ARAPEÍ;2° DOSE;334;;;;
ARARAQUARA;1° DOSE;57065;;;;
ARARAQUARA;2° DOSE;31706;;;;
ARARAS;1° DOSE;29024;;;;
ARARAS;2° DOSE;15858;;;;
ARCO-ÍRIS;1° DOSE;690;;;;
ARCO-ÍRIS;2° DOSE;473;;;;
AREALVA;1° DOSE;2220;;;;
AREALVA;2° DOSE;1209;;;;
AREIAS;1° DOSE;776;;;;
AREIAS;2° DOSE;451;;;;
AREIÓPOLIS;1° DOSE;1554;;;;
AREIÓPOLIS;2° DOSE;790;;;;
ARIRANHA;1° DOSE;1986;;;;
ARIRANHA;2° DOSE;1062;;;;
ARTUR NOGUEIRA;1° DOSE;9223;;;;
ARTUR NOGUEIRA;2° DOSE;4777;;;;
ARUJÁ;1° DOSE;15283;;;;
ARUJÁ;2° DOSE;6964;;;;
ASPÁSIA;1° DOSE;577;;;;
ASPÁSIA;2° DOSE;284;;;;
ASSIS;1° DOSE;24255;;;;
ASSIS;2° DOSE;13414;;;;
ATIBAIA;1° DOSE;30662;;;;
ATIBAIA;2° DOSE;16486;;;;
AURIFLAMA;1° DOSE;3518;;;;
AURIFLAMA;2° DOSE;1845;;;;
AVAÍ;1° DOSE;1339;;;;
AVAÍ;2° DOSE;946;;;;
AVANHANDAVA;1° DOSE;2087;;;;
AVANHANDAVA;2° DOSE;1026;;;;
AVARÉ;1° DOSE;20501;;;;
AVARÉ;2° DOSE;10673;;;;
BADY BASSITT;1° DOSE;4050;;;;
