Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3894
ADAMANTINA;2° Dose;1535
ADOLFO;1° Dose;308
ADOLFO;2° Dose;136
AGUAÍ;1° Dose;1736
AGUAÍ;2° Dose;610
ÁGUAS DA PRATA;1° Dose;710
ÁGUAS DA PRATA;2° Dose;260
ÁGUAS DE LINDÓIA;1° Dose;1176
ÁGUAS DE LINDÓIA;2° Dose;398
ÁGUAS DE SANTA BÁRBARA;1° Dose;433
ÁGUAS DE SANTA BÁRBARA;2° Dose;173
ÁGUAS DE SÃO PEDRO;1° Dose;482
ÁGUAS DE SÃO PEDRO;2° Dose;182
AGUDOS;1° Dose;3138
AGUDOS;2° Dose;1168
ALAMBARI;1° Dose;297
ALAMBARI;2° Dose;84
ALFREDO MARCONDES;1° Dose;463
ALFREDO MARCONDES;2° Dose;205
ALTAIR;1° Dose;298
ALTAIR;2° Dose;124
ALTINÓPOLIS;1° Dose;1002
ALTINÓPOLIS;2° Dose;377
ALTO ALEGRE;1° Dose;363
ALTO ALEGRE;2° Dose;76
ALUMÍNIO;1° Dose;667
ALUMÍNIO;2° Dose;254
ÁLVARES FLORENCE;1° Dose;363
ÁLVARES FLORENCE;2° Dose;107
ÁLVARES MACHADO;1° Dose;1621
ÁLVARES MACHADO;2° Dose;525
ÁLVARO DE CARVALHO;1° Dose;196
ÁLVARO DE CARVALHO;2° Dose;66
ALVINLÂNDIA;1° Dose;209
ALVINLÂNDIA;2° Dose;86
AMERICANA;1° Dose;13686
AMERICANA;2° Dose;5180
AMÉRICO BRASILIENSE;1° Dose;2253
AMÉRICO BRASILIENSE;2° Dose;823
AMÉRICO DE CAMPOS;1° Dose;491
AMÉRICO DE CAMPOS;2° Dose;188
AMPARO;1° Dose;5342
AMPARO;2° Dose;2068
ANALÂNDIA;1° Dose;333
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;4735
ANDRADINA;2° Dose;1178
ANGATUBA;1° Dose;1076
ANGATUBA;2° Dose;261
ANHEMBI;1° Dose;306
ANHEMBI;2° Dose;93
ANHUMAS;1° Dose;334
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;1973
APARECIDA;2° Dose;763
APARECIDA D'OESTE;1° Dose;479
APARECIDA D'OESTE;2° Dose;192
APIAÍ;1° Dose;1257
APIAÍ;2° Dose;459
ARAÇARIGUAMA;1° Dose;745
ARAÇARIGUAMA;2° Dose;272
ARAÇATUBA;1° Dose;17061
ARAÇATUBA;2° Dose;7207
ARAÇOIABA DA SERRA;1° Dose;1863
ARAÇOIABA DA SERRA;2° Dose;550
ARAMINA;1° Dose;330
ARAMINA;2° Dose;116
ARANDU;1° Dose;401
ARANDU;2° Dose;115
ARAPEÍ;1° Dose;194
ARAPEÍ;2° Dose;71
ARARAQUARA;1° Dose;21193
ARARAQUARA;2° Dose;9918
ARARAS;1° Dose;9499
ARARAS;2° Dose;3910
ARCO-ÍRIS;1° Dose;318
ARCO-ÍRIS;2° Dose;206
AREALVA;1° Dose;651
AREALVA;2° Dose;215
AREIAS;1° Dose;166
AREIAS;2° Dose;51
AREIÓPOLIS;1° Dose;423
AREIÓPOLIS;2° Dose;173
ARIRANHA;1° Dose;679
ARIRANHA;2° Dose;311
ARTUR NOGUEIRA;1° Dose;2683
ARTUR NOGUEIRA;2° Dose;975
ARUJÁ;1° Dose;3366
ARUJÁ;2° Dose;1323
ASPÁSIA;1° Dose;169
ASPÁSIA;2° Dose;70
ASSIS;1° Dose;8887
ASSIS;2° Dose;3800
ATIBAIA;1° Dose;11156
ATIBAIA;2° Dose;4789
AURIFLAMA;1° Dose;1051
AURIFLAMA;2° Dose;351
AVAÍ;1° Dose;669
AVAÍ;2° Dose;483
AVANHANDAVA;1° Dose;566
AVANHANDAVA;2° Dose;227
AVARÉ;1° Dose;6743
AVARÉ;2° Dose;2868
BADY BASSITT;1° Dose;1204
BADY BASSITT;2° Dose;602
BALBINOS;1° Dose;178
BALBINOS;2° Dose;53
BÁLSAMO;1° Dose;766
BÁLSAMO;2° Dose;309
BANANAL;1° Dose;863
BANANAL;2° Dose;312
BARÃO DE ANTONINA;1° Dose;281
BARÃO DE ANTONINA;2° Dose;133
BARBOSA;1° Dose;416
BARBOSA;2° Dose;201
BARIRI;1° Dose;2701
BARIRI;2° Dose;1011
BARRA BONITA;1° Dose;2917
BARRA BONITA;2° Dose;1226
BARRA DO CHAPÉU;1° Dose;222
BARRA DO CHAPÉU;2° Dose;57
BARRA DO TURVO;1° Dose;764
BARRA DO TURVO;2° Dose;485
BARRETOS;1° Dose;11948
BARRETOS;2° Dose;5574
BARRINHA;1° Dose;1322
BARRINHA;2° Dose;474
BARUERI;1° Dose;16261
BARUERI;2° Dose;6308
BASTOS;1° Dose;1410
BASTOS;2° Dose;515
BATATAIS;1° Dose;3275
BATATAIS;2° Dose;1301
BAURU;1° Dose;36446
BAURU;2° Dose;16239
BEBEDOURO;1° Dose;5352
