Município;Dose;Total Doses Aplicadas
ADAMANTINA;1° DOSE;6157
ADAMANTINA;2° DOSE;3384
ADOLFO;1° DOSE;603
ADOLFO;2° DOSE;280
AGUAÍ;1° DOSE;3537
AGUAÍ;2° DOSE;1619
ÁGUAS DA PRATA;1° DOSE;1355
ÁGUAS DA PRATA;2° DOSE;451
ÁGUAS DE LINDÓIA;1° DOSE;2519
ÁGUAS DE LINDÓIA;2° DOSE;827
ÁGUAS DE SANTA BÁRBARA;1° DOSE;845
ÁGUAS DE SANTA BÁRBARA;2° DOSE;275
ÁGUAS DE SÃO PEDRO;1° DOSE;891
ÁGUAS DE SÃO PEDRO;2° DOSE;341
AGUDOS;1° DOSE;5273
AGUDOS;2° DOSE;2259
ALAMBARI;1° DOSE;622
ALAMBARI;2° DOSE;173
ALFREDO MARCONDES;1° DOSE;829
ALFREDO MARCONDES;2° DOSE;409
ALTAIR;1° DOSE;466
ALTAIR;2° DOSE;204
ALTINÓPOLIS;1° DOSE;2163
ALTINÓPOLIS;2° DOSE;842
ALTO ALEGRE;1° DOSE;754
ALTO ALEGRE;2° DOSE;322
ALUMÍNIO;1° DOSE;1472
ALUMÍNIO;2° DOSE;411
ÁLVARES FLORENCE;1° DOSE;723
ÁLVARES FLORENCE;2° DOSE;243
ÁLVARES MACHADO;1° DOSE;2988
ÁLVARES MACHADO;2° DOSE;943
ÁLVARO DE CARVALHO;1° DOSE;408
ÁLVARO DE CARVALHO;2° DOSE;200
ALVINLÂNDIA;1° DOSE;418
ALVINLÂNDIA;2° DOSE;133
AMERICANA;1° DOSE;28614
AMERICANA;2° DOSE;10757
AMÉRICO BRASILIENSE;1° DOSE;3841
AMÉRICO BRASILIENSE;2° DOSE;1757
AMÉRICO DE CAMPOS;1° DOSE;902
AMÉRICO DE CAMPOS;2° DOSE;299
AMPARO;1° DOSE;9618
AMPARO;2° DOSE;3620
ANALÂNDIA;1° DOSE;603
ANALÂNDIA;2° DOSE;231
ANDRADINA;1° DOSE;8484
ANDRADINA;2° DOSE;2972
ANGATUBA;1° DOSE;2612
ANGATUBA;2° DOSE;699
ANHEMBI;1° DOSE;668
ANHEMBI;2° DOSE;151
ANHUMAS;1° DOSE;558
ANHUMAS;2° DOSE;224
APARECIDA;1° DOSE;3700
APARECIDA;2° DOSE;1300
APARECIDA D'OESTE;1° DOSE;817
APARECIDA D'OESTE;2° DOSE;453
APIAÍ;1° DOSE;2711
APIAÍ;2° DOSE;945
ARAÇARIGUAMA;1° DOSE;1530
ARAÇARIGUAMA;2° DOSE;596
ARAÇATUBA;1° DOSE;27859
ARAÇATUBA;2° DOSE;11655
ARAÇOIABA DA SERRA;1° DOSE;3337
ARAÇOIABA DA SERRA;2° DOSE;965
ARAMINA;1° DOSE;675
ARAMINA;2° DOSE;268
ARANDU;1° DOSE;750
ARANDU;2° DOSE;228
ARAPEÍ;1° DOSE;331
ARAPEÍ;2° DOSE;141
ARARAQUARA;1° DOSE;34229
ARARAQUARA;2° DOSE;12840
ARARAS;1° DOSE;16616
ARARAS;2° DOSE;6078
ARCO-ÍRIS;1° DOSE;461
ARCO-ÍRIS;2° DOSE;257
AREALVA;1° DOSE;1320
AREALVA;2° DOSE;374
AREIAS;1° DOSE;483
AREIAS;2° DOSE;184
AREIÓPOLIS;1° DOSE;723
AREIÓPOLIS;2° DOSE;251
ARIRANHA;1° DOSE;1174
ARIRANHA;2° DOSE;599
ARTUR NOGUEIRA;1° DOSE;4972
ARTUR NOGUEIRA;2° DOSE;1534
ARUJÁ;1° DOSE;7033
ARUJÁ;2° DOSE;2677
ASPÁSIA;1° DOSE;289
ASPÁSIA;2° DOSE;158
ASSIS;1° DOSE;14410
ASSIS;2° DOSE;7615
ATIBAIA;1° DOSE;18424
ATIBAIA;2° DOSE;8391
AURIFLAMA;1° DOSE;1992
AURIFLAMA;2° DOSE;626
AVAÍ;1° DOSE;936
AVAÍ;2° DOSE;542
AVANHANDAVA;1° DOSE;1066
AVANHANDAVA;2° DOSE;371
