Município;Dose;Total Doses Aplicadas
BORÁ;2° DOSE;142
NOVA CASTILHO;2° DOSE;187
UNIÃO PAULISTA;2° DOSE;207
TRABIJU;2° DOSE;233
BALBINOS;2° DOSE;220
URU;2° DOSE;210
PRACINHA;2° DOSE;233
PAULISTÂNIA;2° DOSE;265
DIRCE REIS;2° DOSE;274
VITÓRIA BRASIL;2° DOSE;268
FERNÃO;2° DOSE;283
BOREBI;2° DOSE;267
SÃO JOÃO DAS DUAS PONTES;2° DOSE;336
SÃO JOÃO DE IRACEMA;2° DOSE;289
SAGRES;2° DOSE;290
BENTO DE ABREU;2° DOSE;310
BOM SUCESSO DE ITARARÉ;2° DOSE;294
SANTA CRUZ DA ESPERANÇA;2° DOSE;298
SANTA SALETE;2° DOSE;320
ASPÁSIA;2° DOSE;314
GUARANI D'OESTE;2° DOSE;327
MARINÓPOLIS;2° DOSE;344
RUBIÁCEA;2° DOSE;354
SANTANA DA PONTE PENSA;2° DOSE;321
CRUZÁLIA;2° DOSE;277
EMBAÚBA;2° DOSE;324
JUMIRIM;2° DOSE;306
LUCIANÓPOLIS;2° DOSE;337
NANTES;2° DOSE;327
ARAPEÍ;2° DOSE;354
MESÓPOLIS;2° DOSE;362
QUEIROZ;2° DOSE;321
TURIÚBA;2° DOSE;363
FLORA RICA;2° DOSE;379
SANTA CLARA D'OESTE;2° DOSE;359
LOURDES;2° DOSE;402
NOVA CANAÃ PAULISTA;2° DOSE;345
TORRE DE PEDRA;2° DOSE;369
PONTES GESTAL;2° DOSE;318
BREJO ALEGRE;2° DOSE;395
DOLCINÓPOLIS;2° DOSE;355
NOVA GUATAPORANGA;2° DOSE;335
ALVINLÂNDIA;2° DOSE;355
ÓLEO;2° DOSE;341
CÁSSIA DOS COQUEIROS;2° DOSE;363
JERIQUARA;2° DOSE;351
ZACARIAS;2° DOSE;354
SANTA MERCEDES;2° DOSE;404
TAQUARAL;2° DOSE;368
ESTRELA DO NORTE;2° DOSE;322
SÃO JOÃO DO PAU D'ALHO;2° DOSE;425
MONÇÕES;2° DOSE;392
NOVA INDEPENDÊNCIA;2° DOSE;366
ITAPIRAPUÃ PAULISTA;2° DOSE;452
