Município;Dose;Total Doses Aplicadas
BORÁ;2° DOSE;157
NOVA CASTILHO;2° DOSE;207
UNIÃO PAULISTA;2° DOSE;253
TRABIJU;2° DOSE;268
URU;2° DOSE;281
VITÓRIA BRASIL;2° DOSE;310
PAULISTÂNIA;2° DOSE;295
FERNÃO;2° DOSE;328
DIRCE REIS;2° DOSE;348
SÃO JOÃO DE IRACEMA;2° DOSE;340
PRACINHA;2° DOSE;262
BALBINOS;2° DOSE;316
SÃO JOÃO DAS DUAS PONTES;2° DOSE;411
SANTA SALETE;2° DOSE;375
SANTA CRUZ DA ESPERANÇA;2° DOSE;396
ASPÁSIA;2° DOSE;344
MESÓPOLIS;2° DOSE;404
SANTANA DA PONTE PENSA;2° DOSE;395
BOREBI;2° DOSE;319
TURIÚBA;2° DOSE;398
GUARANI D'OESTE;2° DOSE;355
BENTO DE ABREU;2° DOSE;353
ARAPEÍ;2° DOSE;400
EMBAÚBA;2° DOSE;399
JUMIRIM;2° DOSE;373
FLORA RICA;2° DOSE;459
MARINÓPOLIS;2° DOSE;405
CRUZÁLIA;2° DOSE;382
SANTA CLARA D'OESTE;2° DOSE;369
BOM SUCESSO DE ITARARÉ;2° DOSE;370
MONÇÕES;2° DOSE;434
LUCIANÓPOLIS;2° DOSE;428
NOVA GUATAPORANGA;2° DOSE;416
ZACARIAS;2° DOSE;402
TAQUARAL;2° DOSE;409
DOLCINÓPOLIS;2° DOSE;411
NOVA CANAÃ PAULISTA;2° DOSE;446
BREJO ALEGRE;2° DOSE;474
QUEIROZ;2° DOSE;386
LOURDES;2° DOSE;431
ALVINLÂNDIA;2° DOSE;451
NANTES;2° DOSE;351
SAGRES;2° DOSE;411
RUBIÁCEA;2° DOSE;427
ARCO-ÍRIS;2° DOSE;548
TORRE DE PEDRA;2° DOSE;456
SÃO JOÃO DO PAU D'ALHO;2° DOSE;489
TURMALINA;2° DOSE;480
PARISI;2° DOSE;451
CÁSSIA DOS COQUEIROS;2° DOSE;443
PONTES GESTAL;2° DOSE;433
ESTRELA DO NORTE;2° DOSE;368
SANTA MERCEDES;2° DOSE;462
ÓLEO;2° DOSE;518
MOMBUCA;2° DOSE;459
AREIAS;2° DOSE;524
RIBEIRA;2° DOSE;551
ELISIÁRIO;2° DOSE;489
ITAJU;2° DOSE;504
RIBEIRÃO DOS ÍNDIOS;2° DOSE;537
NOVA INDEPENDÊNCIA;2° DOSE;443
PLATINA;2° DOSE;491
JERIQUARA;2° DOSE;465
LUTÉCIA;2° DOSE;511
GABRIEL MONTEIRO;2° DOSE;472
CANAS;2° DOSE;488
NOVA LUZITÂNIA;2° DOSE;549
ITAPIRAPUÃ PAULISTA;2° DOSE;486
TIMBURI;2° DOSE;486
SANTA RITA D'OESTE;2° DOSE;514
ALTAIR;2° DOSE;536
QUADRA;2° DOSE;469
SANTO EXPEDITO;2° DOSE;571
PEDRANÓPOLIS;2° DOSE;524
PONTALINDA;2° DOSE;503
OSCAR BRESSANE;2° DOSE;589
SÃO FRANCISCO;2° DOSE;546
MARAPOAMA;2° DOSE;551
FLORÍNEA;2° DOSE;522
MONTEIRO LOBATO;2° DOSE;689
ÁLVARO DE CARVALHO;2° DOSE;520
SANDOVALINA;2° DOSE;499
CÂNDIDO RODRIGUES;2° DOSE;624
RIBEIRÃO CORRENTE;2° DOSE;558
EMILIANÓPOLIS;2° DOSE;538
PEDRINHAS PAULISTA;2° DOSE;525
MARIÁPOLIS;2° DOSE;572
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;577
PRATÂNIA;2° DOSE;499
JOÃO RAMALHO;2° DOSE;493
TEJUPÁ;2° DOSE;540
ITAOCA;2° DOSE;700
GASTÃO VIDIGAL;2° DOSE;589
CANITAR;2° DOSE;469
JÚLIO MESQUITA;2° DOSE;552
SARUTAIÁ;2° DOSE;580
RUBINÉIA;2° DOSE;535
NOVAIS;2° DOSE;613
MAGDA;2° DOSE;611
SUZANÁPOLIS;2° DOSE;546
CABRÁLIA PAULISTA;2° DOSE;618
MIRA ESTRELA;2° DOSE;566
CORUMBATAÍ;2° DOSE;564
INÚBIA PAULISTA;2° DOSE;635
GLICÉRIO;2° DOSE;634
NIPOÃ;2° DOSE;556
SEBASTIANÓPOLIS DO SUL;2° DOSE;567
ESPÍRITO SANTO DO TURVO;2° DOSE;468
LUPÉRCIO;2° DOSE;627
REDENÇÃO DA SERRA;2° DOSE;654
TAQUARIVAÍ;2° DOSE;492
RIFAINA;2° DOSE;587
BARÃO DE ANTONINA;2° DOSE;605
ONDA VERDE;2° DOSE;607
PONGAÍ;2° DOSE;653
GAVIÃO PEIXOTO;2° DOSE;599
PARANAPUÃ;2° DOSE;605
MARABÁ PAULISTA;2° DOSE;554
ANHUMAS;2° DOSE;631
GUZOLÂNDIA;2° DOSE;602
CAIABU;2° DOSE;647
FLOREAL;2° DOSE;651
ANALÂNDIA;2° DOSE;659
LUIZIÂNIA;2° DOSE;682
PRESIDENTE ALVES;2° DOSE;782
PLANALTO;2° DOSE;595
NARANDIBA;2° DOSE;579
MOTUCA;2° DOSE;530
SÃO JOSÉ DO BARREIRO;2° DOSE;623
BARRA DO CHAPÉU;2° DOSE;575
MERIDIANO;2° DOSE;640
UBIRAJARA;2° DOSE;645
UBARANA;2° DOSE;612
BORACÉIA;2° DOSE;713
IARAS;2° DOSE;630
LAVRINHAS;2° DOSE;615
ITAPURA;2° DOSE;669
PIQUEROBI;2° DOSE;717
OCAUÇU;2° DOSE;661
ÁLVARES FLORENCE;2° DOSE;773
BURITIZAL;2° DOSE;718
MONTE CASTELO;2° DOSE;729
MACEDÔNIA;2° DOSE;687
CAMPOS NOVOS PAULISTA;2° DOSE;677
SALMOURÃO;2° DOSE;748
SANTA MARIA DA SERRA;2° DOSE;807
IPORANGA;2° DOSE;801
SANTA ERNESTINA;2° DOSE;652
ALTO ALEGRE;2° DOSE;850
ADOLFO;2° DOSE;716
CORONEL MACEDO;2° DOSE;710
MURUTINGA DO SUL;2° DOSE;830
MIRASSOLÂNDIA;2° DOSE;771
JAMBEIRO;2° DOSE;784
ARAMINA;2° DOSE;778
RIBEIRÃO DO SUL;2° DOSE;787
ALAMBARI;2° DOSE;759
GUAIMBÊ;2° DOSE;828
PIACATU;2° DOSE;828
INDIAPORÃ;2° DOSE;862
IPEÚNA;2° DOSE;620
IPIGUÁ;2° DOSE;724
BRAÚNA;2° DOSE;882
GUARANTÃ;2° DOSE;879
PARDINHO;2° DOSE;822
ORINDIÚVA;2° DOSE;635
CAIUÁ;2° DOSE;856
POPULINA;2° DOSE;820
COROADOS;2° DOSE;730
INDIANA;2° DOSE;877
ANHEMBI;2° DOSE;816
DOBRADA;2° DOSE;844
NOVA CAMPINA;2° DOSE;778
ÁGUAS DE SÃO PEDRO;2° DOSE;979
ALFREDO MARCONDES;2° DOSE;961
ITIRAPUÃ;2° DOSE;951
TACIBA;2° DOSE;796
ÁGUAS DE SANTA BÁRBARA;2° DOSE;876
APARECIDA D'OESTE;2° DOSE;872
RIVERSUL;2° DOSE;870
VISTA ALEGRE DO ALTO;2° DOSE;918
RESTINGA;2° DOSE;745
PAULICÉIA;2° DOSE;778
SILVEIRAS;2° DOSE;909
CAMPINA DO MONTE ALEGRE;2° DOSE;808
LAVÍNIA;2° DOSE;848
SANTA CRUZ DA CONCEIÇÃO;2° DOSE;988
BARBOSA;2° DOSE;900
SABINO;2° DOSE;1008
TARABAI;2° DOSE;856
ARANDU;2° DOSE;853
COLÔMBIA;2° DOSE;891
TAIAÇU;2° DOSE;953
TAIÚVA;2° DOSE;1069
LAGOINHA;2° DOSE;940
SANTA LÚCIA;2° DOSE;815
AVAÍ;2° DOSE;1142
PEDRA BELA;2° DOSE;922
SANTO ANTÔNIO DO PINHAL;2° DOSE;911
QUINTANA;2° DOSE;967
SÃO JOSÉ DA BELA VISTA;2° DOSE;952
PARAÍSO;2° DOSE;947
AMÉRICO DE CAMPOS;2° DOSE;1019
ORIENTE;2° DOSE;1020
TUIUTI;2° DOSE;1053
IACRI;2° DOSE;956
GUATAPARÁ;2° DOSE;1018
CLEMENTINA;2° DOSE;877
SANTO ANTÔNIO DO JARDIM;2° DOSE;986
IRAPUÃ;2° DOSE;1041
TRÊS FRONTEIRAS;2° DOSE;1079
JABORANDI;2° DOSE;1002
NOVA ALIANÇA;2° DOSE;1046
MENDONÇA;2° DOSE;975
NATIVIDADE DA SERRA;2° DOSE;1117
FERNANDO PRESTES;2° DOSE;1183
JACI;2° DOSE;1085
POLONI;2° DOSE;1072
PALMARES PAULISTA;2° DOSE;952
SALES;2° DOSE;981
ECHAPORÃ;2° DOSE;1110
CRISTAIS PAULISTA;2° DOSE;1074
LINDÓIA;2° DOSE;1101
PEREIRAS;2° DOSE;1038
SANTO ANTÔNIO DO ARACANGUÁ;2° DOSE;1053
REGINÓPOLIS;2° DOSE;977
