Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;5584
ADAMANTINA;2° Dose;1764
ADOLFO;1° Dose;503
ADOLFO;2° Dose;167
AGUAÍ;1° Dose;2921
AGUAÍ;2° Dose;910
ÁGUAS DA PRATA;1° Dose;1064
ÁGUAS DA PRATA;2° Dose;266
ÁGUAS DE LINDÓIA;1° Dose;1757
ÁGUAS DE LINDÓIA;2° Dose;418
ÁGUAS DE SANTA BÁRBARA;1° Dose;685
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
ÁGUAS DE SÃO PEDRO;1° Dose;813
ÁGUAS DE SÃO PEDRO;2° Dose;232
AGUDOS;1° Dose;4369
AGUDOS;2° Dose;1441
ALAMBARI;1° Dose;441
ALAMBARI;2° Dose;120
ALFREDO MARCONDES;1° Dose;693
ALFREDO MARCONDES;2° Dose;207
ALTAIR;1° Dose;435
ALTAIR;2° DOSE;175
ALTINÓPOLIS;1° Dose;1505
ALTINÓPOLIS;2° Dose;472
ALTO ALEGRE;1° Dose;647
ALTO ALEGRE;2° DOSE;214
ALUMÍNIO;1° Dose;1098
ALUMÍNIO;2° Dose;283
ÁLVARES FLORENCE;1° Dose;658
ÁLVARES FLORENCE;2° Dose;114
ÁLVARES MACHADO;1° Dose;2633
ÁLVARES MACHADO;2° Dose;613
ÁLVARO DE CARVALHO;1° Dose;364
ÁLVARO DE CARVALHO;2° Dose;73
ALVINLÂNDIA;1° Dose;371
ALVINLÂNDIA;2° Dose;87
AMERICANA;1° Dose;18102
AMERICANA;2° DOSE;6852
AMÉRICO BRASILIENSE;1° Dose;3448
AMÉRICO BRASILIENSE;2° DOSE;1322
AMÉRICO DE CAMPOS;1° Dose;703
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;7254
AMPARO;2° DOSE;2390
ANALÂNDIA;1° Dose;550
ANALÂNDIA;2° Dose;111
ANDRADINA;1° Dose;6331
ANDRADINA;2° DOSE;2334
ANGATUBA;1° Dose;1865
ANGATUBA;2° Dose;476
ANHEMBI;1° Dose;496
ANHEMBI;2° Dose;115
ANHUMAS;1° Dose;438
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2900
APARECIDA;2° Dose;1016
APARECIDA D'OESTE;1° Dose;662
APARECIDA D'OESTE;2° Dose;218
APIAÍ;1° Dose;2061
APIAÍ;2° Dose;566
ARAÇARIGUAMA;1° Dose;1235
ARAÇARIGUAMA;2° Dose;313
ARAÇATUBA;1° Dose;24194
ARAÇATUBA;2° DOSE;7553
ARAÇOIABA DA SERRA;1° Dose;2855
ARAÇOIABA DA SERRA;2° Dose;653
ARAMINA;1° Dose;440
ARAMINA;2° Dose;116
ARANDU;1° Dose;643
ARANDU;2° Dose;136
ARAPEÍ;1° Dose;258
ARAPEÍ;2° Dose;98
ARARAQUARA;1° Dose;30984
ARARAQUARA;2° DOSE;10422
ARARAS;1° Dose;13679
ARARAS;2° Dose;4037
ARCO-ÍRIS;1° Dose;372
ARCO-ÍRIS;2° Dose;232
AREALVA;1° Dose;1088
AREALVA;2° Dose;255
AREIAS;1° Dose;277
AREIAS;2° Dose;132
AREIÓPOLIS;1° Dose;461
AREIÓPOLIS;2° Dose;226
ARIRANHA;1° Dose;953
ARIRANHA;2° Dose;365
ARTUR NOGUEIRA;1° Dose;4283
ARTUR NOGUEIRA;2° Dose;1074
ARUJÁ;1° Dose;5228
ARUJÁ;2° Dose;1530
ASPÁSIA;1° DOSE;251
ASPÁSIA;2° Dose;79
ASSIS;1° Dose;13142
ASSIS;2° DOSE;4373
ATIBAIA;1° Dose;15866
ATIBAIA;2° DOSE;5287
AURIFLAMA;1° Dose;1515
AURIFLAMA;2° Dose;422
AVAÍ;1° Dose;823
AVAÍ;2° Dose;497
AVANHANDAVA;1° Dose;956
AVANHANDAVA;2° Dose;233
AVARÉ;1° Dose;10334
AVARÉ;2° DOSE;3097
BADY BASSITT;1° Dose;1344
BADY BASSITT;2° Dose;672
BALBINOS;1° Dose;269
BALBINOS;2° DOSE;75
BÁLSAMO;1° Dose;1097
BÁLSAMO;2° Dose;367
BANANAL;1° Dose;1297
BANANAL;2° DOSE;411
BARÃO DE ANTONINA;1° Dose;373
BARÃO DE ANTONINA;2° DOSE;166
BARBOSA;1° Dose;653
BARBOSA;2° DOSE;238
BARIRI;1° Dose;4050
BARIRI;2° DOSE;1139
BARRA BONITA;1° Dose;4353
BARRA BONITA;2° Dose;1248
BARRA DO CHAPÉU;1° Dose;365
BARRA DO CHAPÉU;2° Dose;90
BARRA DO TURVO;1° Dose;1124
BARRA DO TURVO;2° Dose;511
BARRETOS;1° Dose;15273
BARRETOS;2° DOSE;6149
BARRINHA;1° Dose;2115
BARRINHA;2° Dose;649
BARUERI;1° Dose;22233
BARUERI;2° DOSE;8540
BASTOS;1° Dose;2112
BASTOS;2° Dose;625
BATATAIS;1° Dose;4336
BATATAIS;2° Dose;1800
BAURU;1° Dose;49639
BAURU;2° DOSE;17610
BEBEDOURO;1° Dose;6983
BEBEDOURO;2° DOSE;1991
BENTO DE ABREU;1° Dose;279
BENTO DE ABREU;2° Dose;61
BERNARDINO DE CAMPOS;1° Dose;1592
BERNARDINO DE CAMPOS;2° Dose;406
BERTIOGA;1° Dose;3834
BERTIOGA;2° Dose;1325
BILAC;1° Dose;1148
BILAC;2° Dose;322
BIRIGUI;1° Dose;10395
BIRIGUI;2° DOSE;2548
BIRITIBA MIRIM;1° Dose;2395
BIRITIBA MIRIM;2° Dose;592
BOA ESPERANÇA DO SUL;1° Dose;1201
BOA ESPERANÇA DO SUL;2° DOSE;299
BOCAINA;1° Dose;1014
BOCAINA;2° Dose;331
BOFETE;1° Dose;909
BOFETE;2° Dose;202
BOITUVA;1° Dose;3581
BOITUVA;2° Dose;1054
BOM JESUS DOS PERDÕES;1° Dose;1841
BOM JESUS DOS PERDÕES;2° Dose;375
BOM SUCESSO DE ITARARÉ;1° Dose;224
BOM SUCESSO DE ITARARÉ;2° Dose;67
BORÁ;1° DOSE;131
BORÁ;2° Dose;40
BORACÉIA;1° Dose;531
BORACÉIA;2° Dose;125
BORBOREMA;1° Dose;1658
BORBOREMA;2° Dose;408
BOREBI;1° Dose;220
BOREBI;2° Dose;53
BOTUCATU;1° Dose;22101
BOTUCATU;2° DOSE;6827
BRAGANÇA PAULISTA;1° Dose;16124
BRAGANÇA PAULISTA;2° DOSE;5930
BRAÚNA;1° DOSE;732
BRAÚNA;2° Dose;256
BREJO ALEGRE;1° Dose;340
BREJO ALEGRE;2° Dose;47
BRODOWSKI;1° Dose;2327
BRODOWSKI;2° Dose;887
BROTAS;1° Dose;2222
BROTAS;2° DOSE;582
BURI;1° Dose;1294
BURI;2° Dose;287
BURITAMA;1° Dose;1493
BURITAMA;2° DOSE;478
BURITIZAL;1° Dose;575
BURITIZAL;2° Dose;173
CABRÁLIA PAULISTA;1° Dose;479
CABRÁLIA PAULISTA;2° Dose;124
CABREÚVA;1° Dose;2249
CABREÚVA;2° DOSE;757
CAÇAPAVA;1° Dose;6716
CAÇAPAVA;2° Dose;2269
CACHOEIRA PAULISTA;1° Dose;3200
CACHOEIRA PAULISTA;2° Dose;886
CACONDE;1° Dose;2225
CACONDE;2° DOSE;459
CAFELÂNDIA;1° Dose;1385
CAFELÂNDIA;2° DOSE;244
CAIABU;1° Dose;449
CAIABU;2° Dose;112
CAIEIRAS;1° Dose;7272
CAIEIRAS;2° Dose;2053
CAIUÁ;1° Dose;562
CAIUÁ;2° Dose;188
CAJAMAR;1° Dose;4312
CAJAMAR;2° Dose;1037
CAJATI;1° Dose;1877
CAJATI;2° Dose;582
CAJOBI;1° Dose;1132
CAJOBI;2° DOSE;489
CAJURU;1° Dose;2184
CAJURU;2° Dose;732
CAMPINA DO MONTE ALEGRE;1° Dose;598
CAMPINA DO MONTE ALEGRE;2° Dose;128
CAMPINAS;1° Dose;134634
CAMPINAS;2° DOSE;41659
CAMPO LIMPO PAULISTA;1° Dose;4524
CAMPO LIMPO PAULISTA;2° DOSE;1520
CAMPOS DO JORDÃO;1° Dose;4176
CAMPOS DO JORDÃO;2° Dose;1383
CAMPOS NOVOS PAULISTA;1° Dose;388
CAMPOS NOVOS PAULISTA;2° Dose;110
CANANÉIA;1° Dose;1194
CANANÉIA;2° Dose;352
CANAS;1° Dose;323
CANAS;2° Dose;108
CÂNDIDO MOTA;1° Dose;3287
CÂNDIDO MOTA;2° DOSE;853
CÂNDIDO RODRIGUES;1° Dose;438
CÂNDIDO RODRIGUES;2° Dose;105
CANITAR;1° Dose;338
CANITAR;2° Dose;105
CAPÃO BONITO;1° Dose;3948
CAPÃO BONITO;2° Dose;898
CAPELA DO ALTO;1° Dose;1110
CAPELA DO ALTO;2° Dose;281
CAPIVARI;1° Dose;4581
CAPIVARI;2° Dose;1417
CARAGUATATUBA;1° Dose;10111
CARAGUATATUBA;2° Dose;3407
CARAPICUÍBA;1° Dose;20590
CARAPICUÍBA;2° Dose;5623
CARDOSO;1° Dose;1412
CARDOSO;2° Dose;389
CASA BRANCA;1° Dose;2979
CASA BRANCA;2° Dose;1154
CÁSSIA DOS COQUEIROS;1° Dose;331
CÁSSIA DOS COQUEIROS;2° Dose;94
CASTILHO;1° Dose;2052
CASTILHO;2° Dose;625
CATANDUVA;1° Dose;17871
CATANDUVA;2° Dose;6708
CATIGUÁ;1° Dose;860
CATIGUÁ;2° Dose;138
CEDRAL;1° Dose;1116
CEDRAL;2° Dose;475
CERQUEIRA CÉSAR;1° Dose;2109
CERQUEIRA CÉSAR;2° DOSE;544
CERQUILHO;1° Dose;2766
CERQUILHO;2° Dose;904
CESÁRIO LANGE;1° Dose;1478
CESÁRIO LANGE;2° Dose;359
CHARQUEADA;1° Dose;1109
CHARQUEADA;2° Dose;328
CHAVANTES;1° Dose;973
CHAVANTES;2° Dose;243
CLEMENTINA;1° Dose;606
CLEMENTINA;2° DOSE;197
COLINA;1° Dose;944
COLINA;2° DOSE;396
COLÔMBIA;1° Dose;705
COLÔMBIA;2° DOSE;274
CONCHAL;1° Dose;2172
CONCHAL;2° Dose;697
CONCHAS;1° Dose;1888
CONCHAS;2° Dose;466
CORDEIRÓPOLIS;1° Dose;2110
CORDEIRÓPOLIS;2° Dose;421
COROADOS;1° Dose;451
COROADOS;2° Dose;114
CORONEL MACEDO;1° Dose;576
CORONEL MACEDO;2° DOSE;171
CORUMBATAÍ;1° Dose;435
CORUMBATAÍ;2° Dose;126
COSMÓPOLIS;1° Dose;3924
COSMÓPOLIS;2° Dose;965
COSMORAMA;1° Dose;1119
COSMORAMA;2° Dose;240
COTIA;1° Dose;11993
COTIA;2° Dose;4485
CRAVINHOS;1° Dose;2303
CRAVINHOS;2° Dose;613
CRISTAIS PAULISTA;1° Dose;829
CRISTAIS PAULISTA;2° Dose;221
CRUZÁLIA;1° Dose;224
CRUZÁLIA;2° Dose;82
CRUZEIRO;1° Dose;6394
CRUZEIRO;2° Dose;2180
CUBATÃO;1° Dose;9642
CUBATÃO;2° Dose;2609
CUNHA;1° Dose;2141
CUNHA;2° Dose;533
DESCALVADO;1° Dose;4625
DESCALVADO;2° DOSE;1220
DIADEMA;1° Dose;27559
DIADEMA;2° Dose;8943
DIRCE REIS;1° Dose;241
DIRCE REIS;2° Dose;67
DIVINOLÂNDIA;1° Dose;2022
DIVINOLÂNDIA;2° Dose;603
DOBRADA;1° Dose;507
DOBRADA;2° Dose;133
DOIS CÓRREGOS;1° Dose;2648
DOIS CÓRREGOS;2° Dose;801
DOLCINÓPOLIS;1° Dose;337
DOLCINÓPOLIS;2° Dose;76
DOURADO;1° Dose;877
DOURADO;2° Dose;307
DRACENA;1° Dose;7274
DRACENA;2° Dose;2723
DUARTINA;1° Dose;1811
DUARTINA;2° Dose;473
DUMONT;1° Dose;697
DUMONT;2° Dose;231
ECHAPORÃ;1° Dose;705
ECHAPORÃ;2° Dose;272
ELDORADO;1° Dose;2648
ELDORADO;2° Dose;1489
ELIAS FAUSTO;1° Dose;1221
ELIAS FAUSTO;2° Dose;305
ELISIÁRIO;1° Dose;387
ELISIÁRIO;2° Dose;99
EMBAÚBA;1° Dose;314
EMBAÚBA;2° Dose;80
EMBU DAS ARTES;1° Dose;11396
EMBU DAS ARTES;2° Dose;5441
EMBU-GUAÇU;1° Dose;5193
EMBU-GUAÇU;2° Dose;2024
EMILIANÓPOLIS;1° Dose;445
EMILIANÓPOLIS;2° Dose;149
ENGENHEIRO COELHO;1° Dose;1166
ENGENHEIRO COELHO;2° Dose;428
ESPÍRITO SANTO DO PINHAL;1° Dose;5602
ESPÍRITO SANTO DO PINHAL;2° Dose;1808
ESPÍRITO SANTO DO TURVO;1° Dose;351
ESPÍRITO SANTO DO TURVO;2° Dose;94
ESTIVA GERBI;1° Dose;745
ESTIVA GERBI;2° Dose;196
ESTRELA DO NORTE;1° Dose;242
ESTRELA DO NORTE;2° Dose;69
ESTRELA D'OESTE;1° Dose;1239
ESTRELA D'OESTE;2° Dose;386
EUCLIDES DA CUNHA PAULISTA;1° Dose;848
EUCLIDES DA CUNHA PAULISTA;2° Dose;217
