Município;Dose;Total Doses Aplicadas
BORÁ;2° DOSE;123
NOVA CASTILHO;2° DOSE;146
TRABIJU;2° DOSE;152
BALBINOS;2° DOSE;133
PRACINHA;2° DOSE;188
UNIÃO PAULISTA;2° DOSE;201
URU;2° DOSE;190
PAULISTÂNIA;2° DOSE;217
BOREBI;2° DOSE;182
BOM SUCESSO DE ITARARÉ;2° DOSE;197
VITÓRIA BRASIL;2° DOSE;248
FERNÃO;2° DOSE;247
DIRCE REIS;2° DOSE;251
SÃO JOÃO DE IRACEMA;2° DOSE;270
GUARANI D'OESTE;2° DOSE;260
BENTO DE ABREU;2° DOSE;257
SANTA CRUZ DA ESPERANÇA;2° DOSE;224
ASPÁSIA;2° DOSE;257
NANTES;2° DOSE;269
SAGRES;2° DOSE;249
CRUZÁLIA;2° DOSE;233
SANTA SALETE;2° DOSE;272
JUMIRIM;2° DOSE;263
QUEIROZ;2° DOSE;290
ESTRELA DO NORTE;2° DOSE;269
SANTA CLARA D'OESTE;2° DOSE;269
EMBAÚBA;2° DOSE;296
SANTANA DA PONTE PENSA;2° DOSE;282
ARAPEÍ;2° DOSE;299
SÃO JOÃO DAS DUAS PONTES;2° DOSE;306
MESÓPOLIS;2° DOSE;301
RUBIÁCEA;2° DOSE;285
TURIÚBA;2° DOSE;299
LUCIANÓPOLIS;2° DOSE;258
MARINÓPOLIS;2° DOSE;296
NOVA CANAÃ PAULISTA;2° DOSE;302
PONTES GESTAL;2° DOSE;256
ZACARIAS;2° DOSE;295
NOVA GUATAPORANGA;2° DOSE;272
FLORA RICA;2° DOSE;324
JERIQUARA;2° DOSE;317
TAQUARAL;2° DOSE;311
TORRE DE PEDRA;2° DOSE;328
LOURDES;2° DOSE;318
NOVA INDEPENDÊNCIA;2° DOSE;308
BREJO ALEGRE;2° DOSE;358
DOLCINÓPOLIS;2° DOSE;339
PARISI;2° DOSE;329
ALVINLÂNDIA;2° DOSE;305
MOMBUCA;2° DOSE;372
MONÇÕES;2° DOSE;362
CÁSSIA DOS COQUEIROS;2° DOSE;310
ITAPIRAPUÃ PAULISTA;2° DOSE;348
ÓLEO;2° DOSE;281
TAQUARIVAÍ;2° DOSE;347
LUTÉCIA;2° DOSE;316
RIBEIRÃO CORRENTE;2° DOSE;295
GABRIEL MONTEIRO;2° DOSE;344
NOVA LUZITÂNIA;2° DOSE;349
CANITAR;2° DOSE;341
SANTA MERCEDES;2° DOSE;350
TURMALINA;2° DOSE;366
CANAS;2° DOSE;320
SÃO JOÃO DO PAU D'ALHO;2° DOSE;371
PLATINA;2° DOSE;364
RIBEIRA;2° DOSE;390
ÁLVARO DE CARVALHO;2° DOSE;373
ESPÍRITO SANTO DO TURVO;2° DOSE;335
PEDRINHAS PAULISTA;2° DOSE;382
NIPOÃ;2° DOSE;348
ARCO-ÍRIS;2° DOSE;428
JOÃO RAMALHO;2° DOSE;362
TIMBURI;2° DOSE;375
SANDOVALINA;2° DOSE;373
PONTALINDA;2° DOSE;356
ELISIÁRIO;2° DOSE;391
PRATÂNIA;2° DOSE;335
ALTAIR;2° DOSE;421
SUZANÁPOLIS;2° DOSE;380
RIBEIRÃO DOS ÍNDIOS;2° DOSE;406
MARAPOAMA;2° DOSE;371
NOVAIS;2° DOSE;372
QUADRA;2° DOSE;385
MARABÁ PAULISTA;2° DOSE;332
PEDRANÓPOLIS;2° DOSE;394
AREIAS;2° DOSE;367
FLORÍNEA;2° DOSE;393
ITAJU;2° DOSE;384
CÂNDIDO RODRIGUES;2° DOSE;383
PLANALTO;2° DOSE;352
RUBINÉIA;2° DOSE;405
SANTA RITA D'OESTE;2° DOSE;407
MOTUCA;2° DOSE;402
TEJUPÁ;2° DOSE;389
BARÃO DE ANTONINA;2° DOSE;411
GAVIÃO PEIXOTO;2° DOSE;355
SANTO EXPEDITO;2° DOSE;460
SÃO FRANCISCO;2° DOSE;406
MARIÁPOLIS;2° DOSE;411
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;420
EMILIANÓPOLIS;2° DOSE;443
JÚLIO MESQUITA;2° DOSE;402
MIRA ESTRELA;2° DOSE;382
BARRA DO CHAPÉU;2° DOSE;395
NARANDIBA;2° DOSE;431
SEBASTIANÓPOLIS DO SUL;2° DOSE;437
CORUMBATAÍ;2° DOSE;471
LUPÉRCIO;2° DOSE;424
RIFAINA;2° DOSE;395
OSCAR BRESSANE;2° DOSE;476
SARUTAIÁ;2° DOSE;453
REDENÇÃO DA SERRA;2° DOSE;443
ONDA VERDE;2° DOSE;462
SÃO JOSÉ DO BARREIRO;2° DOSE;432
ITAOCA;2° DOSE;542
CABRÁLIA PAULISTA;2° DOSE;436
CAIABU;2° DOSE;435
SANTA ERNESTINA;2° DOSE;389
GASTÃO VIDIGAL;2° DOSE;470
INÚBIA PAULISTA;2° DOSE;456
UBARANA;2° DOSE;432
GUZOLÂNDIA;2° DOSE;460
ITAPURA;2° DOSE;454
LAVRINHAS;2° DOSE;468
MAGDA;2° DOSE;473
GLICÉRIO;2° DOSE;481
ANHUMAS;2° DOSE;472
PRESIDENTE ALVES;2° DOSE;429
ORINDIÚVA;2° DOSE;441
PARANAPUÃ;2° DOSE;479
IPEÚNA;2° DOSE;466
PONGAÍ;2° DOSE;474
OCAUÇU;2° DOSE;478
MERIDIANO;2° DOSE;475
LUIZIÂNIA;2° DOSE;465
MONTEIRO LOBATO;2° DOSE;438
ANALÂNDIA;2° DOSE;496
MACEDÔNIA;2° DOSE;478
UBIRAJARA;2° DOSE;484
CAMPOS NOVOS PAULISTA;2° DOSE;503
IARAS;2° DOSE;445
FLOREAL;2° DOSE;509
ALAMBARI;2° DOSE;419
BORACÉIA;2° DOSE;529
BURITIZAL;2° DOSE;496
PIQUEROBI;2° DOSE;577
ADOLFO;2° DOSE;538
SANTA MARIA DA SERRA;2° DOSE;592
COROADOS;2° DOSE;525
CORONEL MACEDO;2° DOSE;552
SALMOURÃO;2° DOSE;555
ÁLVARES FLORENCE;2° DOSE;525
RIBEIRÃO DO SUL;2° DOSE;543
MONTE CASTELO;2° DOSE;549
ANHEMBI;2° DOSE;471
JAMBEIRO;2° DOSE;526
DOBRADA;2° DOSE;503
MIRASSOLÂNDIA;2° DOSE;600
RESTINGA;2° DOSE;512
CAMPINA DO MONTE ALEGRE;2° DOSE;519
TACIBA;2° DOSE;590
IPIGUÁ;2° DOSE;591
NOVA CAMPINA;2° DOSE;611
CAIUÁ;2° DOSE;608
IPORANGA;2° DOSE;635
ARAMINA;2° DOSE;584
PAULICÉIA;2° DOSE;566
INDIANA;2° DOSE;544
MURUTINGA DO SUL;2° DOSE;625
ALTO ALEGRE;2° DOSE;624
LAVÍNIA;2° DOSE;583
GUAIMBÊ;2° DOSE;621
INDIAPORÃ;2° DOSE;669
PARDINHO;2° DOSE;604
POPULINA;2° DOSE;578
SÃO JOSÉ DA BELA VISTA;2° DOSE;601
SANTA LÚCIA;2° DOSE;607
RIVERSUL;2° DOSE;626
TARABAI;2° DOSE;658
ARANDU;2° DOSE;612
COLÔMBIA;2° DOSE;659
GUARANTÃ;2° DOSE;661
ÁGUAS DE SANTA BÁRBARA;2° DOSE;678
PIACATU;2° DOSE;655
PALMARES PAULISTA;2° DOSE;630
VISTA ALEGRE DO ALTO;2° DOSE;659
MENDONÇA;2° DOSE;684
BRAÚNA;2° DOSE;687
CLEMENTINA;2° DOSE;644
LAGOINHA;2° DOSE;692
SANTO ANTÔNIO DO PINHAL;2° DOSE;673
SILVEIRAS;2° DOSE;705
ITIRAPUÃ;2° DOSE;643
ALFREDO MARCONDES;2° DOSE;660
ÁGUAS DE SÃO PEDRO;2° DOSE;663
