Ds Município;Dose;Contagem de Id Vacinacao;;;;
ADAMANTINA;1° DOSE;6057;;;;
ADAMANTINA;2° DOSE;2201;;;;
ADOLFO;1° DOSE;571;;;;
ADOLFO;2° DOSE;194;;;;
AGUAÍ;1° DOSE;3472;;;;
AGUAÍ;2° DOSE;1124;;;;
ÁGUAS DA PRATA;1° DOSE;1293;;;;
ÁGUAS DA PRATA;2° DOSE;298;;;;
ÁGUAS DE LINDÓIA;1° DOSE;2347;;;;
ÁGUAS DE LINDÓIA;2° DOSE;619;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;812;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;179;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;849;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;275;;;;
AGUDOS;1° DOSE;4960;;;;
AGUDOS;2° DOSE;1788;;;;
ALAMBARI;1° DOSE;602;;;;
ALAMBARI;2° DOSE;136;;;;
ALFREDO MARCONDES;1° DOSE;762;;;;
ALFREDO MARCONDES;2° DOSE;263;;;;
ALTAIR;1° DOSE;435;;;;
ALTAIR;2° DOSE;175;;;;
ALTINÓPOLIS;1° DOSE;2002;;;;
ALTINÓPOLIS;2° DOSE;595;;;;
ALTO ALEGRE;1° DOSE;692;;;;
ALTO ALEGRE;2° DOSE;217;;;;
ALUMÍNIO;1° DOSE;1344;;;;
ALUMÍNIO;2° DOSE;335;;;;
ÁLVARES FLORENCE;1° DOSE;688;;;;
ÁLVARES FLORENCE;2° DOSE;208;;;;
ÁLVARES MACHADO;1° DOSE;2916;;;;
ÁLVARES MACHADO;2° DOSE;879;;;;
ÁLVARO DE CARVALHO;1° DOSE;400;;;;
ÁLVARO DE CARVALHO;2° DOSE;139;;;;
ALVINLÂNDIA;1° DOSE;394;;;;
ALVINLÂNDIA;2° DOSE;110;;;;
AMERICANA;1° DOSE;23157;;;;
AMERICANA;2° DOSE;8050;;;;
AMÉRICO BRASILIENSE;1° DOSE;3740;;;;
AMÉRICO BRASILIENSE;2° DOSE;1621;;;;
AMÉRICO DE CAMPOS;1° DOSE;854;;;;
AMÉRICO DE CAMPOS;2° DOSE;214;;;;
AMPARO;1° DOSE;9127;;;;
AMPARO;2° DOSE;2850;;;;
ANALÂNDIA;1° DOSE;566;;;;
ANALÂNDIA;2° DOSE;171;;;;
ANDRADINA;1° DOSE;7687;;;;
ANDRADINA;2° DOSE;2453;;;;
ANGATUBA;1° DOSE;2338;;;;
ANGATUBA;2° DOSE;647;;;;
ANHEMBI;1° DOSE;594;;;;
ANHEMBI;2° DOSE;122;;;;
ANHUMAS;1° DOSE;548;;;;
ANHUMAS;2° DOSE;174;;;;
APARECIDA;1° DOSE;3388;;;;
APARECIDA;2° DOSE;1141;;;;
APARECIDA D'OESTE;1° DOSE;796;;;;
APARECIDA D'OESTE;2° DOSE;338;;;;
APIAÍ;1° DOSE;2379;;;;
APIAÍ;2° DOSE;810;;;;
ARAÇARIGUAMA;1° DOSE;1483;;;;
ARAÇARIGUAMA;2° DOSE;427;;;;
ARAÇATUBA;1° DOSE;26624;;;;
ARAÇATUBA;2° DOSE;9973;;;;
ARAÇOIABA DA SERRA;1° DOSE;3149;;;;
ARAÇOIABA DA SERRA;2° DOSE;737;;;;
ARAMINA;1° DOSE;630;;;;
ARAMINA;2° DOSE;205;;;;
ARANDU;1° DOSE;726;;;;
ARANDU;2° DOSE;211;;;;
ARAPEÍ;1° DOSE;323;;;;
ARAPEÍ;2° DOSE;108;;;;
ARARAQUARA;1° DOSE;33706;;;;
ARARAQUARA;2° DOSE;10819;;;;
ARARAS;1° DOSE;14655;;;;
ARARAS;2° DOSE;5066;;;;
ARCO-ÍRIS;1° DOSE;426;;;;
ARCO-ÍRIS;2° DOSE;242;;;;
AREALVA;1° DOSE;1220;;;;
AREALVA;2° DOSE;302;;;;
AREIAS;1° DOSE;418;;;;
AREIAS;2° DOSE;162;;;;
AREIÓPOLIS;1° DOSE;652;;;;
AREIÓPOLIS;2° DOSE;228;;;;
ARIRANHA;1° DOSE;1095;;;;
ARIRANHA;2° DOSE;424;;;;
ARTUR NOGUEIRA;1° DOSE;4835;;;;
ARTUR NOGUEIRA;2° DOSE;1453;;;;
ARUJÁ;1° DOSE;6536;;;;
ARUJÁ;2° DOSE;2204;;;;
ASPÁSIA;1° DOSE;265;;;;
ASPÁSIA;2° DOSE;125;;;;
ASSIS;1° DOSE;14226;;;;
ASSIS;2° DOSE;5797;;;;
ATIBAIA;1° DOSE;18195;;;;
ATIBAIA;2° DOSE;6757;;;;
AURIFLAMA;1° DOSE;1933;;;;
AURIFLAMA;2° DOSE;564;;;;
AVAÍ;1° DOSE;883;;;;
AVAÍ;2° DOSE;529;;;;
AVANHANDAVA;1° DOSE;1064;;;;
AVANHANDAVA;2° DOSE;272;;;;
AVARÉ;1° DOSE;11091;;;;
AVARÉ;2° DOSE;3388;;;;
BADY BASSITT;1° DOSE;1402;;;;
BADY BASSITT;2° DOSE;779;;;;
BALBINOS;1° DOSE;269;;;;
BALBINOS;2° DOSE;87;;;;
BÁLSAMO;1° DOSE;1391;;;;
BÁLSAMO;2° DOSE;580;;;;
BANANAL;1° DOSE;1449;;;;
BANANAL;2° DOSE;570;;;;
BARÃO DE ANTONINA;1° DOSE;450;;;;
BARÃO DE ANTONINA;2° DOSE;179;;;;
BARBOSA;1° DOSE;702;;;;
BARBOSA;2° DOSE;241;;;;
BARIRI;1° DOSE;4374;;;;
BARIRI;2° DOSE;1423;;;;
BARRA BONITA;1° DOSE;4779;;;;
BARRA BONITA;2° DOSE;1558;;;;
BARRA DO CHAPÉU;1° DOSE;451;;;;
BARRA DO CHAPÉU;2° DOSE;114;;;;
BARRA DO TURVO;1° DOSE;1447;;;;
BARRA DO TURVO;2° DOSE;679;;;;
BARRETOS;1° DOSE;17469;;;;
BARRETOS;2° DOSE;6925;;;;
BARRINHA;1° DOSE;2286;;;;
BARRINHA;2° DOSE;823;;;;
BARUERI;1° DOSE;24352;;;;
BARUERI;2° DOSE;10641;;;;
BASTOS;1° DOSE;2482;;;;
BASTOS;2° DOSE;881;;;;
BATATAIS;1° DOSE;5255;;;;
BATATAIS;2° DOSE;1878;;;;
BAURU;1° DOSE;53705;;;;
BAURU;2° DOSE;23214;;;;
BEBEDOURO;1° DOSE;8956;;;;
BEBEDOURO;2° DOSE;2843;;;;
BENTO DE ABREU;1° DOSE;306;;;;
BENTO DE ABREU;2° DOSE;97;;;;
BERNARDINO DE CAMPOS;1° DOSE;1721;;;;
BERNARDINO DE CAMPOS;2° DOSE;588;;;;
BERTIOGA;1° DOSE;4782;;;;
BERTIOGA;2° DOSE;1717;;;;
BILAC;1° DOSE;1234;;;;
BILAC;2° DOSE;403;;;;
BIRIGUI;1° DOSE;12547;;;;
BIRIGUI;2° DOSE;3360;;;;
BIRITIBA MIRIM;1° DOSE;2771;;;;
BIRITIBA MIRIM;2° DOSE;812;;;;
BOA ESPERANÇA DO SUL;1° DOSE;1306;;;;
BOA ESPERANÇA DO SUL;2° DOSE;406;;;;
BOCAINA;1° DOSE;1253;;;;
BOCAINA;2° DOSE;381;;;;
BOFETE;1° DOSE;1208;;;;
BOFETE;2° DOSE;283;;;;
BOITUVA;1° DOSE;4658;;;;
