Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;5649
ADAMANTINA;2° Dose;1879
ADOLFO;1° Dose;552
ADOLFO;2° Dose;167
AGUAÍ;1° Dose;2973
AGUAÍ;2° Dose;917
ÁGUAS DA PRATA;1° Dose;1167
ÁGUAS DA PRATA;2° Dose;266
ÁGUAS DE LINDÓIA;1° Dose;1920
ÁGUAS DE LINDÓIA;2° Dose;418
ÁGUAS DE SANTA BÁRBARA;1° Dose;718
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
ÁGUAS DE SÃO PEDRO;1° Dose;813
ÁGUAS DE SÃO PEDRO;2° Dose;232
AGUDOS;1° Dose;4578
AGUDOS;2° Dose;1526
ALAMBARI;1° Dose;476
ALAMBARI;2° Dose;120
ALFREDO MARCONDES;1° Dose;757
ALFREDO MARCONDES;2° Dose;207
ALTAIR;1° Dose;435
ALTAIR;2° Dose;175
ALTINÓPOLIS;1° Dose;1580
ALTINÓPOLIS;2° Dose;472
ALTO ALEGRE;1° Dose;649
ALTO ALEGRE;2° Dose;214
ALUMÍNIO;1° Dose;1166
ALUMÍNIO;2° Dose;283
ÁLVARES FLORENCE;1° Dose;672
ÁLVARES FLORENCE;2° Dose;114
ÁLVARES MACHADO;1° Dose;2678
ÁLVARES MACHADO;2° Dose;620
ÁLVARO DE CARVALHO;1° Dose;378
ÁLVARO DE CARVALHO;2° Dose;92
ALVINLÂNDIA;1° Dose;375
ALVINLÂNDIA;2° Dose;87
AMERICANA;1° Dose;19114
AMERICANA;2° Dose;6967
AMÉRICO BRASILIENSE;1° Dose;3532
AMÉRICO BRASILIENSE;2° Dose;1361
AMÉRICO DE CAMPOS;1° Dose;744
AMÉRICO DE CAMPOS;2° Dose;190
AMPARO;1° Dose;7819
AMPARO;2° Dose;2409
ANALÂNDIA;1° Dose;550
ANALÂNDIA;2° Dose;111
ANDRADINA;1° Dose;6618
ANDRADINA;2° Dose;2343
ANGATUBA;1° Dose;1986
ANGATUBA;2° Dose;484
ANHEMBI;1° Dose;498
ANHEMBI;2° Dose;115
ANHUMAS;1° Dose;522
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2976
APARECIDA;2° Dose;1080
APARECIDA D'OESTE;1° Dose;699
APARECIDA D'OESTE;2° Dose;249
APIAÍ;1° Dose;2111
APIAÍ;2° Dose;584
ARAÇARIGUAMA;1° Dose;1253
ARAÇARIGUAMA;2° Dose;314
ARAÇATUBA;1° Dose;24459
ARAÇATUBA;2° Dose;8510
ARAÇOIABA DA SERRA;1° Dose;2943
ARAÇOIABA DA SERRA;2° Dose;660
ARAMINA;1° Dose;484
ARAMINA;2° Dose;139
ARANDU;1° Dose;662
ARANDU;2° Dose;137
ARAPEÍ;1° Dose;299
ARAPEÍ;2° Dose;99
ARARAQUARA;1° Dose;32576
ARARAQUARA;2° Dose;10442
ARARAS;1° Dose;13806
ARARAS;2° Dose;4038
ARCO-ÍRIS;1° Dose;401
ARCO-ÍRIS;2° Dose;232
AREALVA;1° Dose;1105
AREALVA;2° Dose;255
AREIAS;1° Dose;277
AREIAS;2° Dose;132
AREIÓPOLIS;1° Dose;461
AREIÓPOLIS;2° Dose;226
ARIRANHA;1° Dose;1003
ARIRANHA;2° Dose;376
ARTUR NOGUEIRA;1° Dose;4425
ARTUR NOGUEIRA;2° Dose;1077
ARUJÁ;1° Dose;5378
ARUJÁ;2° Dose;1718
ASPÁSIA;1° Dose;257
ASPÁSIA;2° Dose;99
ASSIS;1° Dose;13240
ASSIS;2° Dose;4833
ATIBAIA;1° Dose;16440
ATIBAIA;2° Dose;5471
AURIFLAMA;1° Dose;1726
AURIFLAMA;2° Dose;466
AVAÍ;1° Dose;841
AVAÍ;2° Dose;509
AVANHANDAVA;1° Dose;966
AVANHANDAVA;2° Dose;235
AVARÉ;1° Dose;10498
AVARÉ;2° Dose;3134
BADY BASSITT;1° Dose;1344
BADY BASSITT;2° Dose;672
BALBINOS;1° Dose;269
BALBINOS;2° Dose;75
BÁLSAMO;1° Dose;1111
BÁLSAMO;2° Dose;415
BANANAL;1° Dose;1362
BANANAL;2° Dose;440
BARÃO DE ANTONINA;1° Dose;374
