Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;20
URU;UNICA;26
UNIÃO PAULISTA;UNICA;36
TRABIJU;UNICA;35
FERNÃO;UNICA;30
DIRCE REIS;UNICA;18
SANTANA DA PONTE PENSA;UNICA;32
FLORA RICA;UNICA;19
SÃO JOÃO DE IRACEMA;UNICA;35
SANTA SALETE;UNICA;30
VITÓRIA BRASIL;UNICA;37
PAULISTÂNIA;UNICA;38
ASPÁSIA;UNICA;15
MESÓPOLIS;UNICA;36
TURIÚBA;UNICA;39
MARINÓPOLIS;UNICA;40
SANTA CRUZ DA ESPERANÇA;UNICA;40
ARCO-ÍRIS;UNICA;30
GUARANI D'OESTE;UNICA;30
TURMALINA;UNICA;23
SAGRES;UNICA;46
BOREBI;UNICA;50
NOVA CANAÃ PAULISTA;UNICA;25
ARAPEÍ;UNICA;54
MONÇÕES;UNICA;50
CRUZÁLIA;UNICA;32
SÃO JOÃO DO PAU D'ALHO;UNICA;30
EMBAÚBA;UNICA;60
NOVA GUATAPORANGA;UNICA;35
LUCIANÓPOLIS;UNICA;44
DOLCINÓPOLIS;UNICA;54
BENTO DE ABREU;UNICA;72
SANTA CLARA D'OESTE;UNICA;32
LOURDES;UNICA;47
RIBEIRÃO DOS ÍNDIOS;UNICA;44
BREJO ALEGRE;UNICA;72
ÓLEO;UNICA;57
SÃO JOÃO DAS DUAS PONTES;UNICA;60
TORRE DE PEDRA;UNICA;50
PARISI;UNICA;45
PONTES GESTAL;UNICA;61
ZACARIAS;UNICA;69
NANTES;UNICA;59
TAQUARAL;UNICA;59
CÁSSIA DOS COQUEIROS;UNICA;52
RUBIÁCEA;UNICA;48
LUTÉCIA;UNICA;55
OSCAR BRESSANE;UNICA;45
GABRIEL MONTEIRO;UNICA;62
MOMBUCA;UNICA;71
ALVINLÂNDIA;UNICA;58
TIMBURI;UNICA;39
SANTA MERCEDES;UNICA;53
ESTRELA DO NORTE;UNICA;48
PEDRANÓPOLIS;UNICA;56
NOVA LUZITÂNIA;UNICA;126
QUEIROZ;UNICA;85
JUMIRIM;UNICA;99
BOM SUCESSO DE ITARARÉ;UNICA;77
SANTA RITA D'OESTE;UNICA;58
RIBEIRA;UNICA;58
SÃO FRANCISCO;UNICA;43
PLATINA;UNICA;77
JERIQUARA;UNICA;71
CÂNDIDO RODRIGUES;UNICA;56
SANTO EXPEDITO;UNICA;60
ELISIÁRIO;UNICA;100
PRACINHA;UNICA;10
SUZANÁPOLIS;UNICA;65
FLOREAL;UNICA;50
MARAPOAMA;UNICA;71
QUADRA;UNICA;114
MAGDA;UNICA;65
ITAOCA;UNICA;34
MIRA ESTRELA;UNICA;51
