Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3422
ADAMANTINA;2° Dose;1424
ADOLFO;1° Dose;308
ADOLFO;2° Dose;133
AGUAÍ;1° Dose;1494
AGUAÍ;2° Dose;511
ÁGUAS DA PRATA;1° Dose;546
ÁGUAS DA PRATA;2° Dose;213
ÁGUAS DE LINDÓIA;1° Dose;700
ÁGUAS DE LINDÓIA;2° Dose;341
ÁGUAS DE SANTA BÁRBARA;1° Dose;407
ÁGUAS DE SANTA BÁRBARA;2° Dose;126
ÁGUAS DE SÃO PEDRO;1° Dose;447
ÁGUAS DE SÃO PEDRO;2° Dose;154
AGUDOS;1° Dose;2932
AGUDOS;2° Dose;1132
ALAMBARI;1° Dose;253
ALAMBARI;2° Dose;83
ALFREDO MARCONDES;1° Dose;403
ALFREDO MARCONDES;2° Dose;145
ALTAIR;1° Dose;269
ALTAIR;2° Dose;101
ALTINÓPOLIS;1° Dose;990
ALTINÓPOLIS;2° Dose;375
ALTO ALEGRE;1° Dose;361
ALTO ALEGRE;2° Dose;69
ALUMÍNIO;1° Dose;634
ALUMÍNIO;2° Dose;193
ÁLVARES FLORENCE;1° Dose;339
ÁLVARES FLORENCE;2° Dose;100
ÁLVARES MACHADO;1° Dose;1417
ÁLVARES MACHADO;2° Dose;382
ÁLVARO DE CARVALHO;1° Dose;184
ÁLVARO DE CARVALHO;2° Dose;61
ALVINLÂNDIA;1° Dose;196
ALVINLÂNDIA;2° Dose;84
AMERICANA;1° Dose;12859
AMERICANA;2° Dose;4279
AMÉRICO BRASILIENSE;1° Dose;2184
AMÉRICO BRASILIENSE;2° Dose;757
AMÉRICO DE CAMPOS;1° Dose;442
AMÉRICO DE CAMPOS;2° Dose;125
AMPARO;1° Dose;4753
AMPARO;2° Dose;1535
ANALÂNDIA;1° Dose;267
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;3975
ANDRADINA;2° Dose;566
ANGATUBA;1° Dose;1030
ANGATUBA;2° Dose;210
ANHEMBI;1° Dose;293
ANHEMBI;2° Dose;86
ANHUMAS;1° Dose;302
ANHUMAS;2° Dose;127
APARECIDA;1° Dose;1733
APARECIDA;2° Dose;687
APARECIDA D'OESTE;1° Dose;410
APARECIDA D'OESTE;2° Dose;174
APIAÍ;1° Dose;1072
APIAÍ;2° Dose;395
ARAÇARIGUAMA;1° Dose;663
ARAÇARIGUAMA;2° Dose;202
ARAÇATUBA;1° Dose;15359
ARAÇATUBA;2° Dose;6977
ARAÇOIABA DA SERRA;1° Dose;1271
ARAÇOIABA DA SERRA;2° Dose;315
ARAMINA;1° Dose;295
ARAMINA;2° Dose;104
ARANDU;1° Dose;353
ARANDU;2° Dose;74
ARAPEÍ;1° Dose;138
ARAPEÍ;2° Dose;52
ARARAQUARA;1° Dose;18174
ARARAQUARA;2° Dose;7798
ARARAS;1° Dose;8425
ARARAS;2° Dose;3204
ARCO-ÍRIS;1° Dose;301
ARCO-ÍRIS;2° Dose;204
AREALVA;1° Dose;602
AREALVA;2° Dose;144
AREIAS;1° Dose;166
AREIAS;2° Dose;51
AREIÓPOLIS;1° Dose;330
AREIÓPOLIS;2° Dose;141
ARIRANHA;1° Dose;654
ARIRANHA;2° Dose;311
ARTUR NOGUEIRA;1° Dose;2368
ARTUR NOGUEIRA;2° Dose;895
ARUJÁ;1° Dose;2954
ARUJÁ;2° Dose;1210
ASPÁSIA;1° Dose;127
ASPÁSIA;2° Dose;62
ASSIS;1° Dose;7964
ASSIS;2° Dose;3653
ATIBAIA;1° Dose;10213
ATIBAIA;2° Dose;4407
AURIFLAMA;1° Dose;1027
AURIFLAMA;2° Dose;280
AVAÍ;1° Dose;645
AVAÍ;2° Dose;479
AVANHANDAVA;1° Dose;550
AVANHANDAVA;2° Dose;190
AVARÉ;1° Dose;6364
AVARÉ;2° Dose;2547
BADY BASSITT;1° Dose;1059
BADY BASSITT;2° Dose;544
BALBINOS;1° Dose;167
BALBINOS;2° Dose;53
BÁLSAMO;1° Dose;709
BÁLSAMO;2° Dose;309
