Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3945
ADAMANTINA;2° Dose;1554
ADOLFO;1° Dose;336
ADOLFO;2° Dose;159
AGUAÍ;1° Dose;2161
AGUAÍ;2° Dose;632
ÁGUAS DA PRATA;1° Dose;801
ÁGUAS DA PRATA;2° Dose;261
ÁGUAS DE LINDÓIA;1° Dose;1261
ÁGUAS DE LINDÓIA;2° Dose;401
ÁGUAS DE SANTA BÁRBARA;1° Dose;506
ÁGUAS DE SANTA BÁRBARA;2° Dose;175
ÁGUAS DE SÃO PEDRO;1° Dose;560
ÁGUAS DE SÃO PEDRO;2° Dose;197
AGUDOS;1° Dose;3276
AGUDOS;2° Dose;1194
ALAMBARI;1° Dose;340
ALAMBARI;2° Dose;112
ALFREDO MARCONDES;1° Dose;559
ALFREDO MARCONDES;2° Dose;205
ALTAIR;1° Dose;298
ALTAIR;2° Dose;125
ALTINÓPOLIS;1° Dose;1163
ALTINÓPOLIS;2° Dose;434
ALTO ALEGRE;1° Dose;420
ALTO ALEGRE;2° Dose;97
ALUMÍNIO;1° Dose;755
ALUMÍNIO;2° Dose;268
ÁLVARES FLORENCE;1° Dose;421
ÁLVARES FLORENCE;2° Dose;111
ÁLVARES MACHADO;1° Dose;1848
ÁLVARES MACHADO;2° Dose;559
ÁLVARO DE CARVALHO;1° Dose;242
ÁLVARO DE CARVALHO;2° Dose;69
ALVINLÂNDIA;1° Dose;247
ALVINLÂNDIA;2° Dose;86
AMERICANA;1° Dose;15232
AMERICANA;2° Dose;6165
AMÉRICO BRASILIENSE;1° Dose;2516
AMÉRICO BRASILIENSE;2° Dose;939
AMÉRICO DE CAMPOS;1° Dose;552
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;5810
AMPARO;2° Dose;2365
ANALÂNDIA;1° Dose;333
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;4932
ANDRADINA;2° Dose;2245
ANGATUBA;1° Dose;1239
ANGATUBA;2° Dose;373
ANHEMBI;1° Dose;353
ANHEMBI;2° Dose;105
ANHUMAS;1° Dose;345
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2190
APARECIDA;2° Dose;950
APARECIDA D'OESTE;1° Dose;537
APARECIDA D'OESTE;2° Dose;194
APIAÍ;1° Dose;1386
APIAÍ;2° Dose;490
ARAÇARIGUAMA;1° Dose;814
ARAÇARIGUAMA;2° Dose;295
ARAÇATUBA;1° Dose;17723
ARAÇATUBA;2° Dose;7352
ARAÇOIABA DA SERRA;1° Dose;2020
ARAÇOIABA DA SERRA;2° Dose;552
ARAMINA;1° Dose;374
ARAMINA;2° Dose;116
ARANDU;1° Dose;423
ARANDU;2° Dose;126
ARAPEÍ;1° Dose;205
ARAPEÍ;2° Dose;75
ARARAQUARA;1° Dose;23377
ARARAQUARA;2° Dose;10136
ARARAS;1° Dose;10423
ARARAS;2° Dose;3966
ARCO-ÍRIS;1° Dose;321
ARCO-ÍRIS;2° Dose;207
AREALVA;1° Dose;727
AREALVA;2° Dose;244
AREIAS;1° Dose;263
AREIAS;2° Dose;130
AREIÓPOLIS;1° Dose;461
AREIÓPOLIS;2° Dose;226
ARIRANHA;1° Dose;753
ARIRANHA;2° Dose;313
ARTUR NOGUEIRA;1° Dose;2835
ARTUR NOGUEIRA;2° Dose;1037
ARUJÁ;1° Dose;3782
ARUJÁ;2° Dose;1371
ASPÁSIA;1° Dose;206
ASPÁSIA;2° Dose;70
ASSIS;1° Dose;10524
ASSIS;2° Dose;3856
ATIBAIA;1° Dose;12453
ATIBAIA;2° Dose;4886
AURIFLAMA;1° Dose;1193
AURIFLAMA;2° Dose;388
AVAÍ;1° Dose;683
AVAÍ;2° Dose;484
AVANHANDAVA;1° Dose;676
AVANHANDAVA;2° Dose;228
AVARÉ;1° Dose;7177
AVARÉ;2° Dose;2992
BADY BASSITT;1° Dose;1249
BADY BASSITT;2° Dose;602
BALBINOS;1° Dose;187
BALBINOS;2° Dose;65
BÁLSAMO;1° Dose;865
BÁLSAMO;2° Dose;309
BANANAL;1° Dose;899
BANANAL;2° Dose;328
BARÃO DE ANTONINA;1° Dose;290
BARÃO DE ANTONINA;2° Dose;134
BARBOSA;1° Dose;416
BARBOSA;2° Dose;201
BARIRI;1° Dose;2932
BARIRI;2° Dose;1082
BARRA BONITA;1° Dose;3146
BARRA BONITA;2° Dose;1239
BARRA DO CHAPÉU;1° Dose;263
BARRA DO CHAPÉU;2° Dose;68
BARRA DO TURVO;1° Dose;935
BARRA DO TURVO;2° Dose;494
BARRETOS;1° Dose;12827
BARRETOS;2° Dose;5690
BARRINHA;1° Dose;1479
BARRINHA;2° Dose;493
BARUERI;1° Dose;17348
BARUERI;2° Dose;6601
BASTOS;1° Dose;1550
BASTOS;2° Dose;532
BATATAIS;1° Dose;3381
BATATAIS;2° Dose;1441
BAURU;1° Dose;37252
BAURU;2° Dose;16693
BEBEDOURO;1° Dose;5949
BEBEDOURO;2° Dose;1478
BENTO DE ABREU;1° Dose;187
BENTO DE ABREU;2° Dose;57
BERNARDINO DE CAMPOS;1° Dose;963
BERNARDINO DE CAMPOS;2° Dose;405
BERTIOGA;1° Dose;2895
BERTIOGA;2° Dose;1217
BILAC;1° Dose;825
BILAC;2° Dose;303
BIRIGUI;1° Dose;7391
BIRIGUI;2° Dose;1894
BIRITIBA MIRIM;1° Dose;1625
BIRITIBA MIRIM;2° Dose;428
BOA ESPERANÇA DO SUL;1° Dose;737
BOA ESPERANÇA DO SUL;2° Dose;289
BOCAINA;1° Dose;782
BOCAINA;2° Dose;330
BOFETE;1° Dose;620
BOFETE;2° Dose;186
BOITUVA;1° Dose;2821
BOITUVA;2° Dose;1019
BOM JESUS DOS PERDÕES;1° Dose;1177
BOM JESUS DOS PERDÕES;2° Dose;342
BOM SUCESSO DE ITARARÉ;1° Dose;187
BOM SUCESSO DE ITARARÉ;2° Dose;63
BORÁ;1° Dose;104
BORÁ;2° Dose;38
BORACÉIA;1° Dose;394
BORACÉIA;2° Dose;108
BORBOREMA;1° Dose;1192
BORBOREMA;2° Dose;378
BOREBI;1° Dose;156
BOREBI;2° Dose;45
BOTUCATU;1° Dose;17796
BOTUCATU;2° Dose;6277
BRAGANÇA PAULISTA;1° Dose;12758
BRAGANÇA PAULISTA;2° Dose;5105
BRAÚNA;1° Dose;537
BRAÚNA;2° Dose;248
BREJO ALEGRE;1° Dose;278
BREJO ALEGRE;2° Dose;47
BRODOWSKI;1° Dose;1765
BRODOWSKI;2° Dose;787
BROTAS;1° Dose;1520
BROTAS;2° Dose;562
BURI;1° Dose;932
BURI;2° Dose;265
BURITAMA;1° Dose;1205
BURITAMA;2° Dose;469
BURITIZAL;1° Dose;404
BURITIZAL;2° Dose;160
CABRÁLIA PAULISTA;1° Dose;321
CABRÁLIA PAULISTA;2° Dose;119
CABREÚVA;1° Dose;1736
CABREÚVA;2° Dose;476
CAÇAPAVA;1° Dose;5214
CAÇAPAVA;2° Dose;2132
CACHOEIRA PAULISTA;1° Dose;2296
CACHOEIRA PAULISTA;2° Dose;776
CACONDE;1° Dose;1254
CACONDE;2° Dose;326
CAFELÂNDIA;1° Dose;860
CAFELÂNDIA;2° Dose;129
CAIABU;1° Dose;316
CAIABU;2° Dose;112
CAIEIRAS;1° Dose;5191
CAIEIRAS;2° Dose;1919
CAIUÁ;1° Dose;454
CAIUÁ;2° Dose;166
CAJAMAR;1° Dose;3137
CAJAMAR;2° Dose;773
CAJATI;1° Dose;1384
CAJATI;2° Dose;386
CAJOBI;1° Dose;831
CAJOBI;2° Dose;329
CAJURU;1° Dose;1996
CAJURU;2° Dose;731
CAMPINA DO MONTE ALEGRE;1° Dose;396
CAMPINA DO MONTE ALEGRE;2° Dose;123
CAMPINAS;1° Dose;107368
CAMPINAS;2° Dose;40205
CAMPO LIMPO PAULISTA;1° Dose;2906
CAMPO LIMPO PAULISTA;2° Dose;1357
CAMPOS DO JORDÃO;1° Dose;3042
CAMPOS DO JORDÃO;2° Dose;1321
CAMPOS NOVOS PAULISTA;1° Dose;370
CAMPOS NOVOS PAULISTA;2° Dose;109
CANANÉIA;1° Dose;905
CANANÉIA;2° Dose;323
CANAS;1° Dose;217
CANAS;2° Dose;96
CÂNDIDO MOTA;1° Dose;2072
CÂNDIDO MOTA;2° Dose;771
CÂNDIDO RODRIGUES;1° Dose;288
CÂNDIDO RODRIGUES;2° Dose;105
CANITAR;1° Dose;215
CANITAR;2° Dose;92
CAPÃO BONITO;1° Dose;2671
CAPÃO BONITO;2° Dose;857
CAPELA DO ALTO;1° Dose;773
CAPELA DO ALTO;2° Dose;259
CAPIVARI;1° Dose;3230
CAPIVARI;2° Dose;1170
CARAGUATATUBA;1° Dose;8503
CARAGUATATUBA;2° Dose;3116
CARAPICUÍBA;1° Dose;14626
CARAPICUÍBA;2° Dose;5299
CARDOSO;1° Dose;915
CARDOSO;2° Dose;340
CASA BRANCA;1° Dose;2503
CASA BRANCA;2° Dose;1027
CÁSSIA DOS COQUEIROS;1° Dose;261
CÁSSIA DOS COQUEIROS;2° Dose;84
CASTILHO;1° Dose;1616
CASTILHO;2° Dose;604
CATANDUVA;1° Dose;13958
CATANDUVA;2° Dose;5950
CATIGUÁ;1° Dose;601
CATIGUÁ;2° Dose;138
CEDRAL;1° Dose;944
CEDRAL;2° Dose;442
CERQUEIRA CÉSAR;1° Dose;1383
CERQUEIRA CÉSAR;2° Dose;542
CERQUILHO;1° Dose;1940
CERQUILHO;2° Dose;534
CESÁRIO LANGE;1° Dose;962
CESÁRIO LANGE;2° Dose;357
CHARQUEADA;1° Dose;830
