Municipio;Dose;Contagem de Id Vacinacao
ALAMBARI;1° Dose;3
ALUMINIO;1° Dose;26
ANGATUBA;1° Dose;1
ARACARIGUAMA;1° Dose;7
BARUERI;1° Dose;1
BERTIOGA;1° Dose;21
BOTUCATU;1° Dose;717
CACAPAVA;1° Dose;32
CAMPINA DO MONTE ALEGRE;1° Dose;32
CAMPINAS;1° Dose;773
CATANDUVA;1° Dose;14
CESARIO LANGE;1° Dose;4
CUBATAO;1° Dose;2
GUAREI;1° Dose;1
IGARATA;1° Dose;32
ITAPETININGA;1° Dose;1
ITAPEVI;1° Dose;5
JANDIRA;1° Dose;32
JUMIRIM;1° Dose;6
MARILIA;1° Dose;4
MIRASSOL;1° Dose;16
PARAIBUNA;1° Dose;72
PIEDADE;1° Dose;3
PILAR DO SUL;1° Dose;6
PIRAPORA DO BOM JESUS;1° Dose;16
RIBEIRAO GRANDE;1° Dose;11
RIBEIRAO PIRES;1° Dose;212
RIBEIRAO PRETO;1° Dose;5
SANTA BRANCA;1° Dose;48
SANTANA DE PARNAIBA;1° Dose;184
SAO BERNARDO DO CAMPO;1° Dose;1732
SAO CAETANO DO SUL;1° Dose;13
SAO JOSE DO RIO PRETO;1° Dose;7
SAO PAULO;1° Dose;17763
SAO ROQUE;1° Dose;23
SOROCABA;1° Dose;786
TUPA;1° Dose;2
VARGEM GRANDE PAULISTA;1° Dose;1
