Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;20
URU;UNICA;26
TRABIJU;UNICA;35
UNIÃO PAULISTA;UNICA;36
FERNÃO;UNICA;30
SANTA SALETE;UNICA;30
PAULISTÂNIA;UNICA;38
SÃO JOÃO DE IRACEMA;UNICA;35
DIRCE REIS;UNICA;18
FLORA RICA;UNICA;19
VITÓRIA BRASIL;UNICA;37
SANTANA DA PONTE PENSA;UNICA;32
MESÓPOLIS;UNICA;36
ASPÁSIA;UNICA;15
SANTA CRUZ DA ESPERANÇA;UNICA;40
MARINÓPOLIS;UNICA;40
TURIÚBA;UNICA;39
ARCO-ÍRIS;UNICA;30
BOREBI;UNICA;50
GUARANI D'OESTE;UNICA;30
SAGRES;UNICA;46
LUCIANÓPOLIS;UNICA;44
TURMALINA;UNICA;23
CRUZÁLIA;UNICA;32
NOVA CANAÃ PAULISTA;UNICA;25
EMBAÚBA;UNICA;60
MONÇÕES;UNICA;50
ARAPEÍ;UNICA;54
DOLCINÓPOLIS;UNICA;54
SÃO JOÃO DO PAU D'ALHO;UNICA;30
SÃO JOÃO DAS DUAS PONTES;UNICA;60
NOVA GUATAPORANGA;UNICA;35
BENTO DE ABREU;UNICA;72
SANTA CLARA D'OESTE;UNICA;32
RIBEIRÃO DOS ÍNDIOS;UNICA;44
ÓLEO;UNICA;57
BREJO ALEGRE;UNICA;72
LOURDES;UNICA;47
TORRE DE PEDRA;UNICA;50
ZACARIAS;UNICA;69
NANTES;UNICA;58
PARISI;UNICA;45
TAQUARAL;UNICA;59
PONTES GESTAL;UNICA;61
CÁSSIA DOS COQUEIROS;UNICA;52
LUTÉCIA;UNICA;55
PEDRANÓPOLIS;UNICA;56
ALVINLÂNDIA;UNICA;58
RUBIÁCEA;UNICA;47
SANTA MERCEDES;UNICA;53
ESTRELA DO NORTE;UNICA;48
BOM SUCESSO DE ITARARÉ;UNICA;77
OSCAR BRESSANE;UNICA;45
QUEIROZ;UNICA;85
GABRIEL MONTEIRO;UNICA;62
MOMBUCA;UNICA;71
RIBEIRA;UNICA;58
TIMBURI;UNICA;39
JUMIRIM;UNICA;99
JERIQUARA;UNICA;71
PLATINA;UNICA;77
NOVA LUZITÂNIA;UNICA;126
SANTA RITA D'OESTE;UNICA;58
CÂNDIDO RODRIGUES;UNICA;56
SANTO EXPEDITO;UNICA;60
ELISIÁRIO;UNICA;100
SÃO FRANCISCO;UNICA;43
ALTAIR;UNICA;115
MARAPOAMA;UNICA;71
PEDRINHAS PAULISTA;UNICA;55
FLORÍNEA;UNICA;26
SUZANÁPOLIS;UNICA;65
ITAOCA;UNICA;34
EMILIANÓPOLIS;UNICA;70
