Município;Dose;Total Doses Aplicadas;;;;
ADAMANTINA;1° DOSE;9448;;;;
ADAMANTINA;2° DOSE;5613;;;;
ADOLFO;1° DOSE;1044;;;;
ADOLFO;2° DOSE;577;;;;
AGUAÍ;1° DOSE;5862;;;;
AGUAÍ;2° DOSE;3280;;;;
ÁGUAS DA PRATA;1° DOSE;2186;;;;
ÁGUAS DA PRATA;2° DOSE;1062;;;;
ÁGUAS DE LINDÓIA;1° DOSE;3884;;;;
ÁGUAS DE LINDÓIA;2° DOSE;2138;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1104;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;703;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;1298;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;664;;;;
AGUDOS;1° DOSE;7931;;;;
AGUDOS;2° DOSE;4786;;;;
ALAMBARI;1° DOSE;1180;;;;
ALAMBARI;2° DOSE;427;;;;
ALFREDO MARCONDES;1° DOSE;1241;;;;
ALFREDO MARCONDES;2° DOSE;736;;;;
ALTAIR;1° DOSE;705;;;;
ALTAIR;2° DOSE;421;;;;
ALTINÓPOLIS;1° DOSE;3728;;;;
ALTINÓPOLIS;2° DOSE;2230;;;;
ALTO ALEGRE;1° DOSE;1148;;;;
ALTO ALEGRE;2° DOSE;657;;;;
ALUMÍNIO;1° DOSE;2476;;;;
ALUMÍNIO;2° DOSE;1300;;;;
ÁLVARES FLORENCE;1° DOSE;1008;;;;
ÁLVARES FLORENCE;2° DOSE;556;;;;
ÁLVARES MACHADO;1° DOSE;4982;;;;
ÁLVARES MACHADO;2° DOSE;2591;;;;
ÁLVARO DE CARVALHO;1° DOSE;702;;;;
ÁLVARO DE CARVALHO;2° DOSE;428;;;;
ALVINLÂNDIA;1° DOSE;638;;;;
ALVINLÂNDIA;2° DOSE;325;;;;
AMERICANA;1° DOSE;45123;;;;
AMERICANA;2° DOSE;25065;;;;
AMÉRICO BRASILIENSE;1° DOSE;5913;;;;
AMÉRICO BRASILIENSE;2° DOSE;3579;;;;
AMÉRICO DE CAMPOS;1° DOSE;1471;;;;
AMÉRICO DE CAMPOS;2° DOSE;777;;;;
AMPARO;1° DOSE;14438;;;;
AMPARO;2° DOSE;8425;;;;
ANALÂNDIA;1° DOSE;927;;;;
ANALÂNDIA;2° DOSE;553;;;;
ANDRADINA;1° DOSE;12023;;;;
ANDRADINA;2° DOSE;7714;;;;
ANGATUBA;1° DOSE;4540;;;;
ANGATUBA;2° DOSE;1975;;;;
ANHEMBI;1° DOSE;1159;;;;
ANHEMBI;2° DOSE;501;;;;
ANHUMAS;1° DOSE;865;;;;
ANHUMAS;2° DOSE;487;;;;
APARECIDA;1° DOSE;6540;;;;
APARECIDA;2° DOSE;3577;;;;
APARECIDA D'OESTE;1° DOSE;1312;;;;
APARECIDA D'OESTE;2° DOSE;738;;;;
APIAÍ;1° DOSE;4411;;;;
APIAÍ;2° DOSE;2445;;;;
ARAÇARIGUAMA;1° DOSE;2269;;;;
ARAÇARIGUAMA;2° DOSE;1368;;;;
ARAÇATUBA;1° DOSE;43204;;;;
ARAÇATUBA;2° DOSE;25291;;;;
ARAÇOIABA DA SERRA;1° DOSE;5059;;;;
ARAÇOIABA DA SERRA;2° DOSE;2792;;;;
ARAMINA;1° DOSE;1120;;;;
ARAMINA;2° DOSE;584;;;;
ARANDU;1° DOSE;1125;;;;
ARANDU;2° DOSE;616;;;;
ARAPEÍ;1° DOSE;563;;;;
ARAPEÍ;2° DOSE;317;;;;
ARARAQUARA;1° DOSE;52364;;;;
ARARAQUARA;2° DOSE;29781;;;;
ARARAS;1° DOSE;27231;;;;
ARARAS;2° DOSE;14800;;;;
ARCO-ÍRIS;1° DOSE;627;;;;
ARCO-ÍRIS;2° DOSE;457;;;;
AREALVA;1° DOSE;2104;;;;
AREALVA;2° DOSE;1130;;;;
AREIAS;1° DOSE;750;;;;
AREIAS;2° DOSE;432;;;;
AREIÓPOLIS;1° DOSE;1401;;;;
AREIÓPOLIS;2° DOSE;678;;;;
ARIRANHA;1° DOSE;1910;;;;
ARIRANHA;2° DOSE;1041;;;;
ARTUR NOGUEIRA;1° DOSE;8280;;;;
ARTUR NOGUEIRA;2° DOSE;4347;;;;
ARUJÁ;1° DOSE;13363;;;;
ARUJÁ;2° DOSE;6567;;;;
ASPÁSIA;1° DOSE;517;;;;
ASPÁSIA;2° DOSE;284;;;;
ASSIS;1° DOSE;22839;;;;
ASSIS;2° DOSE;11896;;;;
ATIBAIA;1° DOSE;26899;;;;
ATIBAIA;2° DOSE;15746;;;;
AURIFLAMA;1° DOSE;3176;;;;
AURIFLAMA;2° DOSE;1723;;;;
AVAÍ;1° DOSE;1268;;;;
AVAÍ;2° DOSE;878;;;;
