Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;247
ADOLFO;1° Dose;74
AGUAI;1° Dose;93
AGUAS DA PRATA;1° Dose;79
AGUAS DE LINDOIA;1° Dose;75
AGUAS DE SANTA BARBARA;1° Dose;71
AGUDOS;1° Dose;261
ALAMBARI;1° Dose;23
ALFREDO MARCONDES;1° Dose;6
ALTAIR;1° Dose;103
ALTINOPOLIS;1° Dose;60
ALTO ALEGRE;1° Dose;53
ALUMINIO;1° Dose;122
ALVARES FLORENCE;1° Dose;48
ALVARES MACHADO;1° Dose;168
ALVINLANDIA;1° Dose;32
AMERICANA;1° Dose;246
AMERICO BRASILIENSE;1° Dose;135
AMERICO DE CAMPOS;1° Dose;67
AMPARO;1° Dose;840
ANALANDIA;1° Dose;60
ANDRADINA;1° Dose;71
ANGATUBA;1° Dose;74
ANHEMBI;1° Dose;40
ANHUMAS;1° Dose;63
APARECIDA;1° Dose;129
APARECIDA D'OESTE;1° Dose;64
APIAI;1° Dose;80
ARACARIGUAMA;1° Dose;88
ARACATUBA;1° Dose;1636
ARAMINA;1° Dose;39
ARANDU;1° Dose;69
ARAPEI;1° Dose;24
ARARAQUARA;1° Dose;2783
ARARAS;1° Dose;1584
ARCO-IRIS;1° Dose;37
AREALVA;1° Dose;65
AREIAS;1° Dose;49
AREIOPOLIS;1° Dose;52
ARIRANHA;1° Dose;114
ARTUR NOGUEIRA;1° Dose;107
ARUJA;1° Dose;54
ASPASIA;1° Dose;5
ASSIS;1° Dose;656
ATIBAIA;1° Dose;1446
AURIFLAMA;1° Dose;165
AVAI;1° Dose;77
AVANHANDAVA;1° Dose;60
AVARE;1° Dose;1107
BADY BASSITT;1° Dose;1
BALBINOS;1° Dose;50
BALSAMO;1° Dose;184
BANANAL;1° Dose;107
BARAO DE ANTONINA;1° Dose;42
BARBOSA;1° Dose;91
BARIRI;1° Dose;252
BARRA DO CHAPEU;1° Dose;32
BARRA DO TURVO;1° Dose;45
BARRETOS;1° Dose;1298
BARRINHA;1° Dose;114
BARUERI;1° Dose;1185
BASTOS;1° Dose;87
BATATAIS;1° Dose;12
BAURU;1° Dose;1430
BEBEDOURO;1° Dose;23
BENTO DE ABREU;1° Dose;22
BERTIOGA;1° Dose;398
BILAC;1° Dose;4
BIRIGUI;1° Dose;288
BIRITIBA-MIRIM;1° Dose;166
BOA ESPERANCA DO SUL;1° Dose;102
BOCAINA;1° Dose;133
BOFETE;1° Dose;60
BOITUVA;1° Dose;154
BOM JESUS DOS PERDOES;1° Dose;156
BOM SUCESSO DE ITARARE;1° Dose;25
BORACEIA;1° Dose;51
BORBOREMA;1° Dose;155
BOREBI;1° Dose;37
BOTUCATU;1° Dose;3135
BRAGANCA PAULISTA;1° Dose;1514
BRAUNA;1° Dose;40
BROTAS;1° Dose;183
BURI;1° Dose;8
BURITIZAL;1° Dose;51
CABREUVA;1° Dose;22
CACAPAVA;1° Dose;611
CACHOEIRA PAULISTA;1° Dose;93
CACONDE;1° Dose;20
CAIEIRAS;1° Dose;697
CAIUA;1° Dose;70
CAJAMAR;1° Dose;64
CAJATI;1° Dose;44
CAJOBI;1° Dose;155
CAMPINA DO MONTE ALEGRE;1° Dose;49
CAMPINAS;1° Dose;14813
CAMPO LIMPO PAULISTA;1° Dose;644
CAMPOS DO JORDAO;1° Dose;431
CAMPOS NOVOS PAULISTA;1° Dose;41
CANANEIA;1° Dose;59
CANAS;1° Dose;3
CANDIDO MOTA;1° Dose;139
CANDIDO RODRIGUES;1° Dose;30
CANITAR;1° Dose;36
CAPAO BONITO;1° Dose;316
CAPELA DO ALTO;1° Dose;36
CAPIVARI;1° Dose;5
CARAGUATATUBA;1° Dose;371
CARAPICUIBA;1° Dose;265
CARDOSO;1° Dose;87
CASA BRANCA;1° Dose;31
CASTILHO;1° Dose;61
CATANDUVA;1° Dose;1839
CATIGUA;1° Dose;55
CEDRAL;1° Dose;84
CERQUEIRA CESAR;1° Dose;179
CERQUILHO;1° Dose;106
CESARIO LANGE;1° Dose;117
CHARQUEADA;1° Dose;68
CHAVANTES;1° Dose;2
CLEMENTINA;1° Dose;48
COLINA;1° Dose;41
COLOMBIA;1° Dose;4
CONCHAL;1° Dose;80
CONCHAS;1° Dose;152
CORDEIROPOLIS;1° Dose;188
