Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3395
ADAMANTINA;2° Dose;1332
ADOLFO;1° Dose;286
ADOLFO;2° Dose;133
AGUAÍ;1° Dose;1473
AGUAÍ;2° Dose;457
ÁGUAS DA PRATA;1° Dose;539
ÁGUAS DA PRATA;2° Dose;197
ÁGUAS DE LINDÓIA;1° Dose;690
ÁGUAS DE LINDÓIA;2° Dose;293
ÁGUAS DE SANTA BÁRBARA;1° Dose;406
ÁGUAS DE SANTA BÁRBARA;2° Dose;115
ÁGUAS DE SÃO PEDRO;1° Dose;427
ÁGUAS DE SÃO PEDRO;2° Dose;153
AGUDOS;1° Dose;2913
AGUDOS;2° Dose;1084
ALAMBARI;1° Dose;250
ALAMBARI;2° Dose;68
ALFREDO MARCONDES;1° Dose;374
ALFREDO MARCONDES;2° Dose;138
ALTAIR;1° Dose;269
ALTAIR;2° Dose;101
ALTINÓPOLIS;1° Dose;933
ALTINÓPOLIS;2° Dose;368
ALTO ALEGRE;1° Dose;361
ALTO ALEGRE;2° Dose;69
ALUMÍNIO;1° Dose;612
ALUMÍNIO;2° Dose;192
ÁLVARES FLORENCE;1° Dose;338
ÁLVARES FLORENCE;2° Dose;96
ÁLVARES MACHADO;1° Dose;1402
ÁLVARES MACHADO;2° Dose;365
ÁLVARO DE CARVALHO;1° Dose;179
ÁLVARO DE CARVALHO;2° Dose;55
ALVINLÂNDIA;1° Dose;192
ALVINLÂNDIA;2° Dose;83
AMERICANA;1° Dose;12499
AMERICANA;2° Dose;4033
AMÉRICO BRASILIENSE;1° Dose;2136
AMÉRICO BRASILIENSE;2° Dose;748
AMÉRICO DE CAMPOS;1° Dose;426
AMÉRICO DE CAMPOS;2° Dose;125
AMPARO;1° Dose;4527
AMPARO;2° Dose;1487
ANALÂNDIA;1° Dose;267
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;3725
ANDRADINA;2° Dose;485
ANGATUBA;1° Dose;1026
ANGATUBA;2° Dose;210
ANHEMBI;1° Dose;289
ANHEMBI;2° Dose;46
ANHUMAS;1° Dose;302
ANHUMAS;2° Dose;127
APARECIDA;1° Dose;1687
APARECIDA;2° Dose;581
APARECIDA D'OESTE;1° Dose;395
APARECIDA D'OESTE;2° Dose;174
APIAÍ;1° Dose;1042
APIAÍ;2° Dose;372
ARAÇARIGUAMA;1° Dose;662
ARAÇARIGUAMA;2° Dose;196
ARAÇATUBA;1° Dose;15144
ARAÇATUBA;2° Dose;6696
ARAÇOIABA DA SERRA;1° Dose;1260
ARAÇOIABA DA SERRA;2° Dose;315
ARAMINA;1° Dose;264
ARAMINA;2° Dose;93
ARANDU;1° Dose;353
ARANDU;2° Dose;74
ARAPEÍ;1° Dose;138
ARAPEÍ;2° Dose;52
ARARAQUARA;1° Dose;17546
ARARAQUARA;2° Dose;7050
ARARAS;1° Dose;8413
ARARAS;2° Dose;3204
ARCO-ÍRIS;1° Dose;300
ARCO-ÍRIS;2° Dose;204
AREALVA;1° Dose;595
AREALVA;2° Dose;104
AREIAS;1° Dose;166
AREIAS;2° Dose;51
AREIÓPOLIS;1° Dose;321
AREIÓPOLIS;2° Dose;141
ARIRANHA;1° Dose;645
ARIRANHA;2° Dose;309
ARTUR NOGUEIRA;1° Dose;2350
ARTUR NOGUEIRA;2° Dose;864
