Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;1473
ADOLFO;1° Dose;131
AGUAI;1° Dose;513
AGUAS DA PRATA;1° Dose;256
AGUAS DE LINDOIA;1° Dose;285
AGUAS DE SANTA BARBARA;1° Dose;182
AGUAS DE SAO PEDRO;1° Dose;126
AGUDOS;1° Dose;1665
ALAMBARI;1° Dose;59
ALFREDO MARCONDES;1° Dose;167
ALTAIR;1° Dose;152
ALTINOPOLIS;1° Dose;306
ALTO ALEGRE;1° Dose;104
ALUMINIO;1° Dose;268
ALVARES FLORENCE;1° Dose;95
ALVARES MACHADO;1° Dose;496
ALVARO DE CARVALHO;1° Dose;80
ALVINLANDIA;1° Dose;102
AMERICANA;1° Dose;3667
AMERICO BRASILIENSE;1° Dose;1039
AMERICO DE CAMPOS;1° Dose;185
AMPARO;1° Dose;1987
ANALANDIA;1° Dose;124
ANDRADINA;1° Dose;1627
ANGATUBA;1° Dose;252
ANHEMBI;1° Dose;116
ANHUMAS;1° Dose;138
APARECIDA;1° Dose;561
APARECIDA D'OESTE;1° Dose;194
APIAI;1° Dose;340
ARACARIGUAMA;1° Dose;299
ARACATUBA;1° Dose;7617
ARACOIABA DA SERRA;1° Dose;640
ARAMINA;1° Dose;122
ARANDU;1° Dose;126
ARAPEI;1° Dose;51
ARARAQUARA;1° Dose;7769
ARARAS;1° Dose;4658
ARCO-IRIS;1° Dose;211
AREALVA;1° Dose;208
AREIAS;1° Dose;94
AREIOPOLIS;1° Dose;162
ARIRANHA;1° Dose;325
ARTUR NOGUEIRA;1° Dose;903
ARUJA;1° Dose;494
ASPASIA;1° Dose;71
ASSIS;1° Dose;3014
ATIBAIA;1° Dose;4030
AURIFLAMA;1° Dose;435
AVAI;1° Dose;125
AVANHANDAVA;1° Dose;228
AVARE;1° Dose;3313
BADY BASSITT;1° Dose;386
BALBINOS;1° Dose;84
BALSAMO;1° Dose;337
BANANAL;1° Dose;267
BARAO DE ANTONINA;1° Dose;145
BARBOSA;1° Dose;206
BARIRI;1° Dose;1057
BARRA BONITA;1° Dose;1212
BARRA DO CHAPEU;1° Dose;78
BARRA DO TURVO;1° Dose;157
BARRETOS;1° Dose;5224
BARRINHA;1° Dose;420
BARUERI;1° Dose;7737
BASTOS;1° Dose;383
BATATAIS;1° Dose;171
BAURU;1° Dose;9024
BEBEDOURO;1° Dose;2691
BENTO DE ABREU;1° Dose;52
BERNARDINO DE CAMPOS;1° Dose;316
BERTIOGA;1° Dose;1124
BILAC;1° Dose;179
BIRIGUI;1° Dose;1525
BIRITIBA-MIRIM;1° Dose;386
BOA ESPERANCA DO SUL;1° Dose;263
BOCAINA;1° Dose;259
BOFETE;1° Dose;135
BOITUVA;1° Dose;949
BOM JESUS DOS PERDOES;1° Dose;296
BOM SUCESSO DE ITARARE;1° Dose;69
BORA;1° Dose;60
BORACEIA;1° Dose;115
BORBOREMA;1° Dose;395
BOREBI;1° Dose;50
BOTUCATU;1° Dose;7332
BRAGANCA PAULISTA;1° Dose;4707
BRAUNA;1° Dose;177
BREJO ALEGRE;1° Dose;101
BRODOWSKI;1° Dose;710
BROTAS;1° Dose;471
BURI;1° Dose;172
BURITAMA;1° Dose;451
BURITIZAL;1° Dose;169
CABRALIA PAULISTA;1° Dose;115
CABREUVA;1° Dose;22
CACAPAVA;1° Dose;1300
CACHOEIRA PAULISTA;1° Dose;710
CACONDE;1° Dose;205
CAFELANDIA;1° Dose;103
CAIABU;1° Dose;46
CAIEIRAS;1° Dose;2096
CAIUA;1° Dose;107
CAJAMAR;1° Dose;858
CAJATI;1° Dose;275
CAJOBI;1° Dose;298
CAJURU;1° Dose;359
CAMPINA DO MONTE ALEGRE;1° Dose;119
CAMPINAS;1° Dose;41038
CAMPO LIMPO PAULISTA;1° Dose;1459
CAMPOS DO JORDAO;1° Dose;1196
CAMPOS NOVOS PAULISTA;1° Dose;123
CANANEIA;1° Dose;283
CANAS;1° Dose;40
CANDIDO MOTA;1° Dose;422
CANDIDO RODRIGUES;1° Dose;94
CANITAR;1° Dose;87
CAPAO BONITO;1° Dose;926
CAPELA DO ALTO;1° Dose;158
CAPIVARI;1° Dose;130
CARAGUATATUBA;1° Dose;2502
CARAPICUIBA;1° Dose;2227
CARDOSO;1° Dose;273
CASA BRANCA;1° Dose;396
CASSIA DOS COQUEIROS;1° Dose;54
CASTILHO;1° Dose;530
CATANDUVA;1° Dose;6696
CATIGUA;1° Dose;138
CEDRAL;1° Dose;303
CERQUEIRA CESAR;1° Dose;505
CERQUILHO;1° Dose;628
CESARIO LANGE;1° Dose;295
CHARQUEADA;1° Dose;179
CHAVANTES;1° Dose;169
CLEMENTINA;1° Dose;130
COLINA;1° Dose;265
COLOMBIA;1° Dose;181
CONCHAL;1° Dose;394
CONCHAS;1° Dose;316
CORDEIROPOLIS;1° Dose;381
COROADOS;1° Dose;90
CORONEL MACEDO;1° Dose;136
CORUMBATAI;1° Dose;74
COSMOPOLIS;1° Dose;948
COSMORAMA;1° Dose;215
COTIA;1° Dose;3343
CRAVINHOS;1° Dose;30
CRISTAIS PAULISTA;1° Dose;210
CRUZALIA;1° Dose;64
CRUZEIRO;1° Dose;1192
CUBATAO;1° Dose;1660
CUNHA;1° Dose;274
DESCALVADO;1° Dose;1181
DIADEMA;1° Dose;4252
DIRCE REIS;1° Dose;54
DIVINOLANDIA;1° Dose;604
DOBRADA;1° Dose;146
DOIS CORREGOS;1° Dose;612
DOLCINOPOLIS;1° Dose;58
DOURADO;1° Dose;154
DRACENA;1° Dose;2080
DUARTINA;1° Dose;274
DUMONT;1° Dose;164
ECHAPORA;1° Dose;84
ELDORADO;1° Dose;1037
ELIAS FAUSTO;1° Dose;244
ELISIARIO;1° Dose;75
EMBAUBA;1° Dose;59
EMBU DAS ARTES;1° Dose;2099
EMBU-GUACU;1° Dose;729
EMILIANOPOLIS;1° Dose;91
ENGENHEIRO COELHO;1° Dose;339
ESPIRITO SANTO DO PINHAL;1° Dose;1656
ESPIRITO SANTO DO TURVO;1° Dose;68
ESTIVA GERBI;1° Dose;121
ESTRELA DO NORTE;1° Dose;80
ESTRELA D'OESTE;1° Dose;322
EUCLIDES DA CUNHA PAULISTA;1° Dose;180
FARTURA;1° Dose;455
FERNANDO PRESTES;1° Dose;180
FERNANDOPOLIS;1° Dose;1752
FERNAO;1° Dose;84
FERRAZ DE VASCONCELOS;1° Dose;2699
FLORA RICA;1° Dose;93
FLOREAL;1° Dose;133
FLORIDA PAULISTA;1° Dose;332
FLORINIA;1° Dose;130
FRANCA;1° Dose;6546
FRANCISCO MORATO;1° Dose;1476
FRANCO DA ROCHA;1° Dose;2547
GABRIEL MONTEIRO;1° Dose;32
GALIA;1° Dose;227
GARCA;1° Dose;938
GASTAO VIDIGAL;1° Dose;113
GAVIAO PEIXOTO;1° Dose;133
GENERAL SALGADO;1° Dose;557
GETULINA;1° Dose;51
GLICERIO;1° Dose;100
GUAICARA;1° Dose;159
GUAIMBE;1° Dose;198
GUAIRA;1° Dose;1038
GUAPIACU;1° Dose;291
GUAPIARA;1° Dose;260
GUARA;1° Dose;667
GUARACAI;1° Dose;134
GUARACI;1° Dose;258
GUARANI D'OESTE;1° Dose;47
GUARANTA;1° Dose;167
GUARARAPES;1° Dose;714
GUARAREMA;1° Dose;706
GUARATINGUETA;1° Dose;1289
GUAREI;1° Dose;308
GUARIBA;1° Dose;425
GUARUJA;1° Dose;3916
GUARULHOS;1° Dose;16598
GUATAPARA;1° Dose;117
GUZOLANDIA;1° Dose;95
HERCULANDIA;1° Dose;197
HOLAMBRA;1° Dose;133
HORTOLANDIA;1° Dose;886
IACANGA;1° Dose;312
IACRI;1° Dose;100
IARAS;1° Dose;163
IBATE;1° Dose;469
IBIRA;1° Dose;338
IBIRAREMA;1° Dose;161
IBITINGA;1° Dose;1761
IBIUNA;1° Dose;669
ICEM;1° Dose;242
IEPE;1° Dose;292
IGARACU DO TIETE;1° Dose;325
IGARAPAVA;1° Dose;413
IGARATA;1° Dose;173
IGUAPE;1° Dose;499
ILHA COMPRIDA;1° Dose;211
ILHA SOLTEIRA;1° Dose;895
ILHABELA;1° Dose;877
INDAIATUBA;1° Dose;6540
INDIANA;1° Dose;191
INDIAPORA;1° Dose;114
INUBIA PAULISTA;1° Dose;128
IPAUSSU;1° Dose;323
IPERO;1° Dose;375
IPEUNA;1° Dose;136
IPIGUA;1° Dose;123
IPORANGA;1° Dose;144
IPUA;1° Dose;286
IRACEMAPOLIS;1° Dose;521
IRAPUA;1° Dose;172
IRAPURU;1° Dose;151
ITABERA;1° Dose;297
ITAI;1° Dose;529
ITAJOBI;1° Dose;410
ITAJU;1° Dose;98
ITANHAEM;1° Dose;1214
ITAOCA;1° Dose;87
ITAPECERICA DA SERRA;1° Dose;2078
ITAPETININGA;1° Dose;4428
ITAPEVA;1° Dose;2143
ITAPEVI;1° Dose;1964
ITAPIRA;1° Dose;1179
ITAPIRAPUA PAULISTA;1° Dose;81
ITAPOLIS;1° Dose;983
ITAPORANGA;1° Dose;350
ITAPUI;1° Dose;323
ITAPURA;1° Dose;105
ITAQUAQUECETUBA;1° Dose;2502
ITARARE;1° Dose;958
ITARIRI;1° Dose;186
ITATIBA;1° Dose;2264
ITATINGA;1° Dose;325
ITIRAPINA;1° Dose;342
ITIRAPUA;1° Dose;152
ITOBI;1° Dose;191
ITU;1° Dose;4237
ITUPEVA;1° Dose;755
ITUVERAVA;1° Dose;908
JABORANDI;1° Dose;194
JABOTICABAL;1° Dose;1601
JACAREI;1° Dose;2127
JACI;1° Dose;351
JACUPIRANGA;1° Dose;276
JAGUARIUNA;1° Dose;638
JALES;1° Dose;1705
JAMBEIRO;1° Dose;130
JANDIRA;1° Dose;839
JARDINOPOLIS;1° Dose;597
JARINU;1° Dose;365
JAU;1° Dose;6030
JERIQUARA;1° Dose;101
JOANOPOLIS;1° Dose;372
JOAO RAMALHO;1° Dose;99
JOSE BONIFACIO;1° Dose;858
JULIO MESQUITA;1° Dose;64
JUMIRIM;1° Dose;75
JUNDIAI;1° Dose;6947
JUNQUEIROPOLIS;1° Dose;570
JUQUIA;1° Dose;278
JUQUITIBA;1° Dose;549
LAGOINHA;1° Dose;154
LARANJAL PAULISTA;1° Dose;611
LAVINIA;1° Dose;159
LAVRINHAS;1° Dose;90
LEME;1° Dose;2679
LENCOIS PAULISTA;1° Dose;1717
LIMEIRA;1° Dose;1564
LINDOIA;1° Dose;203
LINS;1° Dose;3047
LORENA;1° Dose;1701
LOURDES;1° Dose;106
LOUVEIRA;1° Dose;925
LUCELIA;1° Dose;456
LUCIANOPOLIS;1° Dose;72
LUIS ANTONIO;1° Dose;311
LUIZIANIA;1° Dose;89
LUPERCIO;1° Dose;103
LUTECIA;1° Dose;79
MACATUBA;1° Dose;478
MACAUBAL;1° Dose;316
MACEDONIA;1° Dose;86
MAGDA;1° Dose;126
MAIRINQUE;1° Dose;600
MAIRIPORA;1° Dose;377
MANDURI;1° Dose;187
MARABA PAULISTA;1° Dose;64
MARACAI;1° Dose;340
MARAPOAMA;1° Dose;100
MARIAPOLIS;1° Dose;90
MARILIA;1° Dose;9102
MARINOPOLIS;1° Dose;68
MARTINOPOLIS;1° Dose;605
MATAO;1° Dose;1971
MAUA;1° Dose;3043
MENDONCA;1° Dose;206
MERIDIANO;1° Dose;122
MESOPOLIS;1° Dose;66
MIGUELOPOLIS;1° Dose;720
MINEIROS DO TIETE;1° Dose;252
MIRA ESTRELA;1° Dose;22
MIRACATU;1° Dose;48
MIRANDOPOLIS;1° Dose;994
MIRANTE DO PARANAPANEMA;1° Dose;422
MIRASSOL;1° Dose;1682
MIRASSOLANDIA;1° Dose;114
MOCOCA;1° Dose;1917
MOGI DAS CRUZES;1° Dose;6809
MOGI GUACU;1° Dose;3111
MOGI MIRIM;1° Dose;2687
MOMBUCA;1° Dose;132
MONCOES;1° Dose;105
MONGAGUA;1° Dose;435
MONTE ALEGRE DO SUL;1° Dose;182
MONTE ALTO;1° Dose;991
MONTE APRAZIVEL;1° Dose;635
MONTE AZUL PAULISTA;1° Dose;533
MONTE CASTELO;1° Dose;128
MONTE MOR;1° Dose;835
MONTEIRO LOBATO;1° Dose;78
MORRO AGUDO;1° Dose;663
MORUNGABA;1° Dose;258
MOTUCA;1° Dose;87
MURUTINGA DO SUL;1° Dose;90
NANTES;1° Dose;91
NARANDIBA;1° Dose;129
NATIVIDADE DA SERRA;1° Dose;123
NAZARE PAULISTA;1° Dose;276
NEVES PAULISTA;1° Dose;396
NHANDEARA;1° Dose;455
NIPOA;1° Dose;73
NOVA ALIANCA;1° Dose;214
NOVA CAMPINA;1° Dose;160
NOVA CANAA PAULISTA;1° Dose;58
NOVA CASTILHO;1° Dose;23
NOVA EUROPA;1° Dose;231
NOVA GRANADA;1° Dose;539
NOVA GUATAPORANGA;1° Dose;63
NOVA INDEPENDENCIA;1° Dose;89
NOVA LUZITANIA;1° Dose;19
NOVA ODESSA;1° Dose;621
NOVAIS;1° Dose;94
NOVO HORIZONTE;1° Dose;1216
NUPORANGA;1° Dose;233
OCAUCU;1° Dose;119
OLEO;1° Dose;58
OLIMPIA;1° Dose;1224
ONDA VERDE;1° Dose;128
ORIENTE;1° Dose;90
ORINDIUVA;1° Dose;179
ORLANDIA;1° Dose;468
OSASCO;1° Dose;3277
OSCAR BRESSANE;1° Dose;53
OSVALDO CRUZ;1° Dose;977
OURINHOS;1° Dose;3358
OURO VERDE;1° Dose;224
OUROESTE;1° Dose;303
PACAEMBU;1° Dose;343
PALESTINA;1° Dose;253
PALMARES PAULISTA;1° Dose;213
PALMEIRA D'OESTE;1° Dose;291
PALMITAL;1° Dose;610
PANORAMA;1° Dose;330
PARAGUACU PAULISTA;1° Dose;737
PARAIBUNA;1° Dose;362
PARAISO;1° Dose;200
PARANAPANEMA;1° Dose;577
PARANAPUA;1° Dose;77
PARAPUA;1° Dose;326
PARDINHO;1° Dose;119
PARIQUERA-ACU;1° Dose;945
PARISI;1° Dose;91
PATROCINIO PAULISTA;1° Dose;354
PAULICEIA;1° Dose;151
PAULINIA;1° Dose;1129
PAULISTANIA;1° Dose;66
PAULO DE FARIA;1° Dose;180
