Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3860
ADAMANTINA;2° Dose;1507
ADOLFO;1° Dose;308
ADOLFO;2° Dose;133
AGUAÍ;1° Dose;1701
AGUAÍ;2° Dose;602
ÁGUAS DA PRATA;1° Dose;710
ÁGUAS DA PRATA;2° Dose;260
ÁGUAS DE LINDÓIA;1° Dose;1089
ÁGUAS DE LINDÓIA;2° Dose;362
ÁGUAS DE SANTA BÁRBARA;1° Dose;432
ÁGUAS DE SANTA BÁRBARA;2° Dose;154
ÁGUAS DE SÃO PEDRO;1° Dose;482
ÁGUAS DE SÃO PEDRO;2° Dose;182
AGUDOS;1° Dose;2959
AGUDOS;2° Dose;1158
ALAMBARI;1° Dose;277
ALAMBARI;2° Dose;83
ALFREDO MARCONDES;1° Dose;457
ALFREDO MARCONDES;2° Dose;205
ALTAIR;1° Dose;269
ALTAIR;2° Dose;123
ALTINÓPOLIS;1° Dose;1002
ALTINÓPOLIS;2° Dose;377
ALTO ALEGRE;1° Dose;363
ALTO ALEGRE;2° Dose;76
ALUMÍNIO;1° Dose;666
ALUMÍNIO;2° Dose;242
ÁLVARES FLORENCE;1° Dose;362
ÁLVARES FLORENCE;2° Dose;107
ÁLVARES MACHADO;1° Dose;1440
ÁLVARES MACHADO;2° Dose;480
ÁLVARO DE CARVALHO;1° Dose;194
ÁLVARO DE CARVALHO;2° Dose;62
ALVINLÂNDIA;1° Dose;197
ALVINLÂNDIA;2° Dose;86
AMERICANA;1° Dose;13335
AMERICANA;2° Dose;4916
AMÉRICO BRASILIENSE;1° Dose;2214
AMÉRICO BRASILIENSE;2° Dose;803
AMÉRICO DE CAMPOS;1° Dose;462
AMÉRICO DE CAMPOS;2° Dose;181
AMPARO;1° Dose;5199
AMPARO;2° Dose;1847
ANALÂNDIA;1° Dose;267
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;4593
ANDRADINA;2° Dose;842
ANGATUBA;1° Dose;1030
ANGATUBA;2° Dose;210
ANHEMBI;1° Dose;294
ANHEMBI;2° Dose;90
ANHUMAS;1° Dose;311
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;1907
APARECIDA;2° Dose;753
APARECIDA D'OESTE;1° Dose;460
APARECIDA D'OESTE;2° Dose;192
APIAÍ;1° Dose;1142
APIAÍ;2° Dose;423
