Município;Dose;Total Doses Aplicadas
BORÁ;2° DOSE;157
NOVA CASTILHO;2° DOSE;207
UNIÃO PAULISTA;2° DOSE;253
TRABIJU;2° DOSE;268
URU;2° DOSE;300
VITÓRIA BRASIL;2° DOSE;310
FERNÃO;2° DOSE;328
PAULISTÂNIA;2° DOSE;296
SÃO JOÃO DE IRACEMA;2° DOSE;340
DIRCE REIS;2° DOSE;348
BALBINOS;2° DOSE;317
SÃO JOÃO DAS DUAS PONTES;2° DOSE;411
PRACINHA;2° DOSE;262
SANTA SALETE;2° DOSE;375
SANTA CRUZ DA ESPERANÇA;2° DOSE;396
MESÓPOLIS;2° DOSE;404
SANTANA DA PONTE PENSA;2° DOSE;396
ASPÁSIA;2° DOSE;344
BOREBI;2° DOSE;321
GUARANI D'OESTE;2° DOSE;355
TURIÚBA;2° DOSE;398
BENTO DE ABREU;2° DOSE;353
ARAPEÍ;2° DOSE;400
FLORA RICA;2° DOSE;459
EMBAÚBA;2° DOSE;399
JUMIRIM;2° DOSE;380
CRUZÁLIA;2° DOSE;382
MARINÓPOLIS;2° DOSE;405
SANTA CLARA D'OESTE;2° DOSE;369
LUCIANÓPOLIS;2° DOSE;428
MONÇÕES;2° DOSE;443
ZACARIAS;2° DOSE;402
BOM SUCESSO DE ITARARÉ;2° DOSE;371
DOLCINÓPOLIS;2° DOSE;411
QUEIROZ;2° DOSE;386
NOVA GUATAPORANGA;2° DOSE;418
NOVA CANAÃ PAULISTA;2° DOSE;446
LOURDES;2° DOSE;431
NANTES;2° DOSE;351
BREJO ALEGRE;2° DOSE;474
TAQUARAL;2° DOSE;409
SAGRES;2° DOSE;411
ALVINLÂNDIA;2° DOSE;451
RUBIÁCEA;2° DOSE;427
ARCO-ÍRIS;2° DOSE;548
TORRE DE PEDRA;2° DOSE;461
TURMALINA;2° DOSE;480
SÃO JOÃO DO PAU D'ALHO;2° DOSE;489
PONTES GESTAL;2° DOSE;433
ESTRELA DO NORTE;2° DOSE;368
PARISI;2° DOSE;452
CÁSSIA DOS COQUEIROS;2° DOSE;443
SANTA MERCEDES;2° DOSE;462
ÓLEO;2° DOSE;518
MOMBUCA;2° DOSE;459
RIBEIRA;2° DOSE;551
ITAJU;2° DOSE;504
ELISIÁRIO;2° DOSE;490
PLATINA;2° DOSE;491
RIBEIRÃO DOS ÍNDIOS;2° DOSE;539
LUTÉCIA;2° DOSE;511
JERIQUARA;2° DOSE;465
NOVA INDEPENDÊNCIA;2° DOSE;444
GABRIEL MONTEIRO;2° DOSE;472
ITAPIRAPUÃ PAULISTA;2° DOSE;486
TIMBURI;2° DOSE;486
NOVA LUZITÂNIA;2° DOSE;549
CANAS;2° DOSE;489
ALTAIR;2° DOSE;536
SANTA RITA D'OESTE;2° DOSE;532
PEDRANÓPOLIS;2° DOSE;524
SANTO EXPEDITO;2° DOSE;571
QUADRA;2° DOSE;469
AREIAS;2° DOSE;540
PONTALINDA;2° DOSE;508
OSCAR BRESSANE;2° DOSE;589
MARAPOAMA;2° DOSE;551
MONTEIRO LOBATO;2° DOSE;691
SÃO FRANCISCO;2° DOSE;546
CÂNDIDO RODRIGUES;2° DOSE;624
PEDRINHAS PAULISTA;2° DOSE;526
EMILIANÓPOLIS;2° DOSE;538
SANDOVALINA;2° DOSE;502
ÁLVARO DE CARVALHO;2° DOSE;520
RIBEIRÃO CORRENTE;2° DOSE;559
FLORÍNEA;2° DOSE;523
MARIÁPOLIS;2° DOSE;572
JOÃO RAMALHO;2° DOSE;493
ITAOCA;2° DOSE;700
PRATÂNIA;2° DOSE;499
TEJUPÁ;2° DOSE;543
MIRA ESTRELA;2° DOSE;566
CORUMBATAÍ;2° DOSE;564
CABRÁLIA PAULISTA;2° DOSE;618
NOVAIS;2° DOSE;613
MAGDA;2° DOSE;611
RUBINÉIA;2° DOSE;535
SARUTAIÁ;2° DOSE;580
GASTÃO VIDIGAL;2° DOSE;589
SUZANÁPOLIS;2° DOSE;546
SEBASTIANÓPOLIS DO SUL;2° DOSE;567
CANITAR;2° DOSE;475
ESPÍRITO SANTO DO TURVO;2° DOSE;468
INÚBIA PAULISTA;2° DOSE;635
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;577
TAQUARIVAÍ;2° DOSE;493
GLICÉRIO;2° DOSE;647
LUPÉRCIO;2° DOSE;631
REDENÇÃO DA SERRA;2° DOSE;654
BARÃO DE ANTONINA;2° DOSE;607
RIFAINA;2° DOSE;598
JÚLIO MESQUITA;2° DOSE;552
NIPOÃ;2° DOSE;556
ONDA VERDE;2° DOSE;607
PARANAPUÃ;2° DOSE;605
PONGAÍ;2° DOSE;653
ANHUMAS;2° DOSE;631
FLOREAL;2° DOSE;651
CAIABU;2° DOSE;647
NARANDIBA;2° DOSE;579
GUZOLÂNDIA;2° DOSE;611
MARABÁ PAULISTA;2° DOSE;554
LUIZIÂNIA;2° DOSE;682
GAVIÃO PEIXOTO;2° DOSE;600
MOTUCA;2° DOSE;530
ANALÂNDIA;2° DOSE;659
PRESIDENTE ALVES;2° DOSE;782
SÃO JOSÉ DO BARREIRO;2° DOSE;623
PLANALTO;2° DOSE;596
UBARANA;2° DOSE;612
BARRA DO CHAPÉU;2° DOSE;576
IARAS;2° DOSE;630
ITAPURA;2° DOSE;669
MERIDIANO;2° DOSE;640
UBIRAJARA;2° DOSE;645
LAVRINHAS;2° DOSE;616
PIQUEROBI;2° DOSE;717
BURITIZAL;2° DOSE;718
MONTE CASTELO;2° DOSE;729
OCAUÇU;2° DOSE;661
ÁLVARES FLORENCE;2° DOSE;773
BORACÉIA;2° DOSE;713
MACEDÔNIA;2° DOSE;693
CAMPOS NOVOS PAULISTA;2° DOSE;677
SANTA MARIA DA SERRA;2° DOSE;807
IPORANGA;2° DOSE;801
SANTA ERNESTINA;2° DOSE;652
ALTO ALEGRE;2° DOSE;851
ADOLFO;2° DOSE;716
ARAMINA;2° DOSE;778
CORONEL MACEDO;2° DOSE;710
SALMOURÃO;2° DOSE;748
JAMBEIRO;2° DOSE;788
RIBEIRÃO DO SUL;2° DOSE;787
MIRASSOLÂNDIA;2° DOSE;771
ALAMBARI;2° DOSE;759
INDIAPORÃ;2° DOSE;862
MURUTINGA DO SUL;2° DOSE;834
GUAIMBÊ;2° DOSE;828
PIACATU;2° DOSE;828
PARDINHO;2° DOSE;822
IPEÚNA;2° DOSE;627
GUARANTÃ;2° DOSE;879
BRAÚNA;2° DOSE;882
IPIGUÁ;2° DOSE;724
ORINDIÚVA;2° DOSE;636
CAIUÁ;2° DOSE;856
COROADOS;2° DOSE;730
POPULINA;2° DOSE;820
INDIANA;2° DOSE;877
ÁGUAS DE SÃO PEDRO;2° DOSE;979
APARECIDA D'OESTE;2° DOSE;872
DOBRADA;2° DOSE;844
ALFREDO MARCONDES;2° DOSE;961
ITIRAPUÃ;2° DOSE;951
ANHEMBI;2° DOSE;818
VISTA ALEGRE DO ALTO;2° DOSE;920
CAMPINA DO MONTE ALEGRE;2° DOSE;809
SANTA CRUZ DA CONCEIÇÃO;2° DOSE;988
TACIBA;2° DOSE;796
RIVERSUL;2° DOSE;870
TARABAI;2° DOSE;858
ÁGUAS DE SANTA BÁRBARA;2° DOSE;877
RESTINGA;2° DOSE;750
COLÔMBIA;2° DOSE;891
NOVA CAMPINA;2° DOSE;778
PAULICÉIA;2° DOSE;778
SILVEIRAS;2° DOSE;911
SABINO;2° DOSE;1008
TAIÚVA;2° DOSE;1072
LAVÍNIA;2° DOSE;848
TAIAÇU;2° DOSE;953
BARBOSA;2° DOSE;913
LAGOINHA;2° DOSE;940
AVAÍ;2° DOSE;1160
SANTA LÚCIA;2° DOSE;819
SÃO JOSÉ DA BELA VISTA;2° DOSE;952
SANTO ANTÔNIO DO PINHAL;2° DOSE;911
ARANDU;2° DOSE;854
PARAÍSO;2° DOSE;948
PEDRA BELA;2° DOSE;922
QUINTANA;2° DOSE;968
AMÉRICO DE CAMPOS;2° DOSE;1019
TUIUTI;2° DOSE;1053
GUATAPARÁ;2° DOSE;1018
CLEMENTINA;2° DOSE;878
SANTO ANTÔNIO DO JARDIM;2° DOSE;986
IACRI;2° DOSE;956
TRÊS FRONTEIRAS;2° DOSE;1079
MENDONÇA;2° DOSE;975
IRAPUÃ;2° DOSE;1042
ORIENTE;2° DOSE;1023
JABORANDI;2° DOSE;1002
FERNANDO PRESTES;2° DOSE;1183
JACI;2° DOSE;1085
PALMARES PAULISTA;2° DOSE;953
SALES;2° DOSE;981
ECHAPORÃ;2° DOSE;1110
NOVA ALIANÇA;2° DOSE;1046
CRISTAIS PAULISTA;2° DOSE;1086
POLONI;2° DOSE;1072
NATIVIDADE DA SERRA;2° DOSE;1117
RIBEIRÃO GRANDE;2° DOSE;912
REGINÓPOLIS;2° DOSE;977
PEREIRAS;2° DOSE;1078
IBIRAREMA;2° DOSE;1069
NUPORANGA;2° DOSE;1125
