Município;Dose;Total Doses Aplicadas;;;;
ADAMANTINA;1° DOSE;9934;;;;
ADAMANTINA;2° DOSE;5693;;;;
ADOLFO;1° DOSE;1098;;;;
ADOLFO;2° DOSE;585;;;;
AGUAÍ;1° DOSE;6053;;;;
AGUAÍ;2° DOSE;3357;;;;
ÁGUAS DA PRATA;1° DOSE;2296;;;;
ÁGUAS DA PRATA;2° DOSE;1111;;;;
ÁGUAS DE LINDÓIA;1° DOSE;4425;;;;
ÁGUAS DE LINDÓIA;2° DOSE;2347;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1148;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;764;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;1360;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;715;;;;
AGUDOS;1° DOSE;8098;;;;
AGUDOS;2° DOSE;5012;;;;
ALAMBARI;1° DOSE;1191;;;;
ALAMBARI;2° DOSE;450;;;;
ALFREDO MARCONDES;1° DOSE;1261;;;;
ALFREDO MARCONDES;2° DOSE;741;;;;
ALTAIR;1° DOSE;714;;;;
ALTAIR;2° DOSE;436;;;;
ALTINÓPOLIS;1° DOSE;3832;;;;
ALTINÓPOLIS;2° DOSE;2235;;;;
ALTO ALEGRE;1° DOSE;1166;;;;
ALTO ALEGRE;2° DOSE;673;;;;
ALUMÍNIO;1° DOSE;2644;;;;
ALUMÍNIO;2° DOSE;1470;;;;
ÁLVARES FLORENCE;1° DOSE;1133;;;;
ÁLVARES FLORENCE;2° DOSE;574;;;;
ÁLVARES MACHADO;1° DOSE;5138;;;;
ÁLVARES MACHADO;2° DOSE;2712;;;;
ÁLVARO DE CARVALHO;1° DOSE;726;;;;
ÁLVARO DE CARVALHO;2° DOSE;428;;;;
ALVINLÂNDIA;1° DOSE;651;;;;
ALVINLÂNDIA;2° DOSE;335;;;;
AMERICANA;1° DOSE;49244;;;;
AMERICANA;2° DOSE;25861;;;;
AMÉRICO BRASILIENSE;1° DOSE;6310;;;;
AMÉRICO BRASILIENSE;2° DOSE;3646;;;;
AMÉRICO DE CAMPOS;1° DOSE;1504;;;;
AMÉRICO DE CAMPOS;2° DOSE;820;;;;
AMPARO;1° DOSE;15904;;;;
AMPARO;2° DOSE;8978;;;;
ANALÂNDIA;1° DOSE;975;;;;
ANALÂNDIA;2° DOSE;589;;;;
ANDRADINA;1° DOSE;13128;;;;
ANDRADINA;2° DOSE;8135;;;;
ANGATUBA;1° DOSE;4673;;;;
ANGATUBA;2° DOSE;2082;;;;
ANHEMBI;1° DOSE;1253;;;;
ANHEMBI;2° DOSE;539;;;;
ANHUMAS;1° DOSE;950;;;;
ANHUMAS;2° DOSE;516;;;;
APARECIDA;1° DOSE;7328;;;;
APARECIDA;2° DOSE;3843;;;;
APARECIDA D'OESTE;1° DOSE;1318;;;;
APARECIDA D'OESTE;2° DOSE;738;;;;
APIAÍ;1° DOSE;4515;;;;
APIAÍ;2° DOSE;2454;;;;
ARAÇARIGUAMA;1° DOSE;2436;;;;
ARAÇARIGUAMA;2° DOSE;1504;;;;
ARAÇATUBA;1° DOSE;45743;;;;
ARAÇATUBA;2° DOSE;26051;;;;
ARAÇOIABA DA SERRA;1° DOSE;5487;;;;
ARAÇOIABA DA SERRA;2° DOSE;2875;;;;
ARAMINA;1° DOSE;1208;;;;
ARAMINA;2° DOSE;620;;;;
ARANDU;1° DOSE;1301;;;;
ARANDU;2° DOSE;662;;;;
ARAPEÍ;1° DOSE;565;;;;
ARAPEÍ;2° DOSE;324;;;;
ARARAQUARA;1° DOSE;54884;;;;
ARARAQUARA;2° DOSE;31252;;;;
ARARAS;1° DOSE;28617;;;;
ARARAS;2° DOSE;15853;;;;
ARCO-ÍRIS;1° DOSE;662;;;;
ARCO-ÍRIS;2° DOSE;466;;;;
AREALVA;1° DOSE;2153;;;;
AREALVA;2° DOSE;1205;;;;
AREIAS;1° DOSE;771;;;;
AREIAS;2° DOSE;440;;;;
AREIÓPOLIS;1° DOSE;1478;;;;
AREIÓPOLIS;2° DOSE;785;;;;
ARIRANHA;1° DOSE;1941;;;;
ARIRANHA;2° DOSE;1051;;;;
ARTUR NOGUEIRA;1° DOSE;8678;;;;
ARTUR NOGUEIRA;2° DOSE;4728;;;;
ARUJÁ;1° DOSE;14130;;;;
ARUJÁ;2° DOSE;6905;;;;
ASPÁSIA;1° DOSE;529;;;;
ASPÁSIA;2° DOSE;284;;;;
ASSIS;1° DOSE;23479;;;;
ASSIS;2° DOSE;12701;;;;
ATIBAIA;1° DOSE;28626;;;;
ATIBAIA;2° DOSE;16075;;;;
AURIFLAMA;1° DOSE;3325;;;;
AURIFLAMA;2° DOSE;1816;;;;
AVAÍ;1° DOSE;1299;;;;
AVAÍ;2° DOSE;916;;;;
AVANHANDAVA;1° DOSE;1894;;;;
AVANHANDAVA;2° DOSE;1026;;;;
AVARÉ;1° DOSE;19138;;;;
AVARÉ;2° DOSE;10439;;;;
BADY BASSITT;1° DOSE;3831;;;;
BADY BASSITT;2° DOSE;2022;;;;
BALBINOS;1° DOSE;422;;;;
BALBINOS;2° DOSE;179;;;;
BÁLSAMO;1° DOSE;2263;;;;
BÁLSAMO;2° DOSE;1260;;;;
BANANAL;1° DOSE;2338;;;;
BANANAL;2° DOSE;1420;;;;
BARÃO DE ANTONINA;1° DOSE;809;;;;
BARÃO DE ANTONINA;2° DOSE;485;;;;
BARBOSA;1° DOSE;1319;;;;
BARBOSA;2° DOSE;766;;;;
BARIRI;1° DOSE;7282;;;;
BARIRI;2° DOSE;4270;;;;
BARRA BONITA;1° DOSE;8612;;;;
BARRA BONITA;2° DOSE;4684;;;;
BARRA DO CHAPÉU;1° DOSE;905;;;;
BARRA DO CHAPÉU;2° DOSE;441;;;;
BARRA DO TURVO;1° DOSE;1998;;;;
BARRA DO TURVO;2° DOSE;1327;;;;
BARRETOS;1° DOSE;28246;;;;
BARRETOS;2° DOSE;16315;;;;
BARRINHA;1° DOSE;4037;;;;
BARRINHA;2° DOSE;2160;;;;
BARUERI;1° DOSE;44080;;;;
BARUERI;2° DOSE;24575;;;;
BASTOS;1° DOSE;4639;;;;
BASTOS;2° DOSE;2226;;;;
BATATAIS;1° DOSE;13210;;;;
BATATAIS;2° DOSE;6758;;;;
BAURU;1° DOSE;83770;;;;
BAURU;2° DOSE;46568;;;;
BEBEDOURO;1° DOSE;17124;;;;
BEBEDOURO;2° DOSE;9589;;;;
BENTO DE ABREU;1° DOSE;526;;;;
BENTO DE ABREU;2° DOSE;310;;;;
BERNARDINO DE CAMPOS;1° DOSE;2733;;;;
BERNARDINO DE CAMPOS;2° DOSE;1455;;;;
BERTIOGA;1° DOSE;9578;;;;
BERTIOGA;2° DOSE;4807;;;;
BILAC;1° DOSE;2001;;;;
BILAC;2° DOSE;1096;;;;
BIRIGUI;1° DOSE;20116;;;;
BIRIGUI;2° DOSE;11476;;;;
BIRITIBA MIRIM;1° DOSE;5235;;;;
BIRITIBA MIRIM;2° DOSE;2707;;;;
BOA ESPERANÇA DO SUL;1° DOSE;2346;;;;
BOA ESPERANÇA DO SUL;2° DOSE;1266;;;;
BOCAINA;1° DOSE;2312;;;;
BOCAINA;2° DOSE;1208;;;;
BOFETE;1° DOSE;2306;;;;
BOFETE;2° DOSE;1221;;;;
BOITUVA;1° DOSE;9128;;;;
BOITUVA;2° DOSE;5004;;;;
BOM JESUS DOS PERDÕES;1° DOSE;3662;;;;
BOM JESUS DOS PERDÕES;2° DOSE;1748;;;;
BOM SUCESSO DE ITARARÉ;1° DOSE;484;;;;
BOM SUCESSO DE ITARARÉ;2° DOSE;248;;;;
BORÁ;1° DOSE;223;;;;
BORÁ;2° DOSE;136;;;;
BORACÉIA;1° DOSE;946;;;;
BORACÉIA;2° DOSE;591;;;;
BORBOREMA;1° DOSE;3518;;;;
BORBOREMA;2° DOSE;1784;;;;
BOREBI;1° DOSE;486;;;;
BOREBI;2° DOSE;233;;;;
BOTUCATU;1° DOSE;36374;;;;
BOTUCATU;2° DOSE;20804;;;;
BRAGANÇA PAULISTA;1° DOSE;37030;;;;
BRAGANÇA PAULISTA;2° DOSE;20282;;;;
BRAÚNA;1° DOSE;1293;;;;
BRAÚNA;2° DOSE;750;;;;
BREJO ALEGRE;1° DOSE;607;;;;
BREJO ALEGRE;2° DOSE;376;;;;
BRODOWSKI;1° DOSE;4334;;;;
BRODOWSKI;2° DOSE;2515;;;;
BROTAS;1° DOSE;4665;;;;
BROTAS;2° DOSE;2500;;;;
BURI;1° DOSE;3040;;;;
BURI;2° DOSE;1593;;;;
BURITAMA;1° DOSE;3911;;;;
BURITAMA;2° DOSE;1943;;;;
BURITIZAL;1° DOSE;974;;;;
BURITIZAL;2° DOSE;525;;;;
CABRÁLIA PAULISTA;1° DOSE;885;;;;
CABRÁLIA PAULISTA;2° DOSE;470;;;;
CABREÚVA;1° DOSE;6039;;;;
CABREÚVA;2° DOSE;2954;;;;
CAÇAPAVA;1° DOSE;17328;;;;
CAÇAPAVA;2° DOSE;9300;;;;
CACHOEIRA PAULISTA;1° DOSE;6545;;;;
CACHOEIRA PAULISTA;2° DOSE;3771;;;;
CACONDE;1° DOSE;4149;;;;
CACONDE;2° DOSE;2208;;;;
CAFELÂNDIA;1° DOSE;3542;;;;
CAFELÂNDIA;2° DOSE;2014;;;;
CAIABU;1° DOSE;923;;;;
CAIABU;2° DOSE;482;;;;
CAIEIRAS;1° DOSE;15175;;;;
CAIEIRAS;2° DOSE;7742;;;;
CAIUÁ;1° DOSE;1061;;;;
CAIUÁ;2° DOSE;660;;;;
CAJAMAR;1° DOSE;9604;;;;
CAJAMAR;2° DOSE;3842;;;;
CAJATI;1° DOSE;4356;;;;
CAJATI;2° DOSE;2380;;;;
CAJOBI;1° DOSE;2297;;;;
CAJOBI;2° DOSE;1262;;;;
CAJURU;1° DOSE;4894;;;;
CAJURU;2° DOSE;2979;;;;
CAMPINA DO MONTE ALEGRE;1° DOSE;1215;;;;
CAMPINA DO MONTE ALEGRE;2° DOSE;578;;;;
CAMPINAS;1° DOSE;233690;;;;
CAMPINAS;2° DOSE;139965;;;;
CAMPO LIMPO PAULISTA;1° DOSE;12880;;;;
CAMPO LIMPO PAULISTA;2° DOSE;6770;;;;
CAMPOS DO JORDÃO;1° DOSE;8692;;;;
CAMPOS DO JORDÃO;2° DOSE;4632;;;;
CAMPOS NOVOS PAULISTA;1° DOSE;994;;;;
CAMPOS NOVOS PAULISTA;2° DOSE;509;;;;
CANANÉIA;1° DOSE;2416;;;;
CANANÉIA;2° DOSE;1342;;;;
CANAS;1° DOSE;761;;;;
CANAS;2° DOSE;393;;;;
CÂNDIDO MOTA;1° DOSE;6429;;;;
CÂNDIDO MOTA;2° DOSE;3328;;;;
CÂNDIDO RODRIGUES;1° DOSE;791;;;;
CÂNDIDO RODRIGUES;2° DOSE;411;;;;
CANITAR;1° DOSE;774;;;;
CANITAR;2° DOSE;398;;;;
CAPÃO BONITO;1° DOSE;8313;;;;
CAPÃO BONITO;2° DOSE;4239;;;;
CAPELA DO ALTO;1° DOSE;3184;;;;
CAPELA DO ALTO;2° DOSE;1645;;;;
CAPIVARI;1° DOSE;9059;;;;
CAPIVARI;2° DOSE;4953;;;;
CARAGUATATUBA;1° DOSE;19854;;;;
CARAGUATATUBA;2° DOSE;11148;;;;
CARAPICUÍBA;1° DOSE;55598;;;;
CARAPICUÍBA;2° DOSE;29831;;;;
CARDOSO;1° DOSE;2948;;;;
CARDOSO;2° DOSE;1559;;;;
CASA BRANCA;1° DOSE;6136;;;;
CASA BRANCA;2° DOSE;3125;;;;
CÁSSIA DOS COQUEIROS;1° DOSE;686;;;;
CÁSSIA DOS COQUEIROS;2° DOSE;363;;;;
CASTILHO;1° DOSE;4327;;;;
CASTILHO;2° DOSE;2290;;;;
CATANDUVA;1° DOSE;30873;;;;
CATANDUVA;2° DOSE;18525;;;;
CATIGUÁ;1° DOSE;1498;;;;
CATIGUÁ;2° DOSE;772;;;;
CEDRAL;1° DOSE;2443;;;;
CEDRAL;2° DOSE;1411;;;;
CERQUEIRA CÉSAR;1° DOSE;3967;;;;
CERQUEIRA CÉSAR;2° DOSE;2048;;;;
CERQUILHO;1° DOSE;8605;;;;
CERQUILHO;2° DOSE;4280;;;;
CESÁRIO LANGE;1° DOSE;2876;;;;
CESÁRIO LANGE;2° DOSE;1613;;;;
CHARQUEADA;1° DOSE;2733;;;;
CHARQUEADA;2° DOSE;1589;;;;
CHAVANTES;1° DOSE;2512;;;;
CHAVANTES;2° DOSE;1231;;;;
CLEMENTINA;1° DOSE;1363;;;;
CLEMENTINA;2° DOSE;692;;;;
COLINA;1° DOSE;3814;;;;
COLINA;2° DOSE;2075;;;;
COLÔMBIA;1° DOSE;1288;;;;
COLÔMBIA;2° DOSE;756;;;;
CONCHAL;1° DOSE;4464;;;;
CONCHAL;2° DOSE;2374;;;;
CONCHAS;1° DOSE;3785;;;;
CONCHAS;2° DOSE;1992;;;;
CORDEIRÓPOLIS;1° DOSE;3752;;;;
CORDEIRÓPOLIS;2° DOSE;2197;;;;
COROADOS;1° DOSE;1188;;;;
COROADOS;2° DOSE;570;;;;
CORONEL MACEDO;1° DOSE;1136;;;;
CORONEL MACEDO;2° DOSE;580;;;;
CORUMBATAÍ;1° DOSE;800;;;;
CORUMBATAÍ;2° DOSE;475;;;;
COSMÓPOLIS;1° DOSE;9503;;;;
COSMÓPOLIS;2° DOSE;4880;;;;
COSMORAMA;1° DOSE;2013;;;;
COSMORAMA;2° DOSE;1091;;;;
COTIA;1° DOSE;35283;;;;
COTIA;2° DOSE;17096;;;;
CRAVINHOS;1° DOSE;6151;;;;
CRAVINHOS;2° DOSE;2831;;;;
CRISTAIS PAULISTA;1° DOSE;1638;;;;
CRISTAIS PAULISTA;2° DOSE;815;;;;
CRUZÁLIA;1° DOSE;584;;;;
CRUZÁLIA;2° DOSE;263;;;;
CRUZEIRO;1° DOSE;15090;;;;
CRUZEIRO;2° DOSE;8377;;;;
CUBATÃO;1° DOSE;18590;;;;
CUBATÃO;2° DOSE;10383;;;;
CUNHA;1° DOSE;4600;;;;
CUNHA;2° DOSE;2349;;;;
DESCALVADO;1° DOSE;7988;;;;
DESCALVADO;2° DOSE;4650;;;;
DIADEMA;1° DOSE;61007;;;;
DIADEMA;2° DOSE;30203;;;;
DIRCE REIS;1° DOSE;470;;;;
DIRCE REIS;2° DOSE;251;;;;
DIVINOLÂNDIA;1° DOSE;3430;;;;
DIVINOLÂNDIA;2° DOSE;1826;;;;
DOBRADA;1° DOSE;1219;;;;
DOBRADA;2° DOSE;664;;;;
DOIS CÓRREGOS;1° DOSE;4827;;;;
DOIS CÓRREGOS;2° DOSE;2711;;;;
