Município;Dose;Total Doses Aplicadas
ADAMANTINA;1° DOSE;10219
ADAMANTINA;2° DOSE;5712
ADOLFO;1° DOSE;1115
ADOLFO;2° DOSE;586
AGUAÍ;1° DOSE;6171
AGUAÍ;2° DOSE;3367
ÁGUAS DA PRATA;1° DOSE;2364
ÁGUAS DA PRATA;2° DOSE;1111
ÁGUAS DE LINDÓIA;1° DOSE;4584
ÁGUAS DE LINDÓIA;2° DOSE;2349
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1163
ÁGUAS DE SANTA BÁRBARA;2° DOSE;772
ÁGUAS DE SÃO PEDRO;1° DOSE;1360
ÁGUAS DE SÃO PEDRO;2° DOSE;715
AGUDOS;1° DOSE;8199
AGUDOS;2° DOSE;5079
ALAMBARI;1° DOSE;1237
ALAMBARI;2° DOSE;452
ALFREDO MARCONDES;1° DOSE;1300
ALFREDO MARCONDES;2° DOSE;769
ALTAIR;1° DOSE;749
ALTAIR;2° DOSE;436
ALTINÓPOLIS;1° DOSE;3932
ALTINÓPOLIS;2° DOSE;2237
ALTO ALEGRE;1° DOSE;1175
ALTO ALEGRE;2° DOSE;676
ALUMÍNIO;1° DOSE;2745
ALUMÍNIO;2° DOSE;1486
ÁLVARES FLORENCE;1° DOSE;1134
ÁLVARES FLORENCE;2° DOSE;585
ÁLVARES MACHADO;1° DOSE;5296
ÁLVARES MACHADO;2° DOSE;2745
ÁLVARO DE CARVALHO;1° DOSE;757
ÁLVARO DE CARVALHO;2° DOSE;432
ALVINLÂNDIA;1° DOSE;682
ALVINLÂNDIA;2° DOSE;335
AMERICANA;1° DOSE;50913
AMERICANA;2° DOSE;26236
AMÉRICO BRASILIENSE;1° DOSE;6488
AMÉRICO BRASILIENSE;2° DOSE;3651
AMÉRICO DE CAMPOS;1° DOSE;1504
AMÉRICO DE CAMPOS;2° DOSE;820
AMPARO;1° DOSE;16200
AMPARO;2° DOSE;9113
ANALÂNDIA;1° DOSE;975
ANALÂNDIA;2° DOSE;589
ANDRADINA;1° DOSE;13367
ANDRADINA;2° DOSE;8271
ANGATUBA;1° DOSE;4783
ANGATUBA;2° DOSE;2099
ANHEMBI;1° DOSE;1292
ANHEMBI;2° DOSE;539
ANHUMAS;1° DOSE;987
ANHUMAS;2° DOSE;516
APARECIDA;1° DOSE;7524
APARECIDA;2° DOSE;3864
APARECIDA D'OESTE;1° DOSE;1358
APARECIDA D'OESTE;2° DOSE;738
APIAÍ;1° DOSE;4601
APIAÍ;2° DOSE;2482
ARAÇARIGUAMA;1° DOSE;2437
ARAÇARIGUAMA;2° DOSE;1544
ARAÇATUBA;1° DOSE;47617
ARAÇATUBA;2° DOSE;26172
ARAÇOIABA DA SERRA;1° DOSE;5687
ARAÇOIABA DA SERRA;2° DOSE;2982
ARAMINA;1° DOSE;1232
ARAMINA;2° DOSE;620
ARANDU;1° DOSE;1336
ARANDU;2° DOSE;662
ARAPEÍ;1° DOSE;565
ARAPEÍ;2° DOSE;334
ARARAQUARA;1° DOSE;55947
ARARAQUARA;2° DOSE;31519
ARARAS;1° DOSE;28816
ARARAS;2° DOSE;15856
ARCO-ÍRIS;1° DOSE;681
ARCO-ÍRIS;2° DOSE;466
AREALVA;1° DOSE;2203
AREALVA;2° DOSE;1206
AREIAS;1° DOSE;776
AREIAS;2° DOSE;451
AREIÓPOLIS;1° DOSE;1512
AREIÓPOLIS;2° DOSE;785
ARIRANHA;1° DOSE;1961
ARIRANHA;2° DOSE;1052
ARTUR NOGUEIRA;1° DOSE;8979
ARTUR NOGUEIRA;2° DOSE;4758
ARUJÁ;1° DOSE;14605
ARUJÁ;2° DOSE;6934
ASPÁSIA;1° DOSE;565
ASPÁSIA;2° DOSE;284
ASSIS;1° DOSE;23754
ASSIS;2° DOSE;12774
ATIBAIA;1° DOSE;29863
ATIBAIA;2° DOSE;16270
AURIFLAMA;1° DOSE;3405
AURIFLAMA;2° DOSE;1837
AVAÍ;1° DOSE;1314
AVAÍ;2° DOSE;929
AVANHANDAVA;1° DOSE;1955
AVANHANDAVA;2° DOSE;1026
AVARÉ;1° DOSE;19795
AVARÉ;2° DOSE;10582
BADY BASSITT;1° DOSE;3938
BADY BASSITT;2° DOSE;2023
BALBINOS;1° DOSE;422
BALBINOS;2° DOSE;181
BÁLSAMO;1° DOSE;2345
BÁLSAMO;2° DOSE;1263
BANANAL;1° DOSE;2384
BANANAL;2° DOSE;1420
BARÃO DE ANTONINA;1° DOSE;827
BARÃO DE ANTONINA;2° DOSE;495
BARBOSA;1° DOSE;1385
BARBOSA;2° DOSE;795
BARIRI;1° DOSE;7429
BARIRI;2° DOSE;4270
BARRA BONITA;1° DOSE;8766
BARRA BONITA;2° DOSE;4687
BARRA DO CHAPÉU;1° DOSE;916
BARRA DO CHAPÉU;2° DOSE;458
BARRA DO TURVO;1° DOSE;2040
BARRA DO TURVO;2° DOSE;1337
BARRETOS;1° DOSE;28617
BARRETOS;2° DOSE;16516
BARRINHA;1° DOSE;4160
BARRINHA;2° DOSE;2166
BARUERI;1° DOSE;44865
BARUERI;2° DOSE;24599
BASTOS;1° DOSE;4854
BASTOS;2° DOSE;2249
BATATAIS;1° DOSE;13565
BATATAIS;2° DOSE;6947
BAURU;1° DOSE;85103
BAURU;2° DOSE;48031
BEBEDOURO;1° DOSE;17519
BEBEDOURO;2° DOSE;9612
BENTO DE ABREU;1° DOSE;535
BENTO DE ABREU;2° DOSE;310
