Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;1508
ADOLFO;1° Dose;145
ADOLFO;2° Dose;39
AGUAI;1° Dose;613
AGUAS DA PRATA;1° Dose;256
AGUAS DE LINDOIA;1° Dose;361
AGUAS DE SANTA BARBARA;1° Dose;182
AGUAS DE SAO PEDRO;1° Dose;187
AGUDOS;1° Dose;1813
AGUDOS;2° Dose;4
ALAMBARI;1° Dose;107
ALAMBARI;2° Dose;7
ALFREDO MARCONDES;1° Dose;181
ALTAIR;1° Dose;154
ALTINOPOLIS;1° Dose;400
ALTINOPOLIS;2° Dose;2
ALTO ALEGRE;1° Dose;129
ALUMINIO;1° Dose;299
ALUMINIO;2° Dose;9
ALVARES FLORENCE;1° Dose;110
ALVARES MACHADO;1° Dose;577
ALVARO DE CARVALHO;1° Dose;90
ALVINLANDIA;1° Dose;103
AMERICANA;1° Dose;4687
AMERICANA;2° Dose;1
AMERICO BRASILIENSE;1° Dose;1139
AMERICO DE CAMPOS;1° Dose;191
AMPARO;1° Dose;2219
ANALANDIA;1° Dose;140
ANDRADINA;1° Dose;1642
ANGATUBA;1° Dose;500
ANHEMBI;1° Dose;116
ANHUMAS;1° Dose;148
APARECIDA;1° Dose;627
APARECIDA D'OESTE;1° Dose;219
APIAI;1° Dose;380
ARACARIGUAMA;1° Dose;320
ARACATUBA;1° Dose;8424
ARACATUBA;2° Dose;3
ARACOIABA DA SERRA;1° Dose;705
ARACOIABA DA SERRA;2° Dose;3
ARAMINA;1° Dose;140
ARANDU;1° Dose;133
ARAPEI;1° Dose;66
ARARAQUARA;1° Dose;9978
ARARAQUARA;2° Dose;2
ARARAS;1° Dose;4717
ARCO-IRIS;1° Dose;220
AREALVA;1° Dose;219
AREIAS;1° Dose;118
AREIOPOLIS;1° Dose;162
ARIRANHA;1° Dose;349
ARTUR NOGUEIRA;1° Dose;966
ARUJA;1° Dose;558
ARUJA;2° Dose;1
ASPASIA;1° Dose;73
ASSIS;1° Dose;3419
ATIBAIA;1° Dose;4959
ATIBAIA;2° Dose;14
AURIFLAMA;1° Dose;444
AVAI;1° Dose;290
AVANHANDAVA;1° Dose;275
AVARE;1° Dose;3546
AVARE;2° Dose;1
BADY BASSITT;1° Dose;644
BALBINOS;1° Dose;95
BALSAMO;1° Dose;337
BANANAL;1° Dose;334
BARAO DE ANTONINA;1° Dose;158
