Município;Dose;Total Doses Aplicadas
BORÁ;2° DOSE;151
NOVA CASTILHO;2° DOSE;198
UNIÃO PAULISTA;2° DOSE;252
TRABIJU;2° DOSE;260
BALBINOS;2° DOSE;311
URU;2° DOSE;242
PRACINHA;2° DOSE;256
PAULISTÂNIA;2° DOSE;287
VITÓRIA BRASIL;2° DOSE;283
FERNÃO;2° DOSE;316
DIRCE REIS;2° DOSE;342
BOREBI;2° DOSE;287
SÃO JOÃO DE IRACEMA;2° DOSE;313
BENTO DE ABREU;2° DOSE;353
SANTA SALETE;2° DOSE;370
ASPÁSIA;2° DOSE;343
MESÓPOLIS;2° DOSE;366
SÃO JOÃO DAS DUAS PONTES;2° DOSE;337
GUARANI D'OESTE;2° DOSE;349
SAGRES;2° DOSE;374
SANTA CRUZ DA ESPERANÇA;2° DOSE;390
SANTANA DA PONTE PENSA;2° DOSE;365
MARINÓPOLIS;2° DOSE;400
ARAPEÍ;2° DOSE;384
BOM SUCESSO DE ITARARÉ;2° DOSE;324
RUBIÁCEA;2° DOSE;418
JUMIRIM;2° DOSE;358
EMBAÚBA;2° DOSE;374
TURIÚBA;2° DOSE;390
LUCIANÓPOLIS;2° DOSE;424
DOLCINÓPOLIS;2° DOSE;399
FLORA RICA;2° DOSE;454
LOURDES;2° DOSE;427
NOVA GUATAPORANGA;2° DOSE;403
NANTES;2° DOSE;346
SANTA CLARA D'OESTE;2° DOSE;366
CRUZÁLIA;2° DOSE;382
QUEIROZ;2° DOSE;368
ZACARIAS;2° DOSE;393
TORRE DE PEDRA;2° DOSE;406
BREJO ALEGRE;2° DOSE;466
ALVINLÂNDIA;2° DOSE;440
SANTA MERCEDES;2° DOSE;450
MONÇÕES;2° DOSE;432
TAQUARAL;2° DOSE;400
NOVA CANAÃ PAULISTA;2° DOSE;396
SÃO JOÃO DO PAU D'ALHO;2° DOSE;477
ARCO-ÍRIS;2° DOSE;542
ÓLEO;2° DOSE;475
MOMBUCA;2° DOSE;458
NOVA INDEPENDÊNCIA;2° DOSE;399
ELISIÁRIO;2° DOSE;475
CÁSSIA DOS COQUEIROS;2° DOSE;439
ESTRELA DO NORTE;2° DOSE;358
