Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;4778
ADAMANTINA;2° Dose;1738
ADOLFO;1° Dose;431
ADOLFO;2° Dose;167
AGUAÍ;1° Dose;2369
AGUAÍ;2° Dose;880
ÁGUAS DA PRATA;1° Dose;999
ÁGUAS DA PRATA;2° Dose;264
ÁGUAS DE LINDÓIA;1° Dose;1628
ÁGUAS DE LINDÓIA;2° Dose;418
ÁGUAS DE SANTA BÁRBARA;1° Dose;618
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
ÁGUAS DE SÃO PEDRO;1° Dose;698
ÁGUAS DE SÃO PEDRO;2° Dose;231
AGUDOS;1° Dose;4045
AGUDOS;2° Dose;1396
ALAMBARI;1° Dose;402
ALAMBARI;2° Dose;119
ALFREDO MARCONDES;1° Dose;625
ALFREDO MARCONDES;2° Dose;207
ALTAIR;1° Dose;358
ALTAIR;2° Dose;125
ALTINÓPOLIS;1° Dose;1484
ALTINÓPOLIS;2° Dose;472
ALTO ALEGRE;1° Dose;533
ALTO ALEGRE;2° Dose;161
ALUMÍNIO;1° Dose;969
ALUMÍNIO;2° Dose;276
ÁLVARES FLORENCE;1° Dose;541
ÁLVARES FLORENCE;2° Dose;113
ÁLVARES MACHADO;1° Dose;2303
ÁLVARES MACHADO;2° Dose;604
ÁLVARO DE CARVALHO;1° Dose;296
ÁLVARO DE CARVALHO;2° Dose;73
ALVINLÂNDIA;1° Dose;311
ALVINLÂNDIA;2° Dose;87
AMERICANA;1° Dose;17235
AMERICANA;2° Dose;6731
AMÉRICO BRASILIENSE;1° Dose;3099
AMÉRICO BRASILIENSE;2° Dose;1163
AMÉRICO DE CAMPOS;1° Dose;632
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;6988
AMPARO;2° Dose;2380
ANALÂNDIA;1° Dose;524
ANALÂNDIA;2° Dose;111
ANDRADINA;1° Dose;5801
ANDRADINA;2° Dose;2306
ANGATUBA;1° Dose;1595
ANGATUBA;2° Dose;452
ANHEMBI;1° Dose;467
ANHEMBI;2° Dose;115
ANHUMAS;1° Dose;438
ANHUMAS;2° Dose;129
APARECIDA D'OESTE;1° Dose;600
APARECIDA D'OESTE;2° Dose;218
APARECIDA;1° Dose;2726
APARECIDA;2° Dose;973
APIAÍ;1° Dose;1822
APIAÍ;2° Dose;532
ARAÇARIGUAMA;1° Dose;1100
ARAÇARIGUAMA;2° Dose;310
ARAÇATUBA;1° Dose;21410
ARAÇATUBA;2° Dose;7432
ARAÇOIABA DA SERRA;1° Dose;2520
ARAÇOIABA DA SERRA;2° Dose;647
ARAMINA;1° Dose;426
ARAMINA;2° Dose;116
ARANDU;1° Dose;531
ARANDU;2° Dose;134
ARAPEÍ;1° Dose;250
ARAPEÍ;2° Dose;77
ARARAQUARA;1° Dose;28123
ARARAQUARA;2° Dose;10365
ARARAS;1° Dose;12925
ARARAS;2° Dose;4032
ARCO-ÍRIS;1° Dose;340
