Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;4742
ADAMANTINA;2° Dose;1567
ADOLFO;1° Dose;377
ADOLFO;2° Dose;167
AGUAÍ;1° Dose;2335
AGUAÍ;2° Dose;860
ÁGUAS DA PRATA;1° Dose;957
ÁGUAS DA PRATA;2° Dose;262
ÁGUAS DE LINDÓIA;1° Dose;1434
ÁGUAS DE LINDÓIA;2° Dose;417
ÁGUAS DE SANTA BÁRBARA;1° Dose;607
ÁGUAS DE SANTA BÁRBARA;2° Dose;177
ÁGUAS DE SÃO PEDRO;1° Dose;615
ÁGUAS DE SÃO PEDRO;2° Dose;229
AGUDOS;1° Dose;3846
AGUDOS;2° Dose;1227
ALAMBARI;1° Dose;382
ALAMBARI;2° Dose;119
ALFREDO MARCONDES;1° Dose;625
ALFREDO MARCONDES;2° Dose;207
ALTAIR;1° Dose;358
ALTAIR;2° Dose;125
ALTINÓPOLIS;1° Dose;1257
ALTINÓPOLIS;2° Dose;463
ALTO ALEGRE;1° Dose;525
ALTO ALEGRE;2° Dose;142
ALUMÍNIO;1° Dose;854
ALUMÍNIO;2° Dose;275
ÁLVARES FLORENCE;1° Dose;422
ÁLVARES FLORENCE;2° Dose;111
ÁLVARES MACHADO;1° Dose;2154
ÁLVARES MACHADO;2° Dose;589
ÁLVARO DE CARVALHO;1° Dose;288
ÁLVARO DE CARVALHO;2° Dose;71
ALVINLÂNDIA;1° Dose;276
ALVINLÂNDIA;2° Dose;87
AMERICANA;1° Dose;16379
AMERICANA;2° Dose;6615
AMÉRICO BRASILIENSE;1° Dose;2906
AMÉRICO BRASILIENSE;2° Dose;1060
AMÉRICO DE CAMPOS;1° Dose;602
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;6368
AMPARO;2° Dose;2376
ANALÂNDIA;1° Dose;473
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;5325
ANDRADINA;2° Dose;2264
ANGATUBA;1° Dose;1451
ANGATUBA;2° Dose;411
ANHEMBI;1° Dose;425
ANHEMBI;2° Dose;106
ANHUMAS;1° Dose;438
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2499
APARECIDA;2° Dose;969
APARECIDA D'OESTE;1° Dose;591
APARECIDA D'OESTE;2° Dose;194
APIAÍ;1° Dose;1734
APIAÍ;2° Dose;500
ARAÇARIGUAMA;1° Dose;1037
ARAÇARIGUAMA;2° Dose;305
ARAÇATUBA;1° Dose;20495
ARAÇATUBA;2° Dose;7390
ARAÇOIABA DA SERRA;1° Dose;2235
ARAÇOIABA DA SERRA;2° Dose;599
ARAMINA;1° Dose;421
ARAMINA;2° Dose;116
ARANDU;1° Dose;489
ARANDU;2° Dose;130
ARAPEÍ;1° Dose;235
