Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;19
UNIÃO PAULISTA;UNICA;12
TRABIJU;UNICA;35
URU;UNICA;26
PAULISTÂNIA;UNICA;11
FERNÃO;UNICA;30
VITÓRIA BRASIL;UNICA;37
SÃO JOÃO DE IRACEMA;UNICA;30
DIRCE REIS;UNICA;6
SANTA SALETE;UNICA;30
SANTA CRUZ DA ESPERANÇA;UNICA;10
SANTANA DA PONTE PENSA;UNICA;14
FLORA RICA;UNICA;19
ASPÁSIA;UNICA;15
TURIÚBA;UNICA;40
MESÓPOLIS;UNICA;36
BOREBI;UNICA;50
MARINÓPOLIS;UNICA;40
SAGRES;UNICA;16
GUARANI D'OESTE;UNICA;30
CRUZÁLIA;UNICA;32
EMBAÚBA;UNICA;60
LUCIANÓPOLIS;UNICA;44
SANTA CLARA D'OESTE;UNICA;32
ARCO-ÍRIS;UNICA;10
BENTO DE ABREU;UNICA;47
SÃO JOÃO DAS DUAS PONTES;UNICA;58
JUMIRIM;UNICA;23
TURMALINA;UNICA;23
NOVA GUATAPORANGA;UNICA;30
MONÇÕES;UNICA;50
NANTES;UNICA;26
NOVA CANAÃ PAULISTA;UNICA;25
DOLCINÓPOLIS;UNICA;54
ZACARIAS;UNICA;68
PONTES GESTAL;UNICA;20
SÃO JOÃO DO PAU D'ALHO;UNICA;25
RIBEIRÃO DOS ÍNDIOS;UNICA;10
PARISI;UNICA;46
BOM SUCESSO DE ITARARÉ;UNICA;77
LOURDES;UNICA;25
ESTRELA DO NORTE;UNICA;26
TORRE DE PEDRA;UNICA;30
ALVINLÂNDIA;UNICA;24
PRACINHA;UNICA;10
TAQUARAL;UNICA;52
RUBIÁCEA;UNICA;30
QUEIROZ;UNICA;85
ÓLEO;UNICA;22
BREJO ALEGRE;UNICA;57
LUTÉCIA;UNICA;55
TIMBURI;UNICA;11
CÁSSIA DOS COQUEIROS;UNICA;47
SANTA MERCEDES;UNICA;48
JERIQUARA;UNICA;71
ITAJU;UNICA;56
PEDRANÓPOLIS;UNICA;20
GABRIEL MONTEIRO;UNICA;62
MOMBUCA;UNICA;71
PLATINA;UNICA;30
SANTA RITA D'OESTE;UNICA;24
ITAPIRAPUÃ PAULISTA;UNICA;35
OSCAR BRESSANE;UNICA;45
MARAPOAMA;UNICA;67
ALTAIR;UNICA;30
ELISIÁRIO;UNICA;100
NOVA LUZITÂNIA;UNICA;33
SANTO EXPEDITO;UNICA;20
CÂNDIDO RODRIGUES;UNICA;56
CORUMBATAÍ;UNICA;11
QUADRA;UNICA;30
EMILIANÓPOLIS;UNICA;55
SÃO FRANCISCO;UNICA;45
PEDRINHAS PAULISTA;UNICA;56
SANDOVALINA;UNICA;53
SUZANÁPOLIS;UNICA;20
SARUTAIÁ;UNICA;25
AREIAS;UNICA;35
MIRA ESTRELA;UNICA;30
CANAS;UNICA;86
ITAOCA;UNICA;18
RUBINÉIA;UNICA;40
MARIÁPOLIS;UNICA;95
FLOREAL;UNICA;11
MAGDA;UNICA;65
PONTALINDA;UNICA;5
FLORÍNEA;UNICA;26
SEBASTIANÓPOLIS DO SUL;UNICA;81
NOVA INDEPENDÊNCIA;UNICA;87
BARÃO DE ANTONINA;UNICA;45
NOVAIS;UNICA;76
GASTÃO VIDIGAL;UNICA;101
JOÃO RAMALHO;UNICA;100
TEJUPÁ;UNICA;46
MOTUCA;UNICA;26
RIBEIRÃO CORRENTE;UNICA;45
REDENÇÃO DA SERRA;UNICA;30
ESPÍRITO SANTO DO TURVO;UNICA;83
RIFAINA;UNICA;91
CABRÁLIA PAULISTA;UNICA;65
PRATÂNIA;UNICA;87
PONGAÍ;UNICA;53
ANHUMAS;UNICA;50
INÚBIA PAULISTA;UNICA;90
SANTÓPOLIS DO AGUAPEÍ;UNICA;97
TAQUARIVAÍ;UNICA;49
PIQUEROBI;UNICA;53
CANITAR;UNICA;140
MACEDÔNIA;UNICA;31
NIPOÃ;UNICA;104
CAIABU;UNICA;58
ONDA VERDE;UNICA;39
BALBINOS;UNICA;11
NARANDIBA;UNICA;46
GAVIÃO PEIXOTO;UNICA;127
GLICÉRIO;UNICA;32
BURITIZAL;UNICA;31
MERIDIANO;UNICA;92
PARANAPUÃ;UNICA;81
UBIRAJARA;UNICA;85
ITAPURA;UNICA;60
MONTEIRO LOBATO;UNICA;59
BORACÉIA;UNICA;50
ANALÂNDIA;UNICA;75
GUZOLÂNDIA;UNICA;93
PRESIDENTE ALVES;UNICA;86
PLANALTO;UNICA;131
OCAUÇU;UNICA;85
ÁLVARO DE CARVALHO;UNICA;29
BARRA DO CHAPÉU;UNICA;95
ÁLVARES FLORENCE;UNICA;70
MARABÁ PAULISTA;UNICA;20
ALTO ALEGRE;UNICA;100
MONTE CASTELO;UNICA;87
UBARANA;UNICA;168
CAMPOS NOVOS PAULISTA;UNICA;110
SANTA ERNESTINA;UNICA;45
MIRASSOLÂNDIA;UNICA;58
MURUTINGA DO SUL;UNICA;45
ÁGUAS DE SÃO PEDRO;UNICA;58
SANTA MARIA DA SERRA;UNICA;86
CORONEL MACEDO;UNICA;102
GUAIMBÊ;UNICA;40
INDIAPORÃ;UNICA;31
ADOLFO;UNICA;79
POPULINA;UNICA;82
SALMOURÃO;UNICA;52
RIBEIRÃO DO SUL;UNICA;80
ARAMINA;UNICA;100
IPIGUÁ;UNICA;120
INDIANA;UNICA;113
BRAÚNA;UNICA;140
APARECIDA D'OESTE;UNICA;78
ALAMBARI;UNICA;171
ALFREDO MARCONDES;UNICA;83
IPEÚNA;UNICA;180
CAMPINA DO MONTE ALEGRE;UNICA;43
SANTA CRUZ DA CONCEIÇÃO;UNICA;94
ITIRAPUÃ;UNICA;56
COROADOS;UNICA;52
PIACATU;UNICA;138
SABINO;UNICA;40
