Município;Dose;Total Doses Aplicadas
ADAMANTINA;1° DOSE;6430
ADAMANTINA;2° DOSE;3457
ADOLFO;1° DOSE;670
ADOLFO;2° DOSE;331
AGUAÍ;1° DOSE;3640
AGUAÍ;2° DOSE;1702
ÁGUAS DA PRATA;1° DOSE;1451
ÁGUAS DA PRATA;2° DOSE;456
ÁGUAS DE LINDÓIA;1° DOSE;2723
ÁGUAS DE LINDÓIA;2° DOSE;869
ÁGUAS DE SANTA BÁRBARA;1° DOSE;847
ÁGUAS DE SANTA BÁRBARA;2° DOSE;340
ÁGUAS DE SÃO PEDRO;1° DOSE;891
ÁGUAS DE SÃO PEDRO;2° DOSE;341
AGUDOS;1° DOSE;5465
AGUDOS;2° DOSE;2468
ALAMBARI;1° DOSE;665
ALAMBARI;2° DOSE;196
ALFREDO MARCONDES;1° DOSE;829
ALFREDO MARCONDES;2° DOSE;409
ALTAIR;1° DOSE;480
ALTAIR;2° DOSE;264
ALTINÓPOLIS;1° DOSE;2248
ALTINÓPOLIS;2° DOSE;848
ALTO ALEGRE;1° DOSE;808
ALTO ALEGRE;2° DOSE;383
ALUMÍNIO;1° DOSE;1655
ALUMÍNIO;2° DOSE;437
ÁLVARES FLORENCE;1° DOSE;745
ÁLVARES FLORENCE;2° DOSE;293
ÁLVARES MACHADO;1° DOSE;3237
ÁLVARES MACHADO;2° DOSE;1146
ÁLVARO DE CARVALHO;1° DOSE;435
ÁLVARO DE CARVALHO;2° DOSE;210
ALVINLÂNDIA;1° DOSE;460
ALVINLÂNDIA;2° DOSE;151
AMERICANA;1° DOSE;30379
AMERICANA;2° DOSE;13492
AMÉRICO BRASILIENSE;1° DOSE;4059
AMÉRICO BRASILIENSE;2° DOSE;1926
AMÉRICO DE CAMPOS;1° DOSE;948
AMÉRICO DE CAMPOS;2° DOSE;331
AMPARO;1° DOSE;10122
AMPARO;2° DOSE;4199
ANALÂNDIA;1° DOSE;637
ANALÂNDIA;2° DOSE;231
ANDRADINA;1° DOSE;8882
ANDRADINA;2° DOSE;3076
ANGATUBA;1° DOSE;2774
ANGATUBA;2° DOSE;755
ANHEMBI;1° DOSE;721
ANHEMBI;2° DOSE;189
ANHUMAS;1° DOSE;621
ANHUMAS;2° DOSE;231
APARECIDA;1° DOSE;3958
APARECIDA;2° DOSE;1306
APARECIDA D'OESTE;1° DOSE;892
APARECIDA D'OESTE;2° DOSE;458
APIAÍ;1° DOSE;2870
APIAÍ;2° DOSE;1252
ARAÇARIGUAMA;1° DOSE;1668
ARAÇARIGUAMA;2° DOSE;598
ARAÇATUBA;1° DOSE;28722
ARAÇATUBA;2° DOSE;14088
ARAÇOIABA DA SERRA;1° DOSE;3550
ARAÇOIABA DA SERRA;2° DOSE;1160
ARAMINA;1° DOSE;702
ARAMINA;2° DOSE;345
ARANDU;1° DOSE;832
ARANDU;2° DOSE;271
ARAPEÍ;1° DOSE;350
ARAPEÍ;2° DOSE;181
ARARAQUARA;1° DOSE;35731
ARARAQUARA;2° DOSE;14371
ARARAS;1° DOSE;17607
ARARAS;2° DOSE;7196
ARCO-ÍRIS;1° DOSE;484
ARCO-ÍRIS;2° DOSE;262
AREALVA;1° DOSE;1387
AREALVA;2° DOSE;426
AREIAS;1° DOSE;540
AREIAS;2° DOSE;236
AREIÓPOLIS;1° DOSE;777
AREIÓPOLIS;2° DOSE;327
ARIRANHA;1° DOSE;1181
ARIRANHA;2° DOSE;635
ARTUR NOGUEIRA;1° DOSE;5394
ARTUR NOGUEIRA;2° DOSE;1785
ARUJÁ;1° DOSE;7306
ARUJÁ;2° DOSE;3242
ASPÁSIA;1° DOSE;330
ASPÁSIA;2° DOSE;162
ASSIS;1° DOSE;15911
ASSIS;2° DOSE;7864
ATIBAIA;1° DOSE;19817
ATIBAIA;2° DOSE;9486
AURIFLAMA;1° DOSE;2053
AURIFLAMA;2° DOSE;751
AVAÍ;1° DOSE;958
AVAÍ;2° DOSE;571
AVANHANDAVA;1° DOSE;1159
AVANHANDAVA;2° DOSE;468
AVARÉ;1° DOSE;12068
AVARÉ;2° DOSE;4349
BADY BASSITT;1° DOSE;2378
BADY BASSITT;2° DOSE;1170
BALBINOS;1° DOSE;316
BALBINOS;2° DOSE;87
BÁLSAMO;1° DOSE;1532
BÁLSAMO;2° DOSE;779
BANANAL;1° DOSE;1639
BANANAL;2° DOSE;823
BARÃO DE ANTONINA;1° DOSE;535
BARÃO DE ANTONINA;2° DOSE;237
BARBOSA;1° DOSE;837
BARBOSA;2° DOSE;431
BARIRI;1° DOSE;5065
BARIRI;2° DOSE;1744
BARRA BONITA;1° DOSE;5227
BARRA BONITA;2° DOSE;2084
BARRA DO CHAPÉU;1° DOSE;501
BARRA DO CHAPÉU;2° DOSE;152
BARRA DO TURVO;1° DOSE;1657
BARRA DO TURVO;2° DOSE;897
BARRETOS;1° DOSE;18682
BARRETOS;2° DOSE;9869
BARRINHA;1° DOSE;2466
BARRINHA;2° DOSE;1295
BARUERI;1° DOSE;27147
BARUERI;2° DOSE;14340
BASTOS;1° DOSE;2734
BASTOS;2° DOSE;1253
BATATAIS;1° DOSE;7429
