Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;4778
ADAMANTINA;2° Dose;1737
ADOLFO;1° Dose;414
ADOLFO;2° Dose;167
AGUAÍ;1° Dose;2368
AGUAÍ;2° Dose;878
ÁGUAS DA PRATA;1° Dose;992
ÁGUAS DA PRATA;2° Dose;264
ÁGUAS DE LINDÓIA;1° Dose;1628
ÁGUAS DE LINDÓIA;2° Dose;418
ÁGUAS DE SANTA BÁRBARA;1° Dose;617
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
ÁGUAS DE SÃO PEDRO;1° Dose;698
ÁGUAS DE SÃO PEDRO;2° Dose;231
AGUDOS;1° Dose;3957
AGUDOS;2° Dose;1390
ALAMBARI;1° Dose;402
ALAMBARI;2° Dose;119
ALFREDO MARCONDES;1° Dose;625
ALFREDO MARCONDES;2° Dose;207
ALTAIR;1° Dose;358
ALTAIR;2° Dose;125
ALTINÓPOLIS;1° Dose;1484
ALTINÓPOLIS;2° Dose;472
ALTO ALEGRE;1° Dose;533
ALTO ALEGRE;2° Dose;161
ALUMÍNIO;1° Dose;959
ALUMÍNIO;2° Dose;276
ÁLVARES FLORENCE;1° Dose;535
ÁLVARES FLORENCE;2° Dose;113
ÁLVARES MACHADO;1° Dose;2235
ÁLVARES MACHADO;2° Dose;601
ÁLVARO DE CARVALHO;1° Dose;296
ÁLVARO DE CARVALHO;2° Dose;73
ALVINLÂNDIA;1° Dose;308
ALVINLÂNDIA;2° Dose;87
AMERICANA;1° Dose;17139
AMERICANA;2° Dose;6725
AMÉRICO BRASILIENSE;1° Dose;3000
AMÉRICO BRASILIENSE;2° Dose;1131
AMÉRICO DE CAMPOS;1° Dose;632
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;6910
AMPARO;2° Dose;2380
ANALÂNDIA;1° Dose;519
ANALÂNDIA;2° Dose;111
ANDRADINA;1° Dose;5719
ANDRADINA;2° Dose;2268
ANGATUBA;1° Dose;1591
ANGATUBA;2° Dose;451
ANHEMBI;1° Dose;466
ANHEMBI;2° Dose;115
ANHUMAS;1° Dose;438
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2724
APARECIDA;2° Dose;973
APARECIDA D'OESTE;1° Dose;600
APARECIDA D'OESTE;2° Dose;218
APIAÍ;1° Dose;1801
APIAÍ;2° Dose;527
ARAÇARIGUAMA;1° Dose;1089
ARAÇARIGUAMA;2° Dose;310
ARAÇATUBA;1° Dose;21369
ARAÇATUBA;2° Dose;7432
ARAÇOIABA DA SERRA;1° Dose;2517
ARAÇOIABA DA SERRA;2° Dose;647
ARAMINA;1° Dose;422
ARAMINA;2° Dose;116
ARANDU;1° Dose;512
ARANDU;2° Dose;133
ARAPEÍ;1° Dose;245
ARAPEÍ;2° Dose;77
ARARAQUARA;1° Dose;27808
ARARAQUARA;2° Dose;10363
ARARAS;1° Dose;12870
ARARAS;2° Dose;4031
ARCO-ÍRIS;1° Dose;339
ARCO-ÍRIS;2° Dose;207
AREALVA;1° Dose;905
AREALVA;2° Dose;253
AREIAS;1° Dose;277
AREIAS;2° Dose;132
AREIÓPOLIS;1° Dose;461
AREIÓPOLIS;2° Dose;226
ARIRANHA;1° Dose;926
ARIRANHA;2° Dose;335
ARTUR NOGUEIRA;1° Dose;3603
ARTUR NOGUEIRA;2° Dose;1067
ARUJÁ;1° Dose;4647
ARUJÁ;2° Dose;1467
ASPÁSIA;1° Dose;206
ASPÁSIA;2° Dose;70
ASSIS;1° Dose;12633
ASSIS;2° Dose;4272
ATIBAIA;1° Dose;14639
ATIBAIA;2° Dose;5072
AURIFLAMA;1° Dose;1503
AURIFLAMA;2° Dose;415
AVAÍ;1° Dose;757
AVAÍ;2° Dose;488
AVANHANDAVA;1° Dose;818
AVANHANDAVA;2° Dose;231
AVARÉ;1° Dose;8616
AVARÉ;2° Dose;3053
BADY BASSITT;1° Dose;1335
BADY BASSITT;2° Dose;602
BALBINOS;1° Dose;228
BALBINOS;2° Dose;67
BÁLSAMO;1° Dose;901
