Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3277
ADAMANTINA;2° Dose;1321
ADOLFO;1° Dose;257
ADOLFO;2° Dose;103
AGUAÍ;1° Dose;1473
AGUAÍ;2° Dose;386
ÁGUAS DA PRATA;1° Dose;539
ÁGUAS DA PRATA;2° Dose;186
ÁGUAS DE LINDÓIA;1° Dose;684
ÁGUAS DE LINDÓIA;2° Dose;232
ÁGUAS DE SANTA BÁRBARA;1° Dose;356
ÁGUAS DE SANTA BÁRBARA;2° Dose;114
ÁGUAS DE SÃO PEDRO;1° Dose;419
ÁGUAS DE SÃO PEDRO;2° Dose;76
AGUDOS;1° Dose;2856
AGUDOS;2° Dose;1032
ALAMBARI;1° Dose;242
ALAMBARI;2° Dose;65
ALFREDO MARCONDES;1° Dose;353
ALFREDO MARCONDES;2° Dose;135
ALTAIR;1° Dose;269
ALTAIR;2° Dose;101
ALTINÓPOLIS;1° Dose;933
ALTINÓPOLIS;2° Dose;368
ALTO ALEGRE;1° Dose;289
ALTO ALEGRE;2° Dose;67
ALUMÍNIO;1° Dose;591
ALUMÍNIO;2° Dose;185
ÁLVARES FLORENCE;1° Dose;289
ÁLVARES FLORENCE;2° Dose;95
ÁLVARES MACHADO;1° Dose;1334
ÁLVARES MACHADO;2° Dose;268
ÁLVARO DE CARVALHO;1° Dose;157
ÁLVARO DE CARVALHO;2° Dose;53
ALVINLÂNDIA;1° Dose;151
ALVINLÂNDIA;2° Dose;82
AMERICANA;1° Dose;11709
AMERICANA;2° Dose;3545
AMÉRICO BRASILIENSE;1° Dose;2029
AMÉRICO BRASILIENSE;2° Dose;695
AMÉRICO DE CAMPOS;1° Dose;349
AMÉRICO DE CAMPOS;2° Dose;125
AMPARO;1° Dose;4225
AMPARO;2° Dose;1284
ANALÂNDIA;1° Dose;239
ANALÂNDIA;2° Dose;89
ANDRADINA;1° Dose;3590
ANDRADINA;2° Dose;420
ANGATUBA;1° Dose;983
ANGATUBA;2° Dose;190
ANHEMBI;1° Dose;242
ANHEMBI;2° Dose;46
ANHUMAS;1° Dose;287
