Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;5678
ADAMANTINA;2° Dose;2086
ADOLFO;1° Dose;552
ADOLFO;2° Dose;173
AGUAÍ;1° Dose;3008
AGUAÍ;2° Dose;935
ÁGUAS DA PRATA;1° Dose;1179
ÁGUAS DA PRATA;2° Dose;266
ÁGUAS DE LINDÓIA;1° Dose;2179
ÁGUAS DE LINDÓIA;2° Dose;440
ÁGUAS DE SANTA BÁRBARA;1° Dose;797
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
ÁGUAS DE SÃO PEDRO;1° Dose;842
ÁGUAS DE SÃO PEDRO;2° Dose;233
AGUDOS;1° Dose;4641
AGUDOS;2° Dose;1572
ALAMBARI;1° Dose;511
ALAMBARI;2° Dose;120
ALFREDO MARCONDES;1° Dose;757
ALFREDO MARCONDES;2° Dose;207
ALTAIR;1° Dose;435
ALTAIR;2° DOSE;175
ALTINÓPOLIS;1° Dose;1774
ALTINÓPOLIS;2° Dose;523
ALTO ALEGRE;1° Dose;679
ALTO ALEGRE;2° Dose;217
ALUMÍNIO;1° Dose;1221
ALUMÍNIO;2° Dose;283
ÁLVARES FLORENCE;1° Dose;672
ÁLVARES FLORENCE;2° Dose;114
ÁLVARES MACHADO;1° Dose;2755
ÁLVARES MACHADO;2° Dose;640
ÁLVARO DE CARVALHO;1° Dose;378
ÁLVARO DE CARVALHO;2° Dose;92
ALVINLÂNDIA;1° Dose;386
ALVINLÂNDIA;2° Dose;102
AMERICANA;1° Dose;20405
AMERICANA;2° Dose;7176
AMÉRICO BRASILIENSE;1° Dose;3576
AMÉRICO BRASILIENSE;2° Dose;1380
AMÉRICO DE CAMPOS;1° Dose;800
AMÉRICO DE CAMPOS;2° Dose;190
AMPARO;1° Dose;8522
AMPARO;2° Dose;2491
ANALÂNDIA;1° Dose;550
ANALÂNDIA;2° Dose;111
ANDRADINA;1° Dose;6905
ANDRADINA;2° Dose;2364
ANGATUBA;1° Dose;2121
ANGATUBA;2° Dose;485
ANHEMBI;1° Dose;586
