Município;Dose;Total Doses Aplicadas
BORÁ;2° DOSE;109
NOVA CASTILHO;2° DOSE;128
TRABIJU;2° DOSE;141
URU;2° DOSE;129
BALBINOS;2° DOSE;107
PRACINHA;2° DOSE;160
UNIÃO PAULISTA;2° DOSE;177
BOM SUCESSO DE ITARARÉ;2° DOSE;144
PAULISTÂNIA;2° DOSE;179
BOREBI;2° DOSE;151
VITÓRIA BRASIL;2° DOSE;176
FERNÃO;2° DOSE;204
DIRCE REIS;2° DOSE;225
GUARANI D'OESTE;2° DOSE;209
SÃO JOÃO DE IRACEMA;2° DOSE;222
BENTO DE ABREU;2° DOSE;182
JUMIRIM;2° DOSE;219
ASPÁSIA;2° DOSE;217
NANTES;2° DOSE;235
SAGRES;2° DOSE;187
EMBAÚBA;2° DOSE;213
CRUZÁLIA;2° DOSE;178
QUEIROZ;2° DOSE;242
SANTA CRUZ DA ESPERANÇA;2° DOSE;216
SANTANA DA PONTE PENSA;2° DOSE;227
ARAPEÍ;2° DOSE;261
SANTA SALETE;2° DOSE;245
MESÓPOLIS;2° DOSE;218
SÃO JOÃO DAS DUAS PONTES;2° DOSE;263
MARINÓPOLIS;2° DOSE;228
ESTRELA DO NORTE;2° DOSE;244
RUBIÁCEA;2° DOSE;274
NOVA CANAÃ PAULISTA;2° DOSE;252
TAQUARAL;2° DOSE;275
NOVA GUATAPORANGA;2° DOSE;230
SANTA CLARA D'OESTE;2° DOSE;248
TURIÚBA;2° DOSE;242
TORRE DE PEDRA;2° DOSE;238
PONTES GESTAL;2° DOSE;225
LOURDES;2° DOSE;243
NOVA INDEPENDÊNCIA;2° DOSE;261
DOLCINÓPOLIS;2° DOSE;274
ZACARIAS;2° DOSE;266
LUCIANÓPOLIS;2° DOSE;218
FLORA RICA;2° DOSE;259
JERIQUARA;2° DOSE;273
GABRIEL MONTEIRO;2° DOSE;232
BREJO ALEGRE;2° DOSE;308
QUADRA;2° DOSE;255
ÓLEO;2° DOSE;225
ITAPIRAPUÃ PAULISTA;2° DOSE;260
ALVINLÂNDIA;2° DOSE;254
MOMBUCA;2° DOSE;296
TAQUARIVAÍ;2° DOSE;279
CÁSSIA DOS COQUEIROS;2° DOSE;261
PRATÂNIA;2° DOSE;168
ÁLVARO DE CARVALHO;2° DOSE;299
RIBEIRÃO CORRENTE;2° DOSE;230
CANAS;2° DOSE;263
JOÃO RAMALHO;2° DOSE;314
ELISIÁRIO;2° DOSE;299
RIBEIRA;2° DOSE;274
SANTA MERCEDES;2° DOSE;287
PLATINA;2° DOSE;271
CANITAR;2° DOSE;278
NOVA LUZITÂNIA;2° DOSE;256
PARISI;2° DOSE;280
SANDOVALINA;2° DOSE;277
LUTÉCIA;2° DOSE;254
MONÇÕES;2° DOSE;317
ESPÍRITO SANTO DO TURVO;2° DOSE;303
