Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;4804
ADAMANTINA;2° Dose;1744
ADOLFO;1° Dose;503
ADOLFO;2° Dose;167
AGUAÍ;1° Dose;2921
AGUAÍ;2° Dose;910
ÁGUAS DA PRATA;1° Dose;1016
ÁGUAS DA PRATA;2° Dose;265
ÁGUAS DE LINDÓIA;1° Dose;1676
ÁGUAS DE LINDÓIA;2° Dose;418
ÁGUAS DE SANTA BÁRBARA;1° Dose;685
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
ÁGUAS DE SÃO PEDRO;1° DOSE;751
ÁGUAS DE SÃO PEDRO;2° Dose;232
AGUDOS;1° Dose;4369
AGUDOS;2° Dose;1441
ALAMBARI;1° Dose;441
ALAMBARI;2° Dose;120
ALFREDO MARCONDES;1° DOSE;693
ALFREDO MARCONDES;2° Dose;207
ALTAIR;1° Dose;434
ALTAIR;2° Dose;125
ALTINÓPOLIS;1° Dose;1505
ALTINÓPOLIS;2° Dose;472
ALTO ALEGRE;1° Dose;581
ALTO ALEGRE;2° Dose;203
ALUMÍNIO;1° DOSE;1098
ALUMÍNIO;2° Dose;283
ÁLVARES FLORENCE;1° Dose;658
ÁLVARES FLORENCE;2° Dose;114
ÁLVARES MACHADO;1° DOSE;2550
ÁLVARES MACHADO;2° Dose;606
ÁLVARO DE CARVALHO;1° Dose;341
ÁLVARO DE CARVALHO;2° Dose;73
ALVINLÂNDIA;1° Dose;358
ALVINLÂNDIA;2° Dose;87
AMERICANA;1° Dose;18102
AMERICANA;2° Dose;6851
AMÉRICO BRASILIENSE;1° Dose;3448
AMÉRICO BRASILIENSE;2° Dose;1322
AMÉRICO DE CAMPOS;1° Dose;703
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;7254
AMPARO;2° Dose;2390
ANALÂNDIA;1° DOSE;550
ANALÂNDIA;2° Dose;111
ANDRADINA;1° Dose;6331
ANDRADINA;2° Dose;2334
ANGATUBA;1° DOSE;1838
ANGATUBA;2° Dose;467
ANHEMBI;1° Dose;496
ANHEMBI;2° Dose;115
ANHUMAS;1° Dose;438
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2846
APARECIDA;2° Dose;980
APARECIDA D'OESTE;1° Dose;662
APARECIDA D'OESTE;2° Dose;218
APIAÍ;1° Dose;2050
APIAÍ;2° Dose;566
ARAÇARIGUAMA;1° DOSE;1235
ARAÇARIGUAMA;2° Dose;313
ARAÇATUBA;1° Dose;23386
ARAÇATUBA;2° Dose;7459
ARAÇOIABA DA SERRA;1° DOSE;2855
ARAÇOIABA DA SERRA;2° Dose;653
