Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° DOSE;6088
ADAMANTINA;2° DOSE;2220
ADOLFO;1° DOSE;593
ADOLFO;2° DOSE;258
AGUAÍ;1° DOSE;3501
AGUAÍ;2° DOSE;1245
ÁGUAS DA PRATA;1° DOSE;1344
ÁGUAS DA PRATA;2° DOSE;352
ÁGUAS DE LINDÓIA;1° DOSE;2470
ÁGUAS DE LINDÓIA;2° DOSE;633
ÁGUAS DE SANTA BÁRBARA;1° DOSE;845
ÁGUAS DE SANTA BÁRBARA;2° DOSE;275
ÁGUAS DE SÃO PEDRO;1° DOSE;891
ÁGUAS DE SÃO PEDRO;2° DOSE;341
AGUDOS;1° DOSE;5117
AGUDOS;2° DOSE;1902
ALAMBARI;1° DOSE;607
ALAMBARI;2° DOSE;152
ALFREDO MARCONDES;1° DOSE;820
ALFREDO MARCONDES;2° DOSE;263
ALTAIR;1° DOSE;466
ALTAIR;2° DOSE;204
ALTINÓPOLIS;1° DOSE;2030
ALTINÓPOLIS;2° DOSE;618
ALTO ALEGRE;1° DOSE;737
ALTO ALEGRE;2° DOSE;273
ALUMÍNIO;1° DOSE;1442
ALUMÍNIO;2° DOSE;378
ÁLVARES FLORENCE;1° DOSE;723
ÁLVARES FLORENCE;2° DOSE;242
ÁLVARES MACHADO;1° DOSE;2965
ÁLVARES MACHADO;2° DOSE;918
ÁLVARO DE CARVALHO;1° DOSE;404
ÁLVARO DE CARVALHO;2° DOSE;151
ALVINLÂNDIA;1° DOSE;409
ALVINLÂNDIA;2° DOSE;133
AMERICANA;1° DOSE;27736
AMERICANA;2° DOSE;9726
AMÉRICO BRASILIENSE;1° DOSE;3792
AMÉRICO BRASILIENSE;2° DOSE;1691
AMÉRICO DE CAMPOS;1° DOSE;882
AMÉRICO DE CAMPOS;2° DOSE;279
AMPARO;1° DOSE;9536
AMPARO;2° DOSE;3384
ANALÂNDIA;1° DOSE;599
ANALÂNDIA;2° DOSE;171
ANDRADINA;1° DOSE;8241
ANDRADINA;2° DOSE;2695
ANGATUBA;1° DOSE;2469
ANGATUBA;2° DOSE;692
ANHEMBI;1° DOSE;641
ANHEMBI;2° DOSE;131
ANHUMAS;1° DOSE;554
ANHUMAS;2° DOSE;188
APARECIDA;1° DOSE;3574
APARECIDA;2° DOSE;1240
APARECIDA D'OESTE;1° DOSE;808
APARECIDA D'OESTE;2° DOSE;348
APIAÍ;1° DOSE;2523
APIAÍ;2° DOSE;944
ARAÇARIGUAMA;1° DOSE;1483
ARAÇARIGUAMA;2° DOSE;452
ARAÇATUBA;1° DOSE;27316
ARAÇATUBA;2° DOSE;11003
ARAÇOIABA DA SERRA;1° DOSE;3200
ARAÇOIABA DA SERRA;2° DOSE;853
ARAMINA;1° DOSE;654
ARAMINA;2° DOSE;215
ARANDU;1° DOSE;740
ARANDU;2° DOSE;217
ARAPEÍ;1° DOSE;329
ARAPEÍ;2° DOSE;133
