Município;Dose;Total Doses Aplicadas
BORÁ;2° DOSE;142
NOVA CASTILHO;2° DOSE;198
UNIÃO PAULISTA;2° DOSE;246
TRABIJU;2° DOSE;260
PRACINHA;2° DOSE;247
URU;2° DOSE;242
BALBINOS;2° DOSE;311
PAULISTÂNIA;2° DOSE;287
FERNÃO;2° DOSE;294
VITÓRIA BRASIL;2° DOSE;283
BOREBI;2° DOSE;287
DIRCE REIS;2° DOSE;311
SÃO JOÃO DE IRACEMA;2° DOSE;297
SANTA SALETE;2° DOSE;368
BENTO DE ABREU;2° DOSE;353
GUARANI D'OESTE;2° DOSE;333
ASPÁSIA;2° DOSE;343
SAGRES;2° DOSE;371
SANTA CRUZ DA ESPERANÇA;2° DOSE;384
JUMIRIM;2° DOSE;355
MESÓPOLIS;2° DOSE;366
SÃO JOÃO DAS DUAS PONTES;2° DOSE;337
MARINÓPOLIS;2° DOSE;400
BOM SUCESSO DE ITARARÉ;2° DOSE;322
SANTANA DA PONTE PENSA;2° DOSE;363
RUBIÁCEA;2° DOSE;418
ARAPEÍ;2° DOSE;384
EMBAÚBA;2° DOSE;374
TURIÚBA;2° DOSE;390
LUCIANÓPOLIS;2° DOSE;424
DOLCINÓPOLIS;2° DOSE;377
FLORA RICA;2° DOSE;454
CRUZÁLIA;2° DOSE;382
SANTA CLARA D'OESTE;2° DOSE;360
QUEIROZ;2° DOSE;337
NANTES;2° DOSE;346
NOVA GUATAPORANGA;2° DOSE;403
LOURDES;2° DOSE;427
BREJO ALEGRE;2° DOSE;447
TORRE DE PEDRA;2° DOSE;396
ALVINLÂNDIA;2° DOSE;437
SANTA MERCEDES;2° DOSE;447
SÃO JOÃO DO PAU D'ALHO;2° DOSE;430
ZACARIAS;2° DOSE;393
TAQUARAL;2° DOSE;400
NOVA CANAÃ PAULISTA;2° DOSE;396
MONÇÕES;2° DOSE;432
ARCO-ÍRIS;2° DOSE;510
CÁSSIA DOS COQUEIROS;2° DOSE;390
NOVA INDEPENDÊNCIA;2° DOSE;399
MOMBUCA;2° DOSE;458
ÓLEO;2° DOSE;456
PONTES GESTAL;2° DOSE;405
JERIQUARA;2° DOSE;414
ESTRELA DO NORTE;2° DOSE;358
ELISIÁRIO;2° DOSE;475
ITAPIRAPUÃ PAULISTA;2° DOSE;484
GABRIEL MONTEIRO;2° DOSE;448
CANAS;2° DOSE;456
PARISI;2° DOSE;425
RIBEIRA;2° DOSE;499
NOVA LUZITÂNIA;2° DOSE;548
PLATINA;2° DOSE;482
ÁLVARO DE CARVALHO;2° DOSE;491
TURMALINA;2° DOSE;465
AREIAS;2° DOSE;486
ITAJU;2° DOSE;497
RIBEIRÃO DOS ÍNDIOS;2° DOSE;490
RIBEIRÃO CORRENTE;2° DOSE;543
NOVAIS;2° DOSE;551
PONTALINDA;2° DOSE;474
SANTA RITA D'OESTE;2° DOSE;480
ALTAIR;2° DOSE;486
LUTÉCIA;2° DOSE;474
PEDRANÓPOLIS;2° DOSE;464
SANTO EXPEDITO;2° DOSE;506
MARIÁPOLIS;2° DOSE;505
PRATÂNIA;2° DOSE;449
NIPOÃ;2° DOSE;540
JOÃO RAMALHO;2° DOSE;491
SÃO FRANCISCO;2° DOSE;538
TIMBURI;2° DOSE;476
QUADRA;2° DOSE;460
CANITAR;2° DOSE;462
OSCAR BRESSANE;2° DOSE;569
MARAPOAMA;2° DOSE;466
TEJUPÁ;2° DOSE;520
MOTUCA;2° DOSE;485
CORUMBATAÍ;2° DOSE;552
SUZANÁPOLIS;2° DOSE;505
SANDOVALINA;2° DOSE;474
ESPÍRITO SANTO DO TURVO;2° DOSE;462
GASTÃO VIDIGAL;2° DOSE;544
EMILIANÓPOLIS;2° DOSE;516
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;570
MARABÁ PAULISTA;2° DOSE;509
FLORÍNEA;2° DOSE;517
TAQUARIVAÍ;2° DOSE;466
MIRA ESTRELA;2° DOSE;553
GLICÉRIO;2° DOSE;569
PEDRINHAS PAULISTA;2° DOSE;476
LUPÉRCIO;2° DOSE;570
JÚLIO MESQUITA;2° DOSE;552
SÃO JOSÉ DO BARREIRO;2° DOSE;552
BARÃO DE ANTONINA;2° DOSE;594
CÂNDIDO RODRIGUES;2° DOSE;605
INÚBIA PAULISTA;2° DOSE;606
MAGDA;2° DOSE;602
CABRÁLIA PAULISTA;2° DOSE;610
SEBASTIANÓPOLIS DO SUL;2° DOSE;550
SARUTAIÁ;2° DOSE;578
REDENÇÃO DA SERRA;2° DOSE;572
RUBINÉIA;2° DOSE;506
PONGAÍ;2° DOSE;600
